"Industry","Total"
"Pharmaceuticals/Health Products","$147400240"
"Insurance","$114177525"
"Electronics Mfg & Equip","$97181350"
"Electric Utilities","$93579466"
"Business Associations","$89521465"
"Real Estate","$82661764"
"Civil Servants/Public Officials","$79957022"
"Education","$77262621"
"Hospitals/Nursing Homes","$68382646"
"Misc Manufacturing & Distributing","$60627915"
"Health Professionals","$60088410"
"Securities & Investment","$57343560"
"Telecom Services","$56328153"
"Telephone Utilities","$52190657"
"Oil & Gas","$51761127"
"Automotive","$49977423"
"Air Transport","$45248894"
"Misc Issues","$45229490"
"TV/Movies/Music","$44587508"
"Defense Aerospace","$41187818"
