EST_LEV,SIC,OCC_CODE,COW,EMP,REP_UNT,REL_ER,DIST,OCC_TIT,YEAR
4,4010,00000,,272550,9999999,99999.00,100.00,INDUSTRY TOTAL,1991
4,4010,10000,3,15850,9999999,99999.00,5.77,MANAGERIAL & ADMINISTRATIVE,1991
4,4010,13002,3,500,93,0.00,0.18,FINANCIAL MANAGERS,1991
4,4010,13005,3,370,49,0.00,0.13,"PERSONNEL, TRAINING & LABOR RELATIONS MANAGERS",1991
4,4010,13008,3,140,42,0.00,0.05,PURCHASING MANAGERS,1991
4,4010,13011,3,400,89,0.00,0.14,MARKETING/ADVERTISING/PUBLIC RELATIONS MANAGERS,1991
4,4010,13014,3,240,53,0.00,0.08,ADMINISTRATIVE MANAGERS,1991
4,4010,13017,3,320,36,0.00,0.11,"ENGINEERING, MATHEMATICAL & NATURAL SCIENCES MANAGERS",1991
4,4010,15017,3,300,48,0.00,0.10,CONSTRUCTION MANAGERS,1991
4,4010,15023,3,4690,289,0.03,1.72,COMMUNICATIONS/TRANSPORTATION & UTILITIES MANAGERS,1991
4,4010,19005,3,6680,317,0.05,2.45,GENERAL MANAGERS & TOP EXECUTIVES,1991
4,4010,19999,3,2210,9999999,99999.00,0.81,ALL OTHER MANAGERS & ADMINISTRATORS,1991
4,4010,20000,3,8810,9999999,99999.00,3.13,PROFESSIONAL/PARAPROFESSIONAL & TECHNICAL OCCUPATIONS,1991
4,4010,21100,3,940,9999999,99999.00,0.34,"ACCOUNTANTS, AUDITORS & OTHER FINANCIAL SPECIALISTS",1991
4,4010,21114,3,820,107,0.35,0.30,ACCOUNTANTS & AUDITORS,1991
4,4010,21117,3,40,13,0.00,0.01,BUDGET ANALYSTS,1991
4,4010,21199,3,80,9999999,99999.00,0.03,OTHER FINANCIAL SPECIALISTS,1991
4,4010,21308,3,160,44,0.00,0.06,PURCHASING AGENTS,1991
4,4010,21511,3,270,42,0.00,0.09,"PERSONNEL, TRAINING & LABOR RELATIONS SPECIALISTS",1991
4,4010,21908,3,160,22,0.00,0.05,CONSTRUCTION & BUILDING INSPECTORS,1991
4,4010,21911,3,50,18,0.00,0.01,"COMPLIANCE OFFICERS, EXCEPT CONSTRUCTION",1991
4,4010,21999,3,1370,9999999,99999.00,0.50,ALL OTHER MANAGEMENT SUPPORT,1991
4,4010,22100,3,800,9999999,99999.00,0.29,ENGINEERS,1991
4,4010,22199,3,800,9999999,99999.00,0.29,ALL OTHER ENGINEERS,1991
4,4010,22500,3,1510,9999999,99999.00,0.54,ENGINEERING & RELATED TECHINCIANS & TECHNOLOGISTS,1991
4,4010,22502,3,70,15,0.00,0.02,CIVIL ENGINEERING TECHNICIANS & TECHNOLOGISTS,1991
