Year,Lawyers
2023,1331290
2022,1327010
2021,1327910
2020,1328742
2019,1352077
2018,1342379
2017,1335963
2016,1312869
2015,1300705
2014,1281432
2013,1268011
2012,1245205
2011,1225452
2010,1203097
2009,1180386
2008,1162124
2007,1143358
2006,1116967
2005,1104766
2004,1084504
2003,1058662
2002,1049751
2001,1048903
2000,1022462
1999,1000440
1998,985921
1997,953260
1996,946499
1995,896140
1994,865614
1993,846036
1992,799760
1991,777119
1990,755694
1989,725579
1988,713456
1987,695020
1986,676584
1985,653686
1984,647575
1983,622625
1982,617320
1981,612593
1980,574810
1979,498249
1978,464851
1977,431918
1976,424980
1975,404772
1974,385515
1973,365875
1972,358520
1971,342980
1970,326842
1969,321473
1968,316104
1967,310736
1966,305368
1965,300000
1964,297186
1963,294372
1962,291559
1961,288746
1960,285933
1959,278746
1958,271560
1957,264373
1956,257186
1955,250000
1950,221605
1945,200000
1940,181220
1935,160000
1930,139059
1925,131000
1920,122519
1915,122000
1910,122149
1905,118000
1900,114460
1890,89630
1880,64137
1878,64137
