EST_LEV,SIC,OCC_CODE,COW,EMP,REP_UNT,REL_ER,DIST,OCC_TIT,YEAR
4,2010,00000,,413550,9999999,99999.00,100.00,INDUSTRY TOTAL,1989
4,2010,10000,3,12930,9999999,99999.00,3.08,MANAGERIAL & ADMINISTRATIVE,1989
4,2010,13002,3,960,411,1.89,0.23,FINANCIAL MANAGERS,1989
4,2010,13005,3,870,356,1.33,0.21,"PERSONNEL, TRAINING & LABOR RELATIONS MANAGERS",1989
4,2010,13008,3,560,277,1.86,0.13,PURCHASING MANAGERS,1989
4,2010,13011,3,1030,257,1.92,0.24,MARKETING/ADVERTISING/PUBLIC RELATIONS MANAGERS,1989
4,2010,13014,3,160,65,7.08,0.03,ADMINISTRATIVE MANAGERS,1989
4,2010,13017,3,520,159,1.62,0.12,"ENGINEERING, MATHEMATICAL & NATURAL SCIENCES MANAGERS",1989
4,2010,15014,3,3140,550,2.92,0.75,INDUSTRIAL PRODUCTIONMANAGERS,1989
4,2010,19005,3,4570,909,2.77,1.10,GENERAL MANAGERS & TOP EXECUTIVES,1989
4,2010,19999,3,1120,9999999,99999.00,0.27,ALL OTHER MANAGERS & ADMINISTRATORS,1989
4,2010,20000,3,8780,9999999,99999.00,2.00,PROFESSIONAL/PARAPROFESSIONAL & TECHNICAL OCCUPATIONS,1989
4,2010,21100,3,1480,9999999,99999.00,0.35,"ACCOUNTANTS, AUDITORS & OTHER FINANCIAL SPECIALISTS",1989
4,2010,21114,3,1260,331,5.45,0.30,ACCOUNTANTS & AUDITORS,1989
4,2010,21199,3,220,9999999,99999.00,0.05,OTHER FINANCIAL SPECIALISTS,1989
4,2010,21305,3,850,179,2.99,0.20,"BUYERS, FARM PRODUCTS",1989
4,2010,21308,3,480,202,3.38,0.11,PURCHASING AGENTS,1989
4,2010,21511,3,560,205,1.97,0.13,"PERSONNEL, TRAINING & LABOR RELATIONS SPECIALISTS",1989
4,2010,21902,3,140,64,4.04,0.03,COST ESTIMATORS,1989
4,2010,21999,3,620,9999999,99999.00,0.14,ALL OTHER MANAGEMENT SUPPORT,1989
4,2010,22100,3,970,9999999,99999.00,0.23,ENGINEERS,1989
4,2010,22128,3,380,133,1.99,0.09,"INDUSTRIAL ENGINEERS, EXCEPT SAFTEY",1989
4,2010,22135,3,460,119,4.25,0.11,MECHANICAL ENGINEERS,1989
4,2010,22199,3,130,9999999,99999.00,0.03,ALL OTHER ENGINEERS,1989
4,2010,22500,3,300,9999999,99999.00,0.05,ENGINEERING & RELATED TECHINCIANS & TECHNOLOGISTS,1989
4,2010,22508,3,80,27,15.61,0.01,INDUSTRIAL TECHNICIANS & TECHNOLOGISTS,1989
4,2010,22511,3,60,15,0.00,0.01,MECHANICAL TECHNICIANS & TECHNOLOGISTS,1989
4,2010,22599,3,160,9999999,99999.00,0.03,OTHER ENGINEERING & RELATED TECHNICIANS & TECHNOLOGISTS,1989
4,2010,24000,3,1550,9999999,99999.00,0.34,NATURAL SCIENTISTS & RELATED,1989
4,2010,24105,3,270,80,1.99,0.06,"CHEMISTS, EXCEPT BIOCHEMISTS",1989
4,2010,24199,3,40,9999999,99999.00,0.00,ALL OTHER PHYSICAL SCIENTISTS,1989
4,2010,24300,3,120,32,3.56,0.02,LIFE SCIENTISTS,1989
4,2010,24502,3,500,85,5.65,0.12,BIOLOGICAL/AGRICULTURAL/FOOD TECHNICIANS & TECHNOLOGISTS,1989
4,2010,24505,3,480,74,4.36,0.11,"CHEMICAL TECHNICIANS & TECHNOLOGISTS, EXCEPT HEALTH",1989
4,2010,24599,3,140,9999999,99999.00,0.03,OTHER PHYSICAL & LIFE SCIENCE TECHNICIANS & TECHNOLOGISTS,1989
4,2010,25100,3,870,9999999,99999.00,0.20,COMPUTER SCIENTISTS & RELATED,1989
4,2010,25102,3,360,99,3.53,0.08,SYSTEMS ANALYSTS,1989
4,2010,25105,3,290,97,2.20,0.07,COMPUTER PROGRAMMERS,1989
4,2010,25108,3,170,67,1.80,0.04,COMPUTER PROGRAMMER AIDES,1989
4,2010,25199,3,50,9999999,99999.00,0.01,OTHER COMPUTER SCIENTISTS & RELATED,1989
4,2010,32000,3,610,192,1.15,0.14,"HEALTH PRACTITIONERS, TECHNICIANS & TECHNOLOGISTS",1989
4,2010,39999,3,350,9999999,99999.00,0.08,"OTHER PROFESSIONAL, PARAPROFESSIONAL/TECHNICIANS",1989
4,2010,40000,3,7500,9999999,99999.00,1.77,SALES & RELATED OCCUPATIONS,1989
4,2010,41002,3,950,176,3.97,0.22,"FIRST LINE SUPERVISORS, SALES & RELATED",1989
4,2010,49002,3,20,5,0.00,0.00,SALES ENGINEERS,1989
4,2010,49005,3,200,35,10.85,0.04,"SALESPERSONS, SCIENTIFIC PRODUCTS & SERVICES",1989
4,2010,49008,3,4200,471,4.10,1.01,"SALESPERSONS, EXCEPT SCIENTIFIC & RETAIL",1989
4,2010,49011,3,1430,139,14.12,0.34,"SALESPERSONS, RETAIL",1989
4,2010,49023,3,130,39,16.14,0.03,CASHIERS,1989
4,2010,49999,3,570,9999999,99999.00,0.13,ALL OTHER SALES & RELATED,1989
4,2010,50000,3,23380,9999999,99999.00,5.54,CLERICAL & ADMINISTRATIVE SUPPORT,1989
4,2010,51002,3,1310,356,5.71,0.31,"FIRST LINE SUPERVISORS, CLERICAL & ADMINISTRATIVE",1989
4,2010,53123,3,340,89,5.44,0.08,ADJUSTMENT CLERKS,1989
4,2010,55100,3,2170,476,3.83,0.52,SECRETARIES,1989
4,2010,55305,3,500,248,6.75,0.12,RECEPTIONISTS & INFORMATION CLERKS,1989
4,2010,55308,3,330,80,3.89,0.07,TYPISTS,1989
4,2010,55311,3,160,42,3.27,0.03,"TYPISTS, WORD PROCESSORS",1989
4,2010,55314,3,680,253,0.88,0.16,"PERSONNEL CLERKS, EXCEPT PAYROLL & TIMEKEEPING",1989
4,2010,55321,3,100,46,4.60,0.02,FILE CLERKS,1989
4,2010,55323,3,560,128,7.79,0.13,"ORDER CLERKS, MATERIALS, MERCHANDISE & SERVICE",1989
4,2010,55326,3,310,130,1.65,0.07,PROCUREMENT CLERKS,1989
4,2010,55338,3,2960,571,2.90,0.71,"BOOKKEEPING, ACCOUNTING & AUDITING CLERKS",1989
4,2010,55341,3,750,335,1.31,0.18,PAYROLL & TIMEKEEPING CLERKS,1989
4,2010,55344,3,810,221,4.29,0.19,"BILLING, COST & RATE CLERKS",1989
4,2010,55347,3,2390,437,3.73,0.57,GENERAL OFFICE CLERKS,1989
4,2010,56000,3,1230,9999999,99999.00,0.28,"OFFICE MACHINE OPERATORS, DATA PROCESSORS",1989
4,2010,56002,3,260,77,5.97,0.06,"OPERATORS, BILLING/POSTING/CALCULATING MACHINES",1989
4,2010,56011,3,390,115,2.58,0.09,"COMPUTER OPERATORS, EXCEPT PERIPHERIAL EQUIPMENT",1989
4,2010,56017,3,540,137,5.26,0.13,"DATA ENTRY KEYERS, EXCEPT COMPOSING",1989
4,2010,56099,3,40,9999999,99999.00,0.00,OTHER OFFICE MACHINE OPERATORS,1989
4,2010,57102,3,420,235,3.67,0.10,SWITCHBOARD OPERATORS,1989
4,2010,58000,3,8080,9999999,99999.00,1.94,MATERIAL RECORDING/SCHEDULING/DISPATCHING/DISTRIBUTING,1989
4,2010,58008,3,760,166,2.27,0.18,"PRODUCTION, PLANNING & EXPEDITING CLERKS",1989
4,2010,58017,3,1080,154,3.78,0.26,"WEIGHERS, MEASURERS, CHECKERS & SAMPLERS, RECORDKEEPING",1989
4,2010,58023,3,1370,217,3.07,0.33,"STOCK CLERKS, STOCKROOM, WAREHOUSE OR STORAGE YARD",1989
4,2010,58028,3,4570,505,2.04,1.10,"TRAFFIC, SHIPPING, & RECEIVING CLERKS",1989
4,2010,58099,3,300,9999999,99999.00,0.07,"OTHER MATERIAL RECORDING, SCHEDULING & DISTRIBUTING",1989
4,2010,59999,3,280,9999999,99999.00,0.06,ALL OTHER CLERICAL & ADMINISTRATIVE SUPPORT,1989
