EST_LEV,SIC,OCC_CODE,COW,EMP,REP_UNT,REL_ER,DIST,OCC_TIT,YEAR
4,0710,00000,,3230,9999999,99999.00,100.00,INDUSTRY TOTAL,1992
4,0710,10000,3,190,9999999,99999.00,5.77,MANAGERIAL & ADMINISTRATIVE,1992
4,0710,13005,3,20,10,21.09,0.70,"PERSONNEL, TRAINING & LABOR RELATIONS MANAGERS",1992
4,0710,13011,3,20,7,7.94,0.49,MARKETING/ADVERTISING/PUBLIC RELATIONS MANAGERS,1992
4,0710,13099,3,0,9999999,99999.00,0.03,OTHER ADMINISTRATIVE MANAGERS,1992
4,0710,19005,3,150,38,24.71,4.55,GENERAL MANAGERS & TOP EXECUTIVES,1992
4,0710,20000,3,40,9999999,99999.00,1.34,PROFESSIONAL/PARAPROFESSIONAL & TECHNICAL OCCUPATIONS,1992
4,0710,21100,3,10,9999999,99999.00,0.43,"ACCOUNTANTS, AUDITORS & OTHER FINANCIAL SPECIALISTS",1992
4,0710,21114,3,10,5,44.07,0.43,ACCOUNTANTS & AUDITORS,1992
4,0710,21511,3,10,3,67.82,0.33,"PERSONNEL, TRAINING & LABOR RELATIONS SPECIALISTS",1992
4,0710,24300,3,20,9999999,99999.00,0.58,LIFE SCIENTISTS,1992
4,0710,24305,3,20,3,57.16,0.58,AGRICULTURAL & FOOD SCIENTISTS,1992
4,0710,40000,3,20,9999999,99999.00,0.70,SALES & RELATED OCCUPATIONS,1992
4,0710,43000,3,20,9999999,99999.00,0.70,"SALES REPRESENTATIVES & SALESPERSONS, SERVICES",1992
4,0710,43017,3,20,3,32.96,0.70,"SALES AGENTS, BUSINESS SERVICES",1992
4,0710,50000,3,440,9999999,99999.00,13.80,CLERICAL & ADMINISTRATIVE SUPPORT,1992
4,0710,51002,3,80,17,35.80,2.55,"FIRST LINE SUPERVISORS, CLERICAL & ADMINISTRATIVE",1992
4,0710,55108,3,80,30,16.90,2.49,"SECRETARIES, EXCEPT LEGAL & MEDICAL",1992
4,0710,55305,3,10,5,32.83,0.36,RECEPTIONISTS & INFORMATION CLERKS,1992
4,0710,55338,3,100,28,24.58,3.13,"BOOKKEEPING, ACCOUNTING & AUDITING CLERKS",1992
4,0710,55347,3,130,30,8.19,3.99,GENERAL OFFICE CLERKS,1992
4,0710,56099,3,0,9999999,99999.00,0.15,OTHER OFFICE MACHINE OPERATORS,1992
4,0710,58000,3,30,9999999,99999.00,0.83,MATERIAL RECORDING/SCHEDULING/DISPATCHING/DISTRIBUTING,1992
4,0710,58028,3,30,4,13.41,0.83,"TRAFFIC, SHIPPING, & RECEIVING CLERKS",1992
4,0710,59999,3,10,9999999,99999.00,0.30,ALL OTHER CLERICAL & ADMINISTRATIVE SUPPORT,1992
4,0710,60000,3,10,9999999,99999.00,0.24,SERVICE OCCUPATIONS,1992
4,0710,67005,3,10,5,25.75,0.24,JANITORS & CLEANERS,1992
4,0710,70000,3,1290,9999999,99999.00,39.49,"AGRICULTURAL, FORESTRY, FISHING & RELATED",1992
4,0710,72002,3,140,21,29.26,4.36,"FIRST LINE SUPERVISORS, AGRICULTURAL/FORESTRY/FISHING",1992
4,0710,79021,3,150,5,39.71,4.55,FARM EQUIPMENT OPERATORS,1992
4,0710,79036,3,40,4,47.10,1.19,SPRAYERS/APPLICATORS,1992
4,0710,79855,3,830,49,9.67,25.40,GENERAL FARMWORKERS,1992
4,0710,79999,3,130,9999999,99999.00,3.99,"ALL OTHER AGRICULTURAL, FORESTRY & FISHING WORKERS",1992
4,0710,80000,3,1240,9999999,99999.00,38.47,PRODUCT/CONSTRUCT/OPERATE MAINTENANCE/MATERIAL HANDLING,1992
4,0710,81000,3,100,9999999,99999.00,3.10,FIRST LINE SUPERVISORS-PRODUCT/CONSTRUCT/MAINTENANCE RELATED,1992
4,0710,81008,3,90,16,33.51,2.89,"FIRST LINE SUPERVISORS, PRODUCTION & OPERATING",1992
4,0710,81099,3,10,9999999,99999.00,0.21,"OTHER FIRST LINE SUPERVISORS, PRODUCT/CONSTRUCT/MAINTAIN",1992
4,0710,85000,3,160,9999999,99999.00,5.21,"MECHANICS, INSTALLERS & REPAIRERS",1992
4,0710,85110,3,30,13,26.59,0.98,MACHINERY MAINTENANCE MECHANICS,1992
4,0710,85302,3,30,5,66.59,1.04,AUTOMOTIVE MECHANICS,1992
4,0710,85311,3,0,3,0.00,0.15,BUS & TRUCK MECHANICS & DIESEL ENGINE SPECIALISTS,1992
4,0710,85321,3,100,17,30.26,3.04,FARM EQUIPMENT MECHANICS,1992
4,0710,87999,3,10,9999999,99999.00,0.21,"OTHER CONSTRUCTION & EXTRACTIVE, EXCEPT HELPERS",1992
4,0710,92900,3,30,9999999,99999.00,1.04,"OTHER MACHINE SETTERS, OPERATORS & TENDERS",1992
4,0710,92998,3,30,9999999,99999.00,1.04,"OTHER MACHINE OPERATORS, EXCEPT METAL/PLASTIC",1992
4,0710,97100,3,830,9999999,99999.00,25.52,MOTOR VEHICLE OPERATORS,1992
4,0710,97102,3,700,48,14.17,21.53,"TRUCK DRIVERS, HEAVY OR TRACTOR TRAILER",1992
4,0710,97105,3,130,15,23.84,3.99,"TRUCK DRIVERS-LIGHT, INCLUDE DELIVERY/ROUTE WORKERS",1992
4,0710,97900,3,90,9999999,99999.00,2.75,MATERIAL MOVING EQUIPMENT OPERATORS,1992
4,0710,97947,3,40,6,16.05,1.16,INDUSTRIAL TRUCK & TRACTOR OPERATORS,1992
4,0710,97989,3,50,9999999,99999.00,1.59,OTHER MATERIAL MOVING EQUIPMENT OPERATORS,1992
4,0710,98000,3,20,9999999,99999.00,0.64,"HELPERS, LABORERS & MATERIAL MOVERS, HAND",1992
4,0710,98999,3,20,9999999,99999.00,0.64,"OTHER HELPERS, LABORERS & MATERIAL MOVERS, HAND",1992
4,0720,00000,,103810,9999999,99999.00,100.00,INDUSTRY TOTAL,1992
