EST_LEV,SIC,OCC_CODE,COW,EMP,REP_UNT,REL_ER,DIST,OCC_TIT,YEAR
4,1010,00000,0,8850,9999999,99999.00,100.00,INDUSTRY TOTAL,1993
4,1010,10000,3,230,9999999,99999.00,2.60,MANAGERIAL & ADMINISTRATIVE,1993
4,1010,13002,3,30,13,0.00,0.34,FINANCIAL MANAGERS,1993
4,1010,13005,3,30,9,0.00,0.34,"PERSONNEL, TRAINING & LABOR RELATIONS MANAGERS",1993
4,1010,13008,3,10,4,0.00,0.11,PURCHASING MANAGERS,1993
4,1010,13014,3,10,4,0.00,0.11,ADMINISTRATIVE MANAGERS,1993
4,1010,13017,3,40,9,0.00,0.45,"ENGINEERING, MATHEMATICAL & NATURAL SCIENCES MANAGERS",1993
4,1010,15021,3,30,10,0.00,0.34,MINING/QUARRYING/OIL-GAS WELL DRILLING MANAGERS,1993
4,1010,19005,3,40,12,0.00,0.45,GENERAL MANAGERS & TOP EXECUTIVES,1993
4,1010,19999,3,40,6,0.00,0.45,ALL OTHER MANAGERS & ADMINISTRATORS,1993
4,1010,20000,3,430,9999999,99999.00,4.86,PROFESSIONAL/PARAPROFESSIONAL & TECHNICAL OCCUPATIONS,1993
4,1010,21100,3,50,9999999,99999.00,0.56,"ACCOUNTANTS, AUDITORS & OTHER FINANCIAL SPECIALISTS",1993
4,1010,21114,3,30,9,0.00,0.34,ACCOUNTANTS & AUDITORS,1993
4,1010,21117,3,10,4,0.00,0.11,BUDGET ANALYSTS,1993
4,1010,21199,3,10,3,0.00,0.11,OTHER FINANCIAL SPECIALISTS,1993
4,1010,21308,3,10,5,0.00,0.11,PURCHASING AGENTS,1993
4,1010,21511,3,30,7,0.00,0.34,"PERSONNEL, TRAINING & LABOR RELATIONS SPECIALISTS",1993
4,1010,21911,3,10,4,0.00,0.11,"COMPLIANCE OFFICERS, EXCEPT CONSTRUCTION",1993
4,1010,21999,3,10,4,0.00,0.11,ALL OTHER MANAGEMENT SUPPORT,1993
4,1010,22100,3,170,9999999,99999.00,1.92,ENGINEERS,1993
4,1010,22105,3,30,7,0.00,0.34,"METALLURGISTS/METALLURGICAL, CERAMIC & MATERIALS ENGINEERS",1993
4,1010,22108,3,40,7,0.00,0.45,"MINING ENGINEERS, INCLUDING MINE SAFETY",1993
4,1010,22121,3,10,3,0.00,0.11,"CIVIL ENGINEERS, INCLUDING TRAFFIC",1993
4,1010,22128,3,10,4,0.00,0.11,"INDUSTRIAL ENGINEERS, EXCEPT SAFETY",1993
4,1010,22135,3,40,6,0.00,0.45,MECHANICAL ENGINEERS,1993
4,1010,22199,3,40,9999999,99999.00,0.45,ALL OTHER ENGINEERS,1993
