
Date	Fatalities	Injuries	Survivors	Flight(s) or incident	Location	State or territory	Aircraft	Summary
June 23, 2023	1	0	0	2023 San Antonio ground crew suicide incident	San Antonio	Texas	Airbus A319	A ground crewman was ingested into an engine of the aircraft operating Delta Air Lines flight 1111.
December 31, 2022	1	0	0	2022 Montgomery ground crew incident	Montgomery	Alabama	Embraer 175	An airline worker was pulled into the engine of the parked aircraft and killed.
September 4, 2022	10	0	0	2022 Mutiny Bay DHC-3 Otter crash	Mutiny Bay near Whidbey Island	Washington	de Havilland Canada DHC-3 Otter	Carrying tourists, the seaplane nosedived and crashed for unknown and undetermined reasons.
May 7, 2020	1	0	58	Southwest Airlines Flight 1392	Austin	Texas	Boeing 737-700	A man who had illegally entered the airfield was struck by the plane as it was landing.
January 26, 2020	9	0	0	2020 Calabasas helicopter crash	Calabasas	California	Sikorsky S-76B	The chartered helicopter flight crashed in heavy fog, with the cause under investigation. Former NBA player Kobe Bryant, his daughter and baseball coach John Altobelli were killed.
October 17, 2019	1	12	41	PenAir Flight 3296	Amaknak Island	Alaska	Saab 2000	The aircraft overshot the runway during landing, killing one passenger.
May 13, 2019	6	10	10	2019 Alaska mid-air collision	George Inlet	Alaska	de Havilland Canada DHC-2 Beaver, de Havilland Canada DHC-3 Otter	Two commercial floatplanes conducting sightseeing tours collided in mid-air.
February 23, 2019	3	0	0	Atlas Air Flight 3591	Trinity Bay, near Anahuac	Texas	Boeing 767-300ER	The cargo aircraft crashed during final approach.
August 10, 2018	1	0	0	2018 Horizon Air Q400 incident	Ketron Island	Washington	Bombardier Dash 8 Q400	A Horizon Air employee stole an aircraft and committed suicide by intentionally crashing it over an hour later.
April 17, 2018	1	8	148	Southwest Airlines Flight 1380	near Bernville	Pennsylvania	Boeing 737-700	The aircraft experienced a contained engine failure with debris penetrating the fuselage; one passenger was partially ejected from the aircraft and later died of her injuries.
August 14, 2013	2	0	0	UPS Airlines Flight 1354	Birmingham	Alabama	Airbus A300F4-600R	The cargo aircraft crashed short of the runway during landing because of pilot error.
