Series ID,Year,Period,Label,Value
CUSR0000SETG01,1989,M01,1989 Jan,128.0
CUSR0000SETG01,1989,M02,1989 Feb,128.6
CUSR0000SETG01,1989,M03,1989 Mar,128.8
CUSR0000SETG01,1989,M04,1989 Apr,129.7
CUSR0000SETG01,1989,M05,1989 May,130.5
CUSR0000SETG01,1989,M06,1989 Jun,132.0
CUSR0000SETG01,1989,M07,1989 Jul,133.0
CUSR0000SETG01,1989,M08,1989 Aug,133.8
CUSR0000SETG01,1989,M09,1989 Sep,134.1
CUSR0000SETG01,1989,M10,1989 Oct,134.8
CUSR0000SETG01,1989,M11,1989 Nov,134.4
CUSR0000SETG01,1989,M12,1989 Dec,133.1
CUSR0000SETG01,1990,M01,1990 Jan,134.8
CUSR0000SETG01,1990,M02,1990 Feb,138.2
CUSR0000SETG01,1990,M03,1990 Mar,141.0
CUSR0000SETG01,1990,M04,1990 Apr,144.1
CUSR0000SETG01,1990,M05,1990 May,145.9
CUSR0000SETG01,1990,M06,1990 Jun,147.9
CUSR0000SETG01,1990,M07,1990 Jul,148.8
CUSR0000SETG01,1990,M08,1990 Aug,149.9
CUSR0000SETG01,1990,M09,1990 Sep,152.8
CUSR0000SETG01,1990,M10,1990 Oct,156.6
CUSR0000SETG01,1990,M11,1990 Nov,159.3
CUSR0000SETG01,1990,M12,1990 Dec,162.8
CUSR0000SETG01,1991,M01,1991 Jan,163.2
CUSR0000SETG01,1991,M02,1991 Feb,164.5
CUSR0000SETG01,1991,M03,1991 Mar,159.4
CUSR0000SETG01,1991,M04,1991 Apr,151.9
CUSR0000SETG01,1991,M05,1991 May,151.6
CUSR0000SETG01,1991,M06,1991 Jun,153.9
CUSR0000SETG01,1991,M07,1991 Jul,153.8
CUSR0000SETG01,1991,M08,1991 Aug,155.8
CUSR0000SETG01,1991,M09,1991 Sep,153.3
CUSR0000SETG01,1991,M10,1991 Oct,150.2
CUSR0000SETG01,1991,M11,1991 Nov,150.6
CUSR0000SETG01,1991,M12,1991 Dec,153.1
CUSR0000SETG01,1992,M01,1992 Jan,156.0
CUSR0000SETG01,1992,M02,1992 Feb,154.7
CUSR0000SETG01,1992,M03,1992 Mar,158.8
CUSR0000SETG01,1992,M04,1992 Apr,160.7
CUSR0000SETG01,1992,M05,1992 May,155.5
CUSR0000SETG01,1992,M06,1992 Jun,145.4
CUSR0000SETG01,1992,M07,1992 Jul,150.1
CUSR0000SETG01,1992,M08,1992 Aug,147.8
CUSR0000SETG01,1992,M09,1992 Sep,146.1
CUSR0000SETG01,1992,M10,1992 Oct,157.6
CUSR0000SETG01,1992,M11,1992 Nov,164.5
CUSR0000SETG01,1992,M12,1992 Dec,165.7
CUSR0000SETG01,1993,M01,1993 Jan,170.7
CUSR0000SETG01,1993,M02,1993 Feb,174.4
CUSR0000SETG01,1993,M03,1993 Mar,173.4
CUSR0000SETG01,1993,M04,1993 Apr,172.1
CUSR0000SETG01,1993,M05,1993 May,176.3
CUSR0000SETG01,1993,M06,1993 Jun,174.7
CUSR0000SETG01,1993,M07,1993 Jul,179.6
CUSR0000SETG01,1993,M08,1993 Aug,179.8
CUSR0000SETG01,1993,M09,1993 Sep,180.8
CUSR0000SETG01,1993,M10,1993 Oct,180.8
CUSR0000SETG01,1993,M11,1993 Nov,188.3
CUSR0000SETG01,1993,M12,1993 Dec,193.8
CUSR0000SETG01,1994,M01,1994 Jan,191.5
CUSR0000SETG01,1994,M02,1994 Feb,191.8
CUSR0000SETG01,1994,M03,1994 Mar,195.5
CUSR0000SETG01,1994,M04,1994 Apr,192.3
CUSR0000SETG01,1994,M05,1994 May,182.1
CUSR0000SETG01,1994,M06,1994 Jun,182.3
CUSR0000SETG01,1994,M07,1994 Jul,184.7
CUSR0000SETG01,1994,M08,1994 Aug,187.4
CUSR0000SETG01,1994,M09,1994 Sep,185.2
CUSR0000SETG01,1994,M10,1994 Oct,179.9
CUSR0000SETG01,1994,M11,1994 Nov,177.8
CUSR0000SETG01,1994,M12,1994 Dec,175.3
CUSR0000SETG01,1995,M01,1995 Jan,179.5
CUSR0000SETG01,1995,M02,1995 Feb,181.4
CUSR0000SETG01,1995,M03,1995 Mar,188.5
CUSR0000SETG01,1995,M04,1995 Apr,191.2
CUSR0000SETG01,1995,M05,1995 May,191.2
CUSR0000SETG01,1995,M06,1995 Jun,200.4
CUSR0000SETG01,1995,M07,1995 Jul,199.2
CUSR0000SETG01,1995,M08,1995 Aug,191.6
CUSR0000SETG01,1995,M09,1995 Sep,189.7
CUSR0000SETG01,1995,M10,1995 Oct,193.7
CUSR0000SETG01,1995,M11,1995 Nov,191.5
CUSR0000SETG01,1995,M12,1995 Dec,178.4
CUSR0000SETG01,1996,M01,1996 Jan,179.4
CUSR0000SETG01,1996,M02,1996 Feb,188.4
CUSR0000SETG01,1996,M03,1996 Mar,187.9
CUSR0000SETG01,1996,M04,1996 Apr,187.7
CUSR0000SETG01,1996,M05,1996 May,189.2
CUSR0000SETG01,1996,M06,1996 Jun,192.1
CUSR0000SETG01,1996,M07,1996 Jul,192.9
CUSR0000SETG01,1996,M08,1996 Aug,190.9
CUSR0000SETG01,1996,M09,1996 Sep,196.0
CUSR0000SETG01,1996,M10,1996 Oct,200.1
CUSR0000SETG01,1996,M11,1996 Nov,200.1
CUSR0000SETG01,1996,M12,1996 Dec,204.7
CUSR0000SETG01,1997,M01,1997 Jan,198.1
CUSR0000SETG01,1997,M02,1997 Feb,192.9
CUSR0000SETG01,1997,M03,1997 Mar,201.6
CUSR0000SETG01,1997,M04,1997 Apr,204.1
CUSR0000SETG01,1997,M05,1997 May,201.5
CUSR0000SETG01,1997,M06,1997 Jun,199.1
CUSR0000SETG01,1997,M07,1997 Jul,203.6
CUSR0000SETG01,1997,M08,1997 Aug,194.0
CUSR0000SETG01,1997,M09,1997 Sep,198.0
CUSR0000SETG01,1997,M10,1997 Oct,205.5
CUSR0000SETG01,1997,M11,1997 Nov,197.5
CUSR0000SETG01,1997,M12,1997 Dec,194.8
CUSR0000SETG01,1998,M01,1998 Jan,200.1
CUSR0000SETG01,1998,M02,1998 Feb,206.6
CUSR0000SETG01,1998,M03,1998 Mar,210.7
CUSR0000SETG01,1998,M04,1998 Apr,210.1
CUSR0000SETG01,1998,M05,1998 May,205.0
CUSR0000SETG01,1998,M06,1998 Jun,200.9
CUSR0000SETG01,1998,M07,1998 Jul,207.3
CUSR0000SETG01,1998,M08,1998 Aug,207.8
CUSR0000SETG01,1998,M09,1998 Sep,206.0
CUSR0000SETG01,1998,M10,1998 Oct,205.2
CUSR0000SETG01,1998,M11,1998 Nov,200.8
CUSR0000SETG01,1998,M12,1998 Dec,202.8
CUSR0000SETG01,1999,M01,1999 Jan,206.4
CUSR0000SETG01,1999,M02,1999 Feb,211.4
CUSR0000SETG01,1999,M03,1999 Mar,221.3
CUSR0000SETG01,1999,M04,1999 Apr,225.8
CUSR0000SETG01,1999,M05,1999 May,220.2
CUSR0000SETG01,1999,M06,1999 Jun,209.7
CUSR0000SETG01,1999,M07,1999 Jul,223.3
