Year,Total,Public
1985,16319,5858
1990,17490,5589
1991,17581,5551
1992,17846,5545
1993,18317,5538
1994,18343,5474
1995,18224,5415
1996,18292,5389
1997,18345,5357
1998,18770,5352
1999,19098,5324
2000,19281,5317
2001,19356,5294
2002,19572,5286
2003,19581,5286
2004,19820,5288
2005,19854,5270
2006,19983,5233
2007,20341,5221
2008,19930,5202
2009,19750,5178
2010,19802,5175
2011,19782,5172
2012,19711,5171
2013,19457,5155
2014,19299,5145
2016,19536,5136
2017,19655,5104
2018,19627,5099
2019,19636,5080
2020,19919,5217
2021,20061,5211
2022,19969,5193
