Year	Grand Total	Single-Engine	Multi-Engine	Total Piston	Turboprop	Business Jet	Total Turbine	Companies Reporting	Factory Net Billings ($Millions)
1946	 35,000 	n/a	n/a	 35,000 	 - 0 	 - 0 	 - 0 	 - 	 $111 
1947	 15,594 	n/a	n/a	 15,594 	 - 0 	 - 0 	 - 0 	 15 	 $58 
1948	 7,037 	n/a	n/a	 7,037 	 - 0 	 - 0 	 - 0 	 12 	 $32 
1949	 3,405 	n/a	n/a	 3,405 	 - 0 	 - 0 	 - 0 	 11 	 $18 
1950	 3,386 	n/a	n/a	 3,386 	 - 0 	 - 0 	 - 0 	 13 	 $19 
1951	 2,302 	n/a	n/a	 2,302 	 - 0 	 - 0 	 - 0 	 12 	 $17 
1952	 3,058 	n/a	n/a	 3,058 	 - 0 	 - 0 	 - 0 	 8 	 $27 
1953	 3,788 	n/a	n/a	 3,788 	 - 0 	 - 0 	 - 0 	 7 	 $34 
1954	 3,071 	n/a	n/a	 3,071 	 - 0 	 - 0 	 - 0 	 7 	 $43 
1955	 4,434 	n/a	n/a	 4,434 	 - 0 	 - 0 	 - 0 	 7 	 $68 
1956	 6,738 	n/a	n/a	 6,738 	 - 0 	 - 0 	 - 0 	 8 	 $104 
1957	 6,118 	n/a	n/a	 6,118 	 - 0 	 - 0 	 - 0 	 9 	 $100 
1958	 6,414 	n/a	n/a	 6,414 	 - 0 	 - 0 	 - 0 	 10 	 $102 
1959	 7,689 	 6,849 	 840 	 7,689 	 - 0 	 - 0 	 - 0 	 9 	 $130 
1960	 7,588 	 6,569 	 1,019 	 7,588 	 - 0 	 - 0 	 - 0 	 8 	 $151 
1961	 6,756 	 5,995 	 761 	 6,756 	 - 0 	 - 0 	 - 0 	 8 	 $124 
1962	 6,697 	 5,690 	 1,007 	 6,697 	 - 0 	 - 0 	 - 0 	 7 	 $137 
1963	 7,569 	 6,248 	 1,321 	 7,569 	 - 0 	 - 0 	 - 0 	 7 	 $153 
1964	 9,336 	 7,718 	 1,606 	 9,324 	 9 	 3 	 12 	 8 	 $199 
1965	 11,852 	 9,873 	 1,780 	 11,653 	 87 	 112 	 199 	 8 	 $318 
1966	 15,768 	 13,250 	 2,192 	 15,442 	 165 	 161 	 326 	 10 	 $445 
1967	 13,577 	 11,557 	 1,773 	 13,330 	 149 	 98 	 247 	 14 	 $360 
1968	 13,698 	 11,398 	 1,959 	 13,357 	 248 	 93 	 341 	 14 	 $426 
