Year,BCI
1989,2634
1988,2598
1987,2541
1986,2483
1985,2428
1984,2417
1983,2384
1982,2234
1981,2097
1980,1941
1979,1919
1978,1654
1977,1545
1976,1425
1975,1306
1974,1205
1973,1138
1972,1048
1971,948
1970,836
1969,790
1968,721
1967,676
1966,650
1965,627
1964,612
1963,594
1962,580
1961,568
1960,559
1959,548
1958,525
1957,509
1956,491
1955,469
1954,446
1953,431
1952,416
1951,401
1950,375
1949,352
1948,341
1947,313
1946,262
1945,239
1944,235
1943,229
1942,222
1941,211
1940,203
1939,197
1938,197
1937,196
1936,172
1935,166
1934,167
1933,148
1932,131
1931,168
1930,185
1929,191
1928,188
1927,186
1926,185
1925,183
1924,186
1923,186
1922,155
1921,166
1920,207
1919,159
1918,159
1917,167
1916,131
1915,95
