Series ID,Year,Period,Label,Value
CUUR0000SEED03,1997,M12,1997 Dec,100.0
CUUR0000SEED03,1998,M01,1998 Jan,99.0
CUUR0000SEED03,1998,M02,1998 Feb,98.1
CUUR0000SEED03,1998,M03,1998 Mar,97.4
CUUR0000SEED03,1998,M04,1998 Apr,96.4
CUUR0000SEED03,1998,M05,1998 May,96.2
CUUR0000SEED03,1998,M06,1998 Jun,94.4
CUUR0000SEED03,1998,M07,1998 Jul,94.2
CUUR0000SEED03,1998,M08,1998 Aug,93.9
CUUR0000SEED03,1998,M09,1998 Sep,94.1
CUUR0000SEED03,1998,M10,1998 Oct,93.7
CUUR0000SEED03,1998,M11,1998 Nov,92.4
CUUR0000SEED03,1998,M12,1998 Dec,91.7
CUUR0000SEED03,1999,M01,1999 Jan,90.9
CUUR0000SEED03,1999,M02,1999 Feb,89.7
CUUR0000SEED03,1999,M03,1999 Mar,89.0
CUUR0000SEED03,1999,M04,1999 Apr,87.8
CUUR0000SEED03,1999,M05,1999 May,85.8
CUUR0000SEED03,1999,M06,1999 Jun,84.0
CUUR0000SEED03,1999,M07,1999 Jul,82.9
CUUR0000SEED03,1999,M08,1999 Aug,82.3
CUUR0000SEED03,1999,M09,1999 Sep,82.6
CUUR0000SEED03,1999,M10,1999 Oct,82.0
CUUR0000SEED03,1999,M11,1999 Nov,81.2
CUUR0000SEED03,1999,M12,1999 Dec,81.1
CUUR0000SEED03,2000,M01,2000 Jan,80.6
CUUR0000SEED03,2000,M02,2000 Feb,79.7
CUUR0000SEED03,2000,M03,2000 Mar,79.2
CUUR0000SEED03,2000,M04,2000 Apr,78.9
CUUR0000SEED03,2000,M05,2000 May,78.2
CUUR0000SEED03,2000,M06,2000 Jun,76.8
CUUR0000SEED03,2000,M07,2000 Jul,74.9
CUUR0000SEED03,2000,M08,2000 Aug,73.7
CUUR0000SEED03,2000,M09,2000 Sep,72.8
CUUR0000SEED03,2000,M10,2000 Oct,73.0
CUUR0000SEED03,2000,M11,2000 Nov,72.9
CUUR0000SEED03,2000,M12,2000 Dec,71.1
CUUR0000SEED03,2001,M01,2001 Jan,68.9
CUUR0000SEED03,2001,M02,2001 Feb,68.9
CUUR0000SEED03,2001,M03,2001 Mar,68.7
CUUR0000SEED03,2001,M04,2001 Apr,68.8
CUUR0000SEED03,2001,M05,2001 May,68.5
CUUR0000SEED03,2001,M06,2001 Jun,68.1
CUUR0000SEED03,2001,M07,2001 Jul,68.6
CUUR0000SEED03,2001,M08,2001 Aug,68.1
CUUR0000SEED03,2001,M09,2001 Sep,67.2
CUUR0000SEED03,2001,M10,2001 Oct,67.1
CUUR0000SEED03,2001,M11,2001 Nov,67.5
CUUR0000SEED03,2001,M12,2001 Dec,67.2
CUUR0000SEED03,2002,M01,2002 Jan,67.5
CUUR0000SEED03,2002,M02,2002 Feb,67.5
CUUR0000SEED03,2002,M03,2002 Mar,67.5
CUUR0000SEED03,2002,M04,2002 Apr,67.6
CUUR0000SEED03,2002,M05,2002 May,66.7
CUUR0000SEED03,2002,M06,2002 Jun,66.6
CUUR0000SEED03,2002,M07,2002 Jul,67.0
