Year,Total Enrollment, Percent Public Institution Enrollment
2023,18939568,73.19
2022,18961280,73.12
2021,18659851,72.58
2020,19027410,72.97
2019,19630178,73.88
2018,19651412,73.99
2017,19778151,73.68
2016,19846904,73.49
2015,19988204,72.91
2014,20209092,72.52
2013,20376677,72.37
2012,20376677,72.37
2011,21010590,71.95
2010,21019438,72.04
2009,20313594,72.91
2008,19081686,73.22
2007,18258138,73.94
2006,17754230,74.21
2005,17487475,74.46
2004,17272044,75.15
2003,16911481,76.04
2002,16611711,76.77
2001,15927987,76.80
2000,15312289,76.75
1999,14849691,76.61
1998,14506967,76.78
1997,14502334,77.20
1996,14367520,77.40
1995,14261781,77.78
1994,14278790,77.97
1993,14304803,78.22
1992,14487359,78.58
1991,14358953,78.76
1990,13818637,78.48
1989,13538560,78.13
1988,13055337,77.83
1987,12766642,78.12
1986,12503511,77.69
1985,12247055,77.40
1984,12241940,77.42
1983,12464661,77.68
1982,12425780,78.03
1981,12371672,77.98
1980,12096895,78.18
1979,11569899,78.11
1978,11260092,78.03
1977,11285787,78.39
1976,11012137,78.58
1975,11184859,78.99
1974,10223729,78.14
1973,9602123,77.27
1972,9214860,76.73
1971,8948644,76.04
1970,8580887,74.91
1965,5920864,67.04
1961,4145065,61.80
1955,2653034,55.65
1950,2281298,49.96
