Series ID,Year,Period,Label,Value
CUUR0000SEEE02,1997,M12,1997 Dec,100.0
CUUR0000SEEE02,1998,M01,1998 Jan,97.1
CUUR0000SEEE02,1998,M02,1998 Feb,97.2
CUUR0000SEEE02,1998,M03,1998 Mar,98.3
CUUR0000SEEE02,1998,M04,1998 Apr,97.9
CUUR0000SEEE02,1998,M05,1998 May,97.1
CUUR0000SEEE02,1998,M06,1998 Jun,97.2
CUUR0000SEEE02,1998,M07,1998 Jul,98.2
CUUR0000SEEE02,1998,M08,1998 Aug,95.4
CUUR0000SEEE02,1998,M09,1998 Sep,94.7
CUUR0000SEEE02,1998,M10,1998 Oct,92.7
CUUR0000SEEE02,1998,M11,1998 Nov,90.0
CUUR0000SEEE02,1998,M12,1998 Dec,90.0
CUUR0000SEEE02,1999,M01,1999 Jan,88.2
CUUR0000SEEE02,1999,M02,1999 Feb,88.6
CUUR0000SEEE02,1999,M03,1999 Mar,89.0
CUUR0000SEEE02,1999,M04,1999 Apr,87.7
CUUR0000SEEE02,1999,M05,1999 May,87.3
CUUR0000SEEE02,1999,M06,1999 Jun,87.1
CUUR0000SEEE02,1999,M07,1999 Jul,89.3
CUUR0000SEEE02,1999,M08,1999 Aug,89.1
CUUR0000SEEE02,1999,M09,1999 Sep,88.7
CUUR0000SEEE02,1999,M10,1999 Oct,89.4
CUUR0000SEEE02,1999,M11,1999 Nov,88.3
CUUR0000SEEE02,1999,M12,1999 Dec,88.2
CUUR0000SEEE02,2000,M01,2000 Jan,87.9
CUUR0000SEEE02,2000,M02,2000 Feb,87.6
CUUR0000SEEE02,2000,M03,2000 Mar,87.1
CUUR0000SEEE02,2000,M04,2000 Apr,87.4
CUUR0000SEEE02,2000,M05,2000 May,86.9
CUUR0000SEEE02,2000,M06,2000 Jun,86.1
CUUR0000SEEE02,2000,M07,2000 Jul,85.3
CUUR0000SEEE02,2000,M08,2000 Aug,85.2
CUUR0000SEEE02,2000,M09,2000 Sep,85.4
CUUR0000SEEE02,2000,M10,2000 Oct,82.5
CUUR0000SEEE02,2000,M11,2000 Nov,82.3
CUUR0000SEEE02,2000,M12,2000 Dec,81.5
CUUR0000SEEE02,2001,M01,2001 Jan,80.0
CUUR0000SEEE02,2001,M02,2001 Feb,80.1
CUUR0000SEEE02,2001,M03,2001 Mar,80.2
CUUR0000SEEE02,2001,M04,2001 Apr,79.6
CUUR0000SEEE02,2001,M05,2001 May,79.4
CUUR0000SEEE02,2001,M06,2001 Jun,78.6
CUUR0000SEEE02,2001,M07,2001 Jul,79.0
CUUR0000SEEE02,2001,M08,2001 Aug,79.1
CUUR0000SEEE02,2001,M09,2001 Sep,77.7
CUUR0000SEEE02,2001,M10,2001 Oct,77.0
CUUR0000SEEE02,2001,M11,2001 Nov,79.1
CUUR0000SEEE02,2001,M12,2001 Dec,79.5
CUUR0000SEEE02,2002,M01,2002 Jan,77.3
CUUR0000SEEE02,2002,M02,2002 Feb,76.9
CUUR0000SEEE02,2002,M03,2002 Mar,76.3
CUUR0000SEEE02,2002,M04,2002 Apr,76.6
CUUR0000SEEE02,2002,M05,2002 May,74.7
CUUR0000SEEE02,2002,M06,2002 Jun,74.3
CUUR0000SEEE02,2002,M07,2002 Jul,73.6
CUUR0000SEEE02,2002,M08,2002 Aug,73.3
CUUR0000SEEE02,2002,M09,2002 Sep,71.4
CUUR0000SEEE02,2002,M10,2002 Oct,71.2
CUUR0000SEEE02,2002,M11,2002 Nov,71.1
CUUR0000SEEE02,2002,M12,2002 Dec,71.0
CUUR0000SEEE02,2003,M01,2003 Jan,71.2
CUUR0000SEEE02,2003,M02,2003 Feb,70.8
CUUR0000SEEE02,2003,M03,2003 Mar,70.2
CUUR0000SEEE02,2003,M04,2003 Apr,69.6
CUUR0000SEEE02,2003,M05,2003 May,68.5
CUUR0000SEEE02,2003,M06,2003 Jun,67.7
CUUR0000SEEE02,2003,M07,2003 Jul,66.8
CUUR0000SEEE02,2003,M08,2003 Aug,65.5
CUUR0000SEEE02,2003,M09,2003 Sep,65.5
CUUR0000SEEE02,2003,M10,2003 Oct,65.0
CUUR0000SEEE02,2003,M11,2003 Nov,64.0
CUUR0000SEEE02,2003,M12,2003 Dec,64.1
CUUR0000SEEE02,2004,M01,2004 Jan,63.8
CUUR0000SEEE02,2004,M02,2004 Feb,63.3
CUUR0000SEEE02,2004,M03,2004 Mar,62.8
CUUR0000SEEE02,2004,M04,2004 Apr,63.2
CUUR0000SEEE02,2004,M05,2004 May,63.0
CUUR0000SEEE02,2004,M06,2004 Jun,62.5
CUUR0000SEEE02,2004,M07,2004 Jul,62.5
CUUR0000SEEE02,2004,M08,2004 Aug,62.6
CUUR0000SEEE02,2004,M09,2004 Sep,61.6
CUUR0000SEEE02,2004,M10,2004 Oct,61.5
CUUR0000SEEE02,2004,M11,2004 Nov,61.3
CUUR0000SEEE02,2004,M12,2004 Dec,61.1
CUUR0000SEEE02,2005,M01,2005 Jan,60.7
CUUR0000SEEE02,2005,M02,2005 Feb,60.3
CUUR0000SEEE02,2005,M03,2005 Mar,59.6
CUUR0000SEEE02,2005,M04,2005 Apr,59.1
CUUR0000SEEE02,2005,M05,2005 May,58.7
CUUR0000SEEE02,2005,M06,2005 Jun,58.4
CUUR0000SEEE02,2005,M07,2005 Jul,58.5
CUUR0000SEEE02,2005,M08,2005 Aug,58.5
CUUR0000SEEE02,2005,M09,2005 Sep,58.3
CUUR0000SEEE02,2005,M10,2005 Oct,58.3
CUUR0000SEEE02,2005,M11,2005 Nov,58.4
CUUR0000SEEE02,2005,M12,2005 Dec,58.5
CUUR0000SEEE02,2006,M01,2006 Jan,57.8
CUUR0000SEEE02,2006,M02,2006 Feb,57.3
CUUR0000SEEE02,2006,M03,2006 Mar,56.6
CUUR0000SEEE02,2006,M04,2006 Apr,56.0
CUUR0000SEEE02,2006,M05,2006 May,55.7
CUUR0000SEEE02,2006,M06,2006 Jun,55.1
CUUR0000SEEE02,2006,M07,2006 Jul,55.1
CUUR0000SEEE02,2006,M08,2006 Aug,54.5
CUUR0000SEEE02,2006,M09,2006 Sep,54.5
CUUR0000SEEE02,2006,M10,2006 Oct,54.0
CUUR0000SEEE02,2006,M11,2006 Nov,53.8
CUUR0000SEEE02,2006,M12,2006 Dec,54.2
CUUR0000SEEE02,2007,M01,2007 Jan,54.067
CUUR0000SEEE02,2007,M02,2007 Feb,53.956
CUUR0000SEEE02,2007,M03,2007 Mar,53.687
CUUR0000SEEE02,2007,M04,2007 Apr,53.159
CUUR0000SEEE02,2007,M05,2007 May,53.379
CUUR0000SEEE02,2007,M06,2007 Jun,53.228
CUUR0000SEEE02,2007,M07,2007 Jul,52.395
CUUR0000SEEE02,2007,M08,2007 Aug,50.993
CUUR0000SEEE02,2007,M09,2007 Sep,51.580
CUUR0000SEEE02,2007,M10,2007 Oct,51.499
CUUR0000SEEE02,2007,M11,2007 Nov,51.474
CUUR0000SEEE02,2007,M12,2007 Dec,50.722
CUUR0000SEEE02,2008,M01,2008 Jan,50.897
CUUR0000SEEE02,2008,M02,2008 Feb,51.207
CUUR0000SEEE02,2008,M03,2008 Mar,50.817
CUUR0000SEEE02,2008,M04,2008 Apr,50.924
CUUR0000SEEE02,2008,M05,2008 May,50.858
CUUR0000SEEE02,2008,M06,2008 Jun,50.574
CUUR0000SEEE02,2008,M07,2008 Jul,50.503
CUUR0000SEEE02,2008,M08,2008 Aug,50.447
CUUR0000SEEE02,2008,M09,2008 Sep,50.150
CUUR0000SEEE02,2008,M10,2008 Oct,50.674
CUUR0000SEEE02,2008,M11,2008 Nov,50.462
CUUR0000SEEE02,2008,M12,2008 Dec,50.180
CUUR0000SEEE02,2009,M01,2009 Jan,50.468
CUUR0000SEEE02,2009,M02,2009 Feb,50.630
CUUR0000SEEE02,2009,M03,2009 Mar,50.457
CUUR0000SEEE02,2009,M04,2009 Apr,50.691
CUUR0000SEEE02,2009,M05,2009 May,50.298
CUUR0000SEEE02,2009,M06,2009 Jun,50.294
CUUR0000SEEE02,2009,M07,2009 Jul,49.953
CUUR0000SEEE02,2009,M08,2009 Aug,49.742
CUUR0000SEEE02,2009,M09,2009 Sep,48.708
CUUR0000SEEE02,2009,M10,2009 Oct,49.503
CUUR0000SEEE02,2009,M11,2009 Nov,49.637
CUUR0000SEEE02,2009,M12,2009 Dec,48.930
CUUR0000SEEE02,2010,M01,2010 Jan,49.039
CUUR0000SEEE02,2010,M02,2010 Feb,49.348
CUUR0000SEEE02,2010,M03,2010 Mar,48.636
CUUR0000SEEE02,2010,M04,2010 Apr,47.722
CUUR0000SEEE02,2010,M05,2010 May,47.222
CUUR0000SEEE02,2010,M06,2010 Jun,46.004
CUUR0000SEEE02,2010,M07,2010 Jul,44.841
CUUR0000SEEE02,2010,M08,2010 Aug,45.125
CUUR0000SEEE02,2010,M09,2010 Sep,45.159
CUUR0000SEEE02,2010,M10,2010 Oct,45.242
CUUR0000SEEE02,2010,M11,2010 Nov,45.016
CUUR0000SEEE02,2010,M12,2010 Dec,43.791
CUUR0000SEEE02,2011,M01,2011 Jan,43.970
CUUR0000SEEE02,2011,M02,2011 Feb,44.023
CUUR0000SEEE02,2011,M03,2011 Mar,43.462
CUUR0000SEEE02,2011,M04,2011 Apr,43.318
CUUR0000SEEE02,2011,M05,2011 May,42.890
CUUR0000SEEE02,2011,M06,2011 Jun,42.879
CUUR0000SEEE02,2011,M07,2011 Jul,42.803
CUUR0000SEEE02,2011,M08,2011 Aug,42.903
CUUR0000SEEE02,2011,M09,2011 Sep,42.710
CUUR0000SEEE02,2011,M10,2011 Oct,42.057
CUUR0000SEEE02,2011,M11,2011 Nov,42.483
CUUR0000SEEE02,2011,M12,2011 Dec,43.187
CUUR0000SEEE02,2012,M01,2012 Jan,43.106
CUUR0000SEEE02,2012,M02,2012 Feb,42.379
CUUR0000SEEE02,2012,M03,2012 Mar,42.023
CUUR0000SEEE02,2012,M04,2012 Apr,41.792
CUUR0000SEEE02,2012,M05,2012 May,41.848
CUUR0000SEEE02,2012,M06,2012 Jun,41.020
CUUR0000SEEE02,2012,M07,2012 Jul,40.725
CUUR0000SEEE02,2012,M08,2012 Aug,39.806
CUUR0000SEEE02,2012,M09,2012 Sep,39.524
CUUR0000SEEE02,2012,M10,2012 Oct,39.421
CUUR0000SEEE02,2012,M11,2012 Nov,40.033
CUUR0000SEEE02,2012,M12,2012 Dec,40.079
CUUR0000SEEE02,2013,M01,2013 Jan,39.728
CUUR0000SEEE02,2013,M02,2013 Feb,39.863
CUUR0000SEEE02,2013,M03,2013 Mar,39.307
CUUR0000SEEE02,2013,M04,2013 Apr,38.744
CUUR0000SEEE02,2013,M05,2013 May,38.476
CUUR0000SEEE02,2013,M06,2013 Jun,38.491
CUUR0000SEEE02,2013,M07,2013 Jul,38.294
CUUR0000SEEE02,2013,M08,2013 Aug,37.927
CUUR0000SEEE02,2013,M09,2013 Sep,38.287
CUUR0000SEEE02,2013,M10,2013 Oct,38.479
CUUR0000SEEE02,2013,M11,2013 Nov,37.866
CUUR0000SEEE02,2013,M12,2013 Dec,37.237
CUUR0000SEEE02,2014,M01,2014 Jan,37.261
CUUR0000SEEE02,2014,M02,2014 Feb,36.996
CUUR0000SEEE02,2014,M03,2014 Mar,36.726
CUUR0000SEEE02,2014,M04,2014 Apr,36.680
CUUR0000SEEE02,2014,M05,2014 May,36.586
CUUR0000SEEE02,2014,M06,2014 Jun,36.886
CUUR0000SEEE02,2014,M07,2014 Jul,37.252
CUUR0000SEEE02,2014,M08,2014 Aug,37.426
CUUR0000SEEE02,2014,M09,2014 Sep,36.970
CUUR0000SEEE02,2014,M10,2014 Oct,37.138
CUUR0000SEEE02,2014,M11,2014 Nov,37.288
CUUR0000SEEE02,2014,M12,2014 Dec,36.807
CUUR0000SEEE02,2015,M01,2015 Jan,36.585
CUUR0000SEEE02,2015,M02,2015 Feb,36.601
CUUR0000SEEE02,2015,M03,2015 Mar,36.944
CUUR0000SEEE02,2015,M04,2015 Apr,36.831
CUUR0000SEEE02,2015,M05,2015 May,37.244
CUUR0000SEEE02,2015,M06,2015 Jun,36.926
CUUR0000SEEE02,2015,M07,2015 Jul,36.382
CUUR0000SEEE02,2015,M08,2015 Aug,36.776
CUUR0000SEEE02,2015,M09,2015 Sep,36.917
CUUR0000SEEE02,2015,M10,2015 Oct,37.114
CUUR0000SEEE02,2015,M11,2015 Nov,36.660
CUUR0000SEEE02,2015,M12,2015 Dec,36.369
CUUR0000SEEE02,2016,M01,2016 Jan,36.109
CUUR0000SEEE02,2016,M02,2016 Feb,35.883
CUUR0000SEEE02,2016,M03,2016 Mar,35.157
CUUR0000SEEE02,2016,M04,2016 Apr,35.749
CUUR0000SEEE02,2016,M05,2016 May,34.219
CUUR0000SEEE02,2016,M06,2016 Jun,34.277
CUUR0000SEEE02,2016,M07,2016 Jul,34.445
CUUR0000SEEE02,2016,M08,2016 Aug,33.996
CUUR0000SEEE02,2016,M09,2016 Sep,34.100
