Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AVG
2024,8277.69,,,,,,,,,,,,
2023,7976.68,7989.84,8000.61,8000.86,8054.43,8095.33,8179.87,8227.44,8240.55,8255.58,8268.19,8272.36,8130.15
2022,7359.09,7457.68,7565.14,7677.45,7785.64,7889.98,7950.39,7952.50,7958.27,7965.04,7966.90,7971.96,7791.67
2021,6459,6493,6545,6612,6754,6876,7006,7201,7214,7244,7255,7289,6912
2020,6214,6217,6218,6234,6239,6247,6258,6268,6300,6344,6392,6445,6281
2019,6107,6108,6110,6110,6112,6118,6131,6147,6147,6169,6179,6199,6136
2018,5921,5932,5942,5954,5995,6005,6043,6060,6081,6093,6093,6105,6019
2017,5734,5742,5789,5802,5816,5826,5844,5862,5873,5867,5902,5914,5831
2016,5561,5588,5605,5632,5637,5636,5659,5669,5657,5681,5690,5722,5645
2015,5497,5488,5487,5501,5490,5507,5510,5514,5541,5543,5563,5574,5518
2014,5324,5321,5336,5357,5370,5375,5383,5390,5409,5442,5468,5480,5387
2013,5226,5246,5249,5257,5272,5286,5281,5277,5285,5308,5317,5326,5278
2012,5120,5122,5144,5150,5167,5170,5184,5204,5195,5204,5213,5210,5174
2011,4969,5007,5010,5028,5035,5059,5074,5091,5098,5104,5113,5115,5058
2010,4800,4812,4811,4817,4858,4888,4910,4905,4910,4947,4968,4970,4883
2009,4782,4765,4767,4761,4773,4771,4762,4768,4764,4762,4757,4795,4769
2008,4557,4556,4571,4574,4599,4640,4723,4733,4827,4867,4847,4797,4691
2007,4432,4432,4411,4416,4475,4471,4493,4512,4533,4535,4558,4556,4485
2006,4335,4337,4330,4335,4331,4340,4356,4359,4375,4431,4462,4441,4369
2005,4112,4116,4127,4168,4189,4195,4197,4210,4242,4265,4312,4329,4205
2004,3767,3802,3859,3908,3956,3996,4013,4027,4102,4129,4128,4123,3984
2003,3648,3655,3649,3652,3660,3677,3683,3712,3717,3745,3765,3757,3693
2002,3581,3581,3597,3583,3612,3624,3652,3648,3655,3651,3654,3640,3623
2001,3545,3536,3541,3541,3547,3572,3625,3605,3597,3602,3596,3577,3574
2000,3503,3523,3536,3534,3558,3553,3545,3546,3539,3547,3541,3548,3539
1999,3425,3417,3411,3421,3422,3433,3460,3474,3504,3505,3498,3497,3456
1998,3363,3372,3368,3375,3374,3379,3382,3391,3414,3423,3424,3419,3391
1997,3332,3333,3323,3364,3377,3396,3392,3385,3378,3372,3350,3370,3364
1996,3127,3131,3135,3148,3161,3178,3190,3223,3246,3284,3304,3311,3203
1995,3112,3111,3103,3100,3096,3095,3114,3121,3109,3117,3131,3128,3112
1994,3071,3106,3116,3127,3125,3115,3107,3109,3116,3116,3109,3110,3111
1993,2886,2886,2915,2976,3071,3066,3038,3014,3009,3016,3029,3046,2996
1992,2784,2775,2799,2809,2828,2838,2845,2854,2857,2867,2873,2875,2834
1991,2720,2716,2715,2709,2723,2733,2757,2792,2785,2786,2791,2784,2751
1990,2664,2668,2673,2676,2691,2715,2716,2716,2730,2728,2730,2720,2702
