Series ID,Year,Period,Label,Value
CUSR0000SEEB01,1978,M01,1978 Jan,57.6
CUSR0000SEEB01,1978,M02,1978 Feb,58.1
CUSR0000SEEB01,1978,M03,1978 Mar,58.5
CUSR0000SEEB01,1978,M04,1978 Apr,59.0
CUSR0000SEEB01,1978,M05,1978 May,59.5
CUSR0000SEEB01,1978,M06,1978 Jun,60.0
CUSR0000SEEB01,1978,M07,1978 Jul,60.3
CUSR0000SEEB01,1978,M08,1978 Aug,61.1
CUSR0000SEEB01,1978,M09,1978 Sep,60.5
CUSR0000SEEB01,1978,M10,1978 Oct,60.9
CUSR0000SEEB01,1978,M11,1978 Nov,61.4
CUSR0000SEEB01,1978,M12,1978 Dec,61.8
CUSR0000SEEB01,1979,M01,1979 Jan,62.1
CUSR0000SEEB01,1979,M02,1979 Feb,62.6
CUSR0000SEEB01,1979,M03,1979 Mar,63.1
CUSR0000SEEB01,1979,M04,1979 Apr,63.7
CUSR0000SEEB01,1979,M05,1979 May,64.2
CUSR0000SEEB01,1979,M06,1979 Jun,64.9
CUSR0000SEEB01,1979,M07,1979 Jul,65.2
CUSR0000SEEB01,1979,M08,1979 Aug,66.0
CUSR0000SEEB01,1979,M09,1979 Sep,65.6
CUSR0000SEEB01,1979,M10,1979 Oct,65.6
CUSR0000SEEB01,1979,M11,1979 Nov,66.2
CUSR0000SEEB01,1979,M12,1979 Dec,66.7
CUSR0000SEEB01,1980,M01,1980 Jan,67.3
CUSR0000SEEB01,1980,M02,1980 Feb,67.8
CUSR0000SEEB01,1980,M03,1980 Mar,68.4
CUSR0000SEEB01,1980,M04,1980 Apr,68.9
CUSR0000SEEB01,1980,M05,1980 May,69.5
CUSR0000SEEB01,1980,M06,1980 Jun,70.1
CUSR0000SEEB01,1980,M07,1980 Jul,70.5
CUSR0000SEEB01,1980,M08,1980 Aug,71.4
CUSR0000SEEB01,1980,M09,1980 Sep,73.3
CUSR0000SEEB01,1980,M10,1980 Oct,73.4
CUSR0000SEEB01,1980,M11,1980 Nov,74.2
CUSR0000SEEB01,1980,M12,1980 Dec,74.8
CUSR0000SEEB01,1981,M01,1981 Jan,75.5
CUSR0000SEEB01,1981,M02,1981 Feb,76.1
CUSR0000SEEB01,1981,M03,1981 Mar,76.7
CUSR0000SEEB01,1981,M04,1981 Apr,77.3
CUSR0000SEEB01,1981,M05,1981 May,78.0
CUSR0000SEEB01,1981,M06,1981 Jun,78.8
CUSR0000SEEB01,1981,M07,1981 Jul,79.4
CUSR0000SEEB01,1981,M08,1981 Aug,80.0
CUSR0000SEEB01,1981,M09,1981 Sep,82.1
CUSR0000SEEB01,1981,M10,1981 Oct,83.0
CUSR0000SEEB01,1981,M11,1981 Nov,83.6
CUSR0000SEEB01,1981,M12,1981 Dec,84.4
CUSR0000SEEB01,1982,M01,1982 Jan,85.7
CUSR0000SEEB01,1982,M02,1982 Feb,86.5
CUSR0000SEEB01,1982,M03,1982 Mar,87.5
CUSR0000SEEB01,1982,M04,1982 Apr,88.3
CUSR0000SEEB01,1982,M05,1982 May,89.1
CUSR0000SEEB01,1982,M06,1982 Jun,89.9
CUSR0000SEEB01,1982,M07,1982 Jul,90.7
CUSR0000SEEB01,1982,M08,1982 Aug,91.2
CUSR0000SEEB01,1982,M09,1982 Sep,92.5
CUSR0000SEEB01,1982,M10,1982 Oct,93.3
CUSR0000SEEB01,1982,M11,1982 Nov,94.2
CUSR0000SEEB01,1982,M12,1982 Dec,95.0
CUSR0000SEEB01,1983,M01,1983 Jan,95.6
CUSR0000SEEB01,1983,M02,1983 Feb,96.3
CUSR0000SEEB01,1983,M03,1983 Mar,97.0
CUSR0000SEEB01,1983,M04,1983 Apr,97.8
CUSR0000SEEB01,1983,M05,1983 May,98.6
CUSR0000SEEB01,1983,M06,1983 Jun,99.4
CUSR0000SEEB01,1983,M07,1983 Jul,100.2
CUSR0000SEEB01,1983,M08,1983 Aug,100.9
CUSR0000SEEB01,1983,M09,1983 Sep,101.5
CUSR0000SEEB01,1983,M10,1983 Oct,102.3
CUSR0000SEEB01,1983,M11,1983 Nov,103.1
CUSR0000SEEB01,1983,M12,1983 Dec,104.0
CUSR0000SEEB01,1984,M01,1984 Jan,104.9
CUSR0000SEEB01,1984,M02,1984 Feb,105.6
CUSR0000SEEB01,1984,M03,1984 Mar,107.2
CUSR0000SEEB01,1984,M04,1984 Apr,107.9
CUSR0000SEEB01,1984,M05,1984 May,108.7
CUSR0000SEEB01,1984,M06,1984 Jun,109.6
CUSR0000SEEB01,1984,M07,1984 Jul,110.3
CUSR0000SEEB01,1984,M08,1984 Aug,110.9
CUSR0000SEEB01,1984,M09,1984 Sep,112.5
CUSR0000SEEB01,1984,M10,1984 Oct,113.1
CUSR0000SEEB01,1984,M11,1984 Nov,113.9
CUSR0000SEEB01,1984,M12,1984 Dec,114.7
CUSR0000SEEB01,1985,M01,1985 Jan,115.5
CUSR0000SEEB01,1985,M02,1985 Feb,116.4
CUSR0000SEEB01,1985,M03,1985 Mar,117.0
CUSR0000SEEB01,1985,M04,1985 Apr,117.8
CUSR0000SEEB01,1985,M05,1985 May,118.6
CUSR0000SEEB01,1985,M06,1985 Jun,119.4
CUSR0000SEEB01,1985,M07,1985 Jul,120.3
CUSR0000SEEB01,1985,M08,1985 Aug,120.6
CUSR0000SEEB01,1985,M09,1985 Sep,122.1
CUSR0000SEEB01,1985,M10,1985 Oct,122.9
CUSR0000SEEB01,1985,M11,1985 Nov,123.9
CUSR0000SEEB01,1985,M12,1985 Dec,124.8
CUSR0000SEEB01,1986,M01,1986 Jan,125.4
CUSR0000SEEB01,1986,M02,1986 Feb,126.1
CUSR0000SEEB01,1986,M03,1986 Mar,126.9
CUSR0000SEEB01,1986,M04,1986 Apr,127.7
CUSR0000SEEB01,1986,M05,1986 May,128.5
CUSR0000SEEB01,1986,M06,1986 Jun,129.2
CUSR0000SEEB01,1986,M07,1986 Jul,129.9
CUSR0000SEEB01,1986,M08,1986 Aug,130.5
CUSR0000SEEB01,1986,M09,1986 Sep,131.6
CUSR0000SEEB01,1986,M10,1986 Oct,132.5
CUSR0000SEEB01,1986,M11,1986 Nov,133.3
CUSR0000SEEB01,1986,M12,1986 Dec,134.0
CUSR0000SEEB01,1987,M01,1987 Jan,135.0
CUSR0000SEEB01,1987,M02,1987 Feb,135.8
CUSR0000SEEB01,1987,M03,1987 Mar,136.7
CUSR0000SEEB01,1987,M04,1987 Apr,137.7
CUSR0000SEEB01,1987,M05,1987 May,138.6
CUSR0000SEEB01,1987,M06,1987 Jun,139.6
CUSR0000SEEB01,1987,M07,1987 Jul,140.4
CUSR0000SEEB01,1987,M08,1987 Aug,141.2
CUSR0000SEEB01,1987,M09,1987 Sep,140.4
CUSR0000SEEB01,1987,M10,1987 Oct,141.5
CUSR0000SEEB01,1987,M11,1987 Nov,142.4
CUSR0000SEEB01,1987,M12,1987 Dec,143.6
CUSR0000SEEB01,1988,M01,1988 Jan,144.4
CUSR0000SEEB01,1988,M02,1988 Feb,145.8
CUSR0000SEEB01,1988,M03,1988 Mar,146.8
CUSR0000SEEB01,1988,M04,1988 Apr,147.7
CUSR0000SEEB01,1988,M05,1988 May,148.6
CUSR0000SEEB01,1988,M06,1988 Jun,149.7
CUSR0000SEEB01,1988,M07,1988 Jul,150.6
CUSR0000SEEB01,1988,M08,1988 Aug,151.9
CUSR0000SEEB01,1988,M09,1988 Sep,152.2
CUSR0000SEEB01,1988,M10,1988 Oct,153.1
CUSR0000SEEB01,1988,M11,1988 Nov,154.0
CUSR0000SEEB01,1988,M12,1988 Dec,154.9
CUSR0000SEEB01,1989,M01,1989 Jan,156.1
CUSR0000SEEB01,1989,M02,1989 Feb,157.3
CUSR0000SEEB01,1989,M03,1989 Mar,158.5
CUSR0000SEEB01,1989,M04,1989 Apr,159.5
CUSR0000SEEB01,1989,M05,1989 May,160.5
CUSR0000SEEB01,1989,M06,1989 Jun,161.1
CUSR0000SEEB01,1989,M07,1989 Jul,162.2
CUSR0000SEEB01,1989,M08,1989 Aug,163.3
CUSR0000SEEB01,1989,M09,1989 Sep,164.4
CUSR0000SEEB01,1989,M10,1989 Oct,165.4
CUSR0000SEEB01,1989,M11,1989 Nov,166.6
CUSR0000SEEB01,1989,M12,1989 Dec,167.4
CUSR0000SEEB01,1990,M01,1990 Jan,168.4
CUSR0000SEEB01,1990,M02,1990 Feb,169.4
CUSR0000SEEB01,1990,M03,1990 Mar,170.6
CUSR0000SEEB01,1990,M04,1990 Apr,171.6
CUSR0000SEEB01,1990,M05,1990 May,172.8
CUSR0000SEEB01,1990,M06,1990 Jun,174.2
CUSR0000SEEB01,1990,M07,1990 Jul,175.8
CUSR0000SEEB01,1990,M08,1990 Aug,178.2
CUSR0000SEEB01,1990,M09,1990 Sep,177.9
CUSR0000SEEB01,1990,M10,1990 Oct,179.0
CUSR0000SEEB01,1990,M11,1990 Nov,180.1
CUSR0000SEEB01,1990,M12,1990 Dec,181.2
CUSR0000SEEB01,1991,M01,1991 Jan,183.5
CUSR0000SEEB01,1991,M02,1991 Feb,184.8
CUSR0000SEEB01,1991,M03,1991 Mar,186.2
CUSR0000SEEB01,1991,M04,1991 Apr,187.6
CUSR0000SEEB01,1991,M05,1991 May,189.0
CUSR0000SEEB01,1991,M06,1991 Jun,190.6
CUSR0000SEEB01,1991,M07,1991 Jul,192.2
CUSR0000SEEB01,1991,M08,1991 Aug,193.6
CUSR0000SEEB01,1991,M09,1991 Sep,199.8
CUSR0000SEEB01,1991,M10,1991 Oct,200.6
CUSR0000SEEB01,1991,M11,1991 Nov,201.8
CUSR0000SEEB01,1991,M12,1991 Dec,203.1
CUSR0000SEEB01,1992,M01,1992 Jan,204.2
CUSR0000SEEB01,1992,M02,1992 Feb,205.4
CUSR0000SEEB01,1992,M03,1992 Mar,207.3
CUSR0000SEEB01,1992,M04,1992 Apr,209.5
CUSR0000SEEB01,1992,M05,1992 May,211.0
CUSR0000SEEB01,1992,M06,1992 Jun,212.7
CUSR0000SEEB01,1992,M07,1992 Jul,213.9
CUSR0000SEEB01,1992,M08,1992 Aug,215.6
CUSR0000SEEB01,1992,M09,1992 Sep,217.7
CUSR0000SEEB01,1992,M10,1992 Oct,219.8
CUSR0000SEEB01,1992,M11,1992 Nov,221.2
CUSR0000SEEB01,1992,M12,1992 Dec,223.4
CUSR0000SEEB01,1993,M01,1993 Jan,226.1
CUSR0000SEEB01,1993,M02,1993 Feb,227.2
CUSR0000SEEB01,1993,M03,1993 Mar,228.6
CUSR0000SEEB01,1993,M04,1993 Apr,229.8
CUSR0000SEEB01,1993,M05,1993 May,231.4
CUSR0000SEEB01,1993,M06,1993 Jun,232.9
CUSR0000SEEB01,1993,M07,1993 Jul,234.4
CUSR0000SEEB01,1993,M08,1993 Aug,235.0
CUSR0000SEEB01,1993,M09,1993 Sep,236.9
CUSR0000SEEB01,1993,M10,1993 Oct,238.3
CUSR0000SEEB01,1993,M11,1993 Nov,239.9
CUSR0000SEEB01,1993,M12,1993 Dec,241.2
CUSR0000SEEB01,1994,M01,1994 Jan,242.6
CUSR0000SEEB01,1994,M02,1994 Feb,243.8
CUSR0000SEEB01,1994,M03,1994 Mar,245.2
CUSR0000SEEB01,1994,M04,1994 Apr,246.6
CUSR0000SEEB01,1994,M05,1994 May,247.9
CUSR0000SEEB01,1994,M06,1994 Jun,249.5
CUSR0000SEEB01,1994,M07,1994 Jul,250.6
CUSR0000SEEB01,1994,M08,1994 Aug,251.9
CUSR0000SEEB01,1994,M09,1994 Sep,253.2
CUSR0000SEEB01,1994,M10,1994 Oct,254.1
CUSR0000SEEB01,1994,M11,1994 Nov,255.5
CUSR0000SEEB01,1994,M12,1994 Dec,256.7
CUSR0000SEEB01,1995,M01,1995 Jan,257.7
CUSR0000SEEB01,1995,M02,1995 Feb,259.5
CUSR0000SEEB01,1995,M03,1995 Mar,260.8
CUSR0000SEEB01,1995,M04,1995 Apr,261.6
CUSR0000SEEB01,1995,M05,1995 May,262.8
CUSR0000SEEB01,1995,M06,1995 Jun,263.9
CUSR0000SEEB01,1995,M07,1995 Jul,265.2
