Year,Total,Total,Officials and administrators,Instruction coordinators,Total,Principals and assistant principals,Teachers,Instructional aides,Guidance counselors,Librarians,Support staff,Teachers per student
1949,1300031,33642,23868,9774,956808,43137,913671,309582,,,,27.5
1959,2089283,42423,28648,13775,1448931,63554,1353372,14643,17363,597929,,26.0
1969,3360763,65282,33745,31537,2255707,90593,2016244,57418,48763,42689,1039774,22.6
1980,4168286,78784,58230,20554,2729023,107061,2184216,325755,63973,48018,1360479,18.7
1990,4494076,75868,,,3051404,127417,2398169,395959,79950,49909,1366804,17.2
2000,5709753,97270,57837,39433,3876628,141792,2941461,641392,97737,54246,1735855,16.0
2002,5954661,110777,62781,47996,4016963,164171,3034123,663552,100912,54205,1826921,15.9
2003,5953667,107483,63418,44065,4052739,165233,3048652,685118,99387,54349,1793445,15.9
2004,6058174,111832,64101,47731,4120063,165657,3090925,707514,101822,54145,1826279,15.8
2005,6130686,121164,62464,58700,4151236,156454,3143003,693792,103930,54057,1858286,15.6
2006,6153735,118707,53722,64985,4186968,153673,3166391,709715,102745,54444,1848060,15.6
2007,6232911,130044,59361,70683,4235238,157539,3199995,717806,105512,54386,1867629,15.4
2008,6326702,135706,62153,73553,4277674,159897,3222154,734010,107808,53805,1913322,15.3
2009,6351157,138471,63969,74502,4279488,168450,3209672,741337,107484,52545,1933198,15.4
2010,6195207,133833,64597,69236,4151225,165047,3099095,731705,105079,50300,1910150,16.0
2011,6138890,130595,62884,67711,4133767,166416,3103263,710335,105351,48402,1874528,16.0
2012,6181238,136387,65420,70967,4158000,169240,3109101,729756,103218,46685,1886851,16.0
2013,6187901,139667,66732,72935,4167118,168101,3113764,738226,101920,45106,1881116,16.1
2014,6258543,148229,68962,79267,4205088,174664,3132351,749143,104306,44624,1905226,16.1
2015,6373406,155273,67778,87495,4249784,182006,3151497,764537,108376,43368,1968350,16.0
2016,6484723,160540,70357,90183,4294185,183671,3169499,786773,111278,42964,2029998,16.0
2017,6544767,170158,74411,95746,4340264,189155,3169750,824051,114703,42605,2034346,16.0
2018,6557054,173958,74366,99591,4349183,193934,3169762,825632,117839,42015,2033914,16.0
2019,6683302,182477,77875,104603,4433961,193734,3198170,883071,119539,39447,2066863,15.9
2020,6618270,166805,83821,82984,4396927,191868,3195800,850092,120105,39061,2054538,15.4
2021,6633741,172255,85114,87141,4418834,193836,3214242,849577,121893,39286,2042652,15.4
