Date,Direct Loans Dollars Outstanding (in billions),Direct Loans Recipients (in millions),FFEL Dollars Outstanding (in billions),FFEL Recipients (in millions),Perkins Dollars Outstanding (in billions),Perkins Recipients (in millions),Dollars Outstanding (in billions),Unduplicated Recipients (in millions),Total
2007,106.8,7.0,401.9,22.6,8.2,2.8,516.0,28.3,590
2008,122.5,7.7,446.5,23.7,8.5,2.9,577.0,29.9,680
2009,154.9,9.2,493.3,25.0,8.7,3.0,657.0,32.1,770
2010,224.5,14.4,516.7,25.1,8.4,2.9,749.8,34.3,860
2011,350.1,19.4,489.8,23.8,8.3,2.9,848.2,36.5,960
2012,488.3,22.8,451.7,22.4,8.2,2.9,948.2,38.3,1050
2013-01-01,508.7,23.4,444.9,22.1,8.2,3.0,961.9,38.7,1150
2013-03-01,553.0,24.1,437.0,21.6,8.3,3.0,998.6,38.9,
2013-06-01,569.2,24.3,429.5,21.2,8.2,2.9,1006.8,38.7,
2013-09-01,609.1,25.6,423.0,20.9,8.1,2.9,1040.2,39.6,
2014-01-01,626.5,26.2,417.1,20.6,8.2,3.0,1051.8,40.0,1240
2014-03-01,669.0,26.5,409.7,20.2,8.3,3.0,1087.0,40.0,
2014-06-01,685.7,26.7,402.5,19.8,8.2,2.9,1096.5,39.9,
2014-09-01,726.6,27.9,395.0,19.4,8.2,2.9,1129.8,40.7,
2015-01-01,744.3,28.5,387.6,19.1,8.2,3.0,1140.1,41.1,1320
2015-03-01,787.0,28.7,379.1,18.6,8.3,2.9,1174.4,41.0,
2015-06-01,803.1,28.8,370.9,18.2,8.2,2.9,1182.1,40.8,
2015-09-01,840.7,29.9,363.6,17.9,8.1,2.8,1212.4,41.6,
2016-01-01,854.8,30.3,357.3,17.5,8.1,2.9,1220.3,41.8,1410
2016-03-01,896.6,30.5,350.2,17.2,8.2,2.8,1254.9,41.7,
2016-06-01,911.6,30.5,342.6,16.8,8.0,2.7,1262.2,41.5,
2016-09-01,949.1,31.5,335.2,16.4,7.9,2.7,1292.2,42.3,
2017-01-01,963.5,31.9,328.3,16.1,7.9,2.7,1299.7,42.4,1490
2017-03-01,1003.3,32.1,320.5,15.7,7.9,2.6,1331.7,42.3,
2017-06-01,1017.0,32.0,312.6,15.2,7.8,2.6,1337.4,42.0,
2017-09-01,1053.5,33.0,305.8,14.9,7.6,2.5,1366.9,42.6,
2018-01-01,1066.8,33.3,301.1,14.5,7.6,2.5,1375.5,42.8,1570
2018-03-01,1104.0,33.4,295.5,14.2,7.6,2.5,1407.1,42.6,
2018-06-01,1116.0,33.3,288.6,13.8,7.4,2.4,1412.0,42.2,
2018-09-01,1150.3,34.2,281.8,13.5,7.1,2.3,1439.2,42.9,
2019-01-01,1163.3,34.5,277.0,13.1,6.9,2.2,1447.1,43.0,1640
2019-03-01,1198.4,34.5,271.6,12.8,6.6,2.2,1476.6,42.8,
2019-06-01,1208.8,34.3,266.0,12.4,6.3,2.1,1481.1,42.2,
2019-09-01,1242.6,35.1,261.6,12.1,6.1,2.0,1510.3,42.9,
2020-01-01,1251.9,35.3,257.2,11.8,5.9,1.9,1515.0,42.8,1690
2020-03-01,1284.7,35.3,252.4,11.5,5.6,1.9,1542.7,42.6,
2020-06-01,1290.6,35.2,248.7,11.2,5.4,1.8,1544.8,42.3,
2020-09-01,1315.2,35.9,245.9,11.0,5.2,1.7,1566.3,42.9,
2021-01-01,1318.1,36.1,242.1,10.8,4.9,1.7,1565.2,42.9,1730
2021-03-01,1348.3,36.3,238.8,10.6,4.7,1.6,1591.8,42.9,
2021-06-01,1352.7,36.3,234.1,10.3,4.3,1.6,1591.1,42.8,
2021-09-01,1375.9,37.0,230.4,10.2,4.4,1.5,1610.7,43.4,
2022-01-01,1376.5,37.2,225.7,9.9,4.2,1.5,1606.4,43.4,1760
2022-03-01,1396.2,37.1,219.3,9.6,4.2,1.4,1619.7,43.0,
2022-06-01,1399.7,37.1,213.7,9.4,4.0,1.3,1617.3,42.8,
2022-09-01,1422.8,37.8,207.8,9.2,3.9,1.3,1634.5,43.5,
2023-01-01,1432.9,38.3,198.6,8.8,3.8,1.3,1635.4,43.8,1774
2023-03-01,1446.0,38.3,194.7,8.7,3.7,1.2,1644.5,43.6,1761
2023-06-01,1439.1,38.2,191.0,8.5,3.7,1.2,1633.8,43.4,1732
2023-09-01,1413.3,38.1,185.4,8.3,3.6,1.2,1602.2,43.2,1727

