Degree,Year,Percent
High school,1940,38.1
High school,1950,52.8
High school,1960,60.7
High school,1970,75.4
High school,1980,85.4
High school,1990,85.7
High school,1995,86.8
High school,2000,88.1
High school,2005,86.2
High school,2006,86.4
High school,2007,87.0
High school,2008,87.8
High school,2009,88.6
High school,2010,88.8
High school,2011,89.0
High school,2012,89.7
High school,2013,89.9
High school,2014,90.8
High school,2015,91.2
High school,2016,91.7
High school,2017,92.5
High school,2018,92.9
High school,2019,93.5
High school,2020,94.8
High school,2021,94.3
High school,2022,94.6
Associate's degree,1995,33.0
Associate's degree,2000,37.7
Associate's degree,2005,37.3
Associate's degree,2006,37.6
Associate's degree,2007,38.6
Associate's degree,2008,39.7
Associate's degree,2009,39.3
Associate's degree,2010,41.1
Associate's degree,2011,42.1
Associate's degree,2012,42.8
Associate's degree,2013,43.2
Associate's degree,2014,44.1
Associate's degree,2015,45.7
Associate's degree,2016,46.1
Associate's degree,2017,46.1
Associate's degree,2018,46.7
Associate's degree,2019,49.1
Associate's degree,2020,50.0
Associate's degree,2021,49.2
Associate's degree,2022,49.1
Bachelor's degree,1940,5.9
Bachelor's degree,1950,7.7
Bachelor's degree,1960,11.0
Bachelor's degree,1970,16.4
Bachelor's degree,1980,22.5
Bachelor's degree,1990,23.2
Bachelor's degree,1995,24.7
Bachelor's degree,2000,29.1
Bachelor's degree,2005,28.8
Bachelor's degree,2006,28.4
Bachelor's degree,2007,29.6
Bachelor's degree,2008,30.8
Bachelor's degree,2009,30.6
Bachelor's degree,2010,31.7
Bachelor's degree,2011,32.2
Bachelor's degree,2012,33.5
Bachelor's degree,2013,33.6
Bachelor's degree,2014,34.0
Bachelor's degree,2015,35.6
Bachelor's degree,2016,36.1
Bachelor's degree,2017,35.7
Bachelor's degree,2018,37.0
Bachelor's degree,2019,38.7
Bachelor's degree,2020,39.2
Bachelor's degree,2021,39.0
Bachelor's degree,2022,39.6
Master's degree,1995,4.5
Master's degree,2000,5.4
Master's degree,2005,6.3
Master's degree,2006,6.4
Master's degree,2007,6.3
Master's degree,2008,7.0
Master's degree,2009,7.4
Master's degree,2010,6.8
Master's degree,2011,6.9
Master's degree,2012,7.2
Master's degree,2013,7.4
Master's degree,2014,7.6
Master's degree,2015,8.7
Master's degree,2016,9.2
Master's degree,2017,9.2
Master's degree,2018,9.0
Master's degree,2019,9.4
Master's degree,2020,9.4
Master's degree,2021,9.5
Master's degree,2022,10.2
