Series ID,Year,Period,Label,Value
CUSR0000SA0E,1957,M01,1957 Jan,21.3
CUSR0000SA0E,1957,M02,1957 Feb,21.4
CUSR0000SA0E,1957,M03,1957 Mar,21.5
CUSR0000SA0E,1957,M04,1957 Apr,21.6
CUSR0000SA0E,1957,M05,1957 May,21.6
CUSR0000SA0E,1957,M06,1957 Jun,21.6
CUSR0000SA0E,1957,M07,1957 Jul,21.5
CUSR0000SA0E,1957,M08,1957 Aug,21.4
CUSR0000SA0E,1957,M09,1957 Sep,21.4
CUSR0000SA0E,1957,M10,1957 Oct,21.4
CUSR0000SA0E,1957,M11,1957 Nov,21.5
CUSR0000SA0E,1957,M12,1957 Dec,21.5
CUSR0000SA0E,1958,M01,1958 Jan,21.6
CUSR0000SA0E,1958,M02,1958 Feb,21.3
CUSR0000SA0E,1958,M03,1958 Mar,21.4
CUSR0000SA0E,1958,M04,1958 Apr,21.4
CUSR0000SA0E,1958,M05,1958 May,21.5
CUSR0000SA0E,1958,M06,1958 Jun,21.5
CUSR0000SA0E,1958,M07,1958 Jul,21.6
CUSR0000SA0E,1958,M08,1958 Aug,21.7
CUSR0000SA0E,1958,M09,1958 Sep,21.7
CUSR0000SA0E,1958,M10,1958 Oct,21.7
CUSR0000SA0E,1958,M11,1958 Nov,21.4
CUSR0000SA0E,1958,M12,1958 Dec,21.4
CUSR0000SA0E,1959,M01,1959 Jan,21.4
CUSR0000SA0E,1959,M02,1959 Feb,21.6
CUSR0000SA0E,1959,M03,1959 Mar,21.7
CUSR0000SA0E,1959,M04,1959 Apr,21.8
CUSR0000SA0E,1959,M05,1959 May,21.8
CUSR0000SA0E,1959,M06,1959 Jun,21.9
CUSR0000SA0E,1959,M07,1959 Jul,21.8
CUSR0000SA0E,1959,M08,1959 Aug,21.9
CUSR0000SA0E,1959,M09,1959 Sep,21.9
CUSR0000SA0E,1959,M10,1959 Oct,22.2
CUSR0000SA0E,1959,M11,1959 Nov,22.2
CUSR0000SA0E,1959,M12,1959 Dec,22.3
CUSR0000SA0E,1960,M01,1960 Jan,22.3
CUSR0000SA0E,1960,M02,1960 Feb,22.2
CUSR0000SA0E,1960,M03,1960 Mar,22.3
CUSR0000SA0E,1960,M04,1960 Apr,22.4
CUSR0000SA0E,1960,M05,1960 May,22.3
CUSR0000SA0E,1960,M06,1960 Jun,22.4
CUSR0000SA0E,1960,M07,1960 Jul,22.5
CUSR0000SA0E,1960,M08,1960 Aug,22.5
CUSR0000SA0E,1960,M09,1960 Sep,22.6
CUSR0000SA0E,1960,M10,1960 Oct,22.5
CUSR0000SA0E,1960,M11,1960 Nov,22.7
CUSR0000SA0E,1960,M12,1960 Dec,22.6
CUSR0000SA0E,1961,M01,1961 Jan,22.7
CUSR0000SA0E,1961,M02,1961 Feb,22.6
CUSR0000SA0E,1961,M03,1961 Mar,22.6
CUSR0000SA0E,1961,M04,1961 Apr,22.2
CUSR0000SA0E,1961,M05,1961 May,22.4
CUSR0000SA0E,1961,M06,1961 Jun,22.5
CUSR0000SA0E,1961,M07,1961 Jul,22.5
CUSR0000SA0E,1961,M08,1961 Aug,22.5
CUSR0000SA0E,1961,M09,1961 Sep,22.6
CUSR0000SA0E,1961,M10,1961 Oct,22.4
CUSR0000SA0E,1961,M11,1961 Nov,22.5
CUSR0000SA0E,1961,M12,1961 Dec,22.4
CUSR0000SA0E,1962,M01,1962 Jan,22.4
CUSR0000SA0E,1962,M02,1962 Feb,22.6
CUSR0000SA0E,1962,M03,1962 Mar,22.4
CUSR0000SA0E,1962,M04,1962 Apr,22.7
