Year,Coal,Natural gas,Petroleum,NGPL,Nuclear,Renewables
1950,14.06,6.233,11.447,0.813,0,2.978
1951,14.419,7.416,13.037,0.91,0,2.958
1952,12.734,7.964,13.281,0.986,0,2.94
1953,12.278,8.339,13.671,1.051,0,2.831
1954,10.542,8.682,13.427,1.101,0,2.754
1955,12.37,9.345,14.41,1.223,0,2.784
1956,13.306,10.002,15.18,1.264,0,2.851
1957,13.061,10.605,15.178,1.274,0,2.849
1958,10.783,10.942,14.204,1.276,0.002,2.915
1959,10.778,11.952,14.933,1.37,0.002,2.901
1960,10.817,12.656,14.935,1.447,0.006,2.928
1961,10.447,13.105,15.206,1.531,0.02,2.952
1962,10.901,13.717,15.522,1.571,0.026,3.117
1963,11.849,14.513,15.966,1.687,0.038,3.096
1964,12.524,15.298,16.164,1.777,0.04,3.225
1965,13.055,15.775,16.521,1.853,0.043,3.396
1966,13.468,17.011,17.561,1.971,0.064,3.432
1967,13.825,17.943,18.651,2.148,0.088,3.69
1968,13.609,19.068,19.308,2.289,0.142,3.773
1969,13.863,20.446,19.556,2.386,0.154,4.095
1970,14.607,21.666,20.401,2.478,0.239,4.07
1971,13.186,22.28,20.033,2.513,0.413,4.262
1972,14.092,22.208,20.041,2.564,0.584,4.382
1973,13.992,22.187,19.493,2.535,0.91,4.411
1974,14.074,21.21,18.575,2.435,1.272,4.742
1975,14.989,19.64,17.729,2.338,1.9,4.687
1976,15.654,19.48,17.262,2.288,2.111,4.727
1977,15.755,19.565,17.454,2.286,2.702,4.209
1978,14.91,19.485,18.434,2.202,3.024,5.005
1979,17.54,20.076,18.104,2.232,2.776,5.123
1980,18.598,19.908,18.249,2.225,2.739,5.428
1981,18.377,19.699,18.146,2.266,3.008,5.414
1982,18.639,18.319,18.309,2.149,3.131,5.98
1983,17.247,16.593,18.392,2.136,3.203,6.496
1984,19.719,18.008,18.848,2.234,3.553,6.438
1985,19.325,16.98,18.992,2.204,4.076,6.084
1986,19.509,16.541,18.376,2.113,4.38,6.111
1987,20.141,17.136,17.675,2.179,4.754,5.622
1988,20.738,17.599,17.279,2.231,5.587,5.457
1989,21.36,17.847,16.117,2.123,5.602,6.235
1990,22.488,18.326,15.571,2.138,6.104,6.04
1991,21.636,18.229,15.701,2.265,6.422,6.068
1992,21.694,18.375,15.223,2.323,6.479,5.821
1993,20.336,18.584,14.494,2.366,6.41,6.082
1994,22.202,19.348,14.103,2.349,6.694,5.987
1995,22.13,19.082,13.887,2.398,7.075,6.557
1996,22.79,19.344,13.723,2.48,7.087,7.011
1997,23.31,19.394,13.658,2.445,6.597,7.017
1998,24.045,19.613,13.235,2.372,7.068,6.493
1999,23.295,19.341,12.451,2.473,7.61,6.516
2000,22.735,19.662,12.358,2.551,7.862,6.102
2001,23.547,20.166,12.282,2.491,8.029,5.162
2002,22.732,19.382,12.16,2.502,8.145,5.731
2003,22.094,19.633,11.96,2.296,7.96,5.943
2004,22.852,19.074,11.55,2.408,8.223,6.063
2005,23.185,18.556,10.974,2.28,8.161,6.221
2006,23.79,19.022,10.767,2.299,8.215,6.587
2007,23.493,19.786,10.741,2.349,8.459,6.511
2008,23.851,20.703,10.613,2.359,8.426,7.192
2009,21.624,21.139,11.34,2.508,8.355,7.626
2010,22.038,21.806,11.61,2.705,8.434,8.315
2011,22.221,23.406,12.012,2.89,8.269,9.31
2012,20.677,24.61,13.847,3.162,8.062,8.896
2013,20.001,24.859,15.872,3.451,8.244,9.438
2014,20.286,26.718,18.613,4.005,8.338,9.798
2015,17.946,28.067,19.701,4.476,8.337,9.768
2016,14.667,27.576,18.522,4.665,8.427,10.48
2017,15.625,28.289,19.546,4.987,8.419,11.263
2018,15.363,31.882,22.786,5.727,8.438,11.584
2019,14.256,35.187,25.559,6.352,8.452,11.632
2020,10.703,34.724,23.501,6.805,8.251,11.687
2021,11.596,35.795,23.372,7.099,8.131,12.303
2022,12.043,37.099,24.656,7.674,8.046,13.405
