Series ID,Year,Period,Label,Value
CUUR0000SAF1,1913,M01,1913 Jan,9.7
CUUR0000SAF1,1913,M02,1913 Feb,9.6
CUUR0000SAF1,1913,M03,1913 Mar,9.6
CUUR0000SAF1,1913,M04,1913 Apr,9.7
CUUR0000SAF1,1913,M05,1913 May,9.6
CUUR0000SAF1,1913,M06,1913 Jun,9.7
CUUR0000SAF1,1913,M07,1913 Jul,9.9
CUUR0000SAF1,1913,M08,1913 Aug,10.0
CUUR0000SAF1,1913,M09,1913 Sep,10.2
CUUR0000SAF1,1913,M10,1913 Oct,10.3
CUUR0000SAF1,1913,M11,1913 Nov,10.4
CUUR0000SAF1,1913,M12,1913 Dec,10.3
CUUR0000SAF1,1914,M01,1914 Jan,10.3
CUUR0000SAF1,1914,M02,1914 Feb,10.0
CUUR0000SAF1,1914,M03,1914 Mar,9.8
CUUR0000SAF1,1914,M04,1914 Apr,9.6
CUUR0000SAF1,1914,M05,1914 May,9.7
CUUR0000SAF1,1914,M06,1914 Jun,9.8
CUUR0000SAF1,1914,M07,1914 Jul,10.1
CUUR0000SAF1,1914,M08,1914 Aug,10.6
CUUR0000SAF1,1914,M09,1914 Sep,10.7
CUUR0000SAF1,1914,M10,1914 Oct,10.4
CUUR0000SAF1,1914,M11,1914 Nov,10.4
CUUR0000SAF1,1914,M12,1914 Dec,10.4
CUUR0000SAF1,1915,M01,1915 Jan,10.3
CUUR0000SAF1,1915,M02,1915 Feb,10.0
CUUR0000SAF1,1915,M03,1915 Mar,9.7
CUUR0000SAF1,1915,M04,1915 Apr,9.8
CUUR0000SAF1,1915,M05,1915 May,10.0
CUUR0000SAF1,1915,M06,1915 Jun,10.0
CUUR0000SAF1,1915,M07,1915 Jul,10.0
CUUR0000SAF1,1915,M08,1915 Aug,10.0
CUUR0000SAF1,1915,M09,1915 Sep,10.0
CUUR0000SAF1,1915,M10,1915 Oct,10.2
CUUR0000SAF1,1915,M11,1915 Nov,10.3
CUUR0000SAF1,1915,M12,1915 Dec,10.4
CUUR0000SAF1,1916,M01,1916 Jan,10.6
CUUR0000SAF1,1916,M02,1916 Feb,10.5
CUUR0000SAF1,1916,M03,1916 Mar,10.6
CUUR0000SAF1,1916,M04,1916 Apr,10.8
CUUR0000SAF1,1916,M05,1916 May,10.9
CUUR0000SAF1,1916,M06,1916 Jun,11.1
CUUR0000SAF1,1916,M07,1916 Jul,10.9
CUUR0000SAF1,1916,M08,1916 Aug,11.2
CUUR0000SAF1,1916,M09,1916 Sep,11.7
CUUR0000SAF1,1916,M10,1916 Oct,12.0
CUUR0000SAF1,1916,M11,1916 Nov,12.5
CUUR0000SAF1,1916,M12,1916 Dec,12.5
CUUR0000SAF1,1917,M01,1917 Jan,12.6
CUUR0000SAF1,1917,M02,1917 Feb,13.2
CUUR0000SAF1,1917,M03,1917 Mar,13.1
CUUR0000SAF1,1917,M04,1917 Apr,14.4
CUUR0000SAF1,1917,M05,1917 May,14.9
CUUR0000SAF1,1917,M06,1917 Jun,15.0
CUUR0000SAF1,1917,M07,1917 Jul,14.5
CUUR0000SAF1,1917,M08,1917 Aug,14.7
CUUR0000SAF1,1917,M09,1917 Sep,15.1
CUUR0000SAF1,1917,M10,1917 Oct,15.6
CUUR0000SAF1,1917,M11,1917 Nov,15.4
CUUR0000SAF1,1917,M12,1917 Dec,15.6
CUUR0000SAF1,1918,M01,1918 Jan,15.9
CUUR0000SAF1,1918,M02,1918 Feb,16.0
CUUR0000SAF1,1918,M03,1918 Mar,15.3
CUUR0000SAF1,1918,M04,1918 Apr,15.3
CUUR0000SAF1,1918,M05,1918 May,15.7
CUUR0000SAF1,1918,M06,1918 Jun,16.1
CUUR0000SAF1,1918,M07,1918 Jul,16.6
CUUR0000SAF1,1918,M08,1918 Aug,17.0
CUUR0000SAF1,1918,M09,1918 Sep,17.7
CUUR0000SAF1,1918,M10,1918 Oct,18.0
CUUR0000SAF1,1918,M11,1918 Nov,18.2
CUUR0000SAF1,1918,M12,1918 Dec,18.6
CUUR0000SAF1,1919,M01,1919 Jan,18.4
CUUR0000SAF1,1919,M02,1919 Feb,17.1
CUUR0000SAF1,1919,M03,1919 Mar,17.4
CUUR0000SAF1,1919,M04,1919 Apr,18.1
CUUR0000SAF1,1919,M05,1919 May,18.5
CUUR0000SAF1,1919,M06,1919 Jun,18.4
CUUR0000SAF1,1919,M07,1919 Jul,19.0
CUUR0000SAF1,1919,M08,1919 Aug,19.2
CUUR0000SAF1,1919,M09,1919 Sep,18.8
CUUR0000SAF1,1919,M10,1919 Oct,18.9
CUUR0000SAF1,1919,M11,1919 Nov,19.3
CUUR0000SAF1,1919,M12,1919 Dec,19.8
CUUR0000SAF1,1920,M01,1920 Jan,20.6
CUUR0000SAF1,1920,M02,1920 Feb,20.7
CUUR0000SAF1,1920,M03,1920 Mar,20.9
CUUR0000SAF1,1920,M04,1920 Apr,22.1
CUUR0000SAF1,1920,M05,1920 May,22.6
CUUR0000SAF1,1920,M06,1920 Jun,23.0
CUUR0000SAF1,1920,M07,1920 Jul,22.7
CUUR0000SAF1,1920,M08,1920 Aug,21.0
CUUR0000SAF1,1920,M09,1920 Sep,20.3
CUUR0000SAF1,1920,M10,1920 Oct,20.0
CUUR0000SAF1,1920,M11,1920 Nov,19.6
CUUR0000SAF1,1920,M12,1920 Dec,18.2
CUUR0000SAF1,1921,M01,1921 Jan,17.6
CUUR0000SAF1,1921,M02,1921 Feb,16.2
CUUR0000SAF1,1921,M03,1921 Mar,16.0
CUUR0000SAF1,1921,M04,1921 Apr,15.7
CUUR0000SAF1,1921,M05,1921 May,15.0
CUUR0000SAF1,1921,M06,1921 Jun,15.1
CUUR0000SAF1,1921,M07,1921 Jul,15.6
CUUR0000SAF1,1921,M08,1921 Aug,16.2
CUUR0000SAF1,1921,M09,1921 Sep,16.0
CUUR0000SAF1,1921,M10,1921 Oct,16.0
CUUR0000SAF1,1921,M11,1921 Nov,15.8
CUUR0000SAF1,1921,M12,1921 Dec,15.6
CUUR0000SAF1,1922,M01,1922 Jan,14.9
CUUR0000SAF1,1922,M02,1922 Feb,14.9
CUUR0000SAF1,1922,M03,1922 Mar,14.7
CUUR0000SAF1,1922,M04,1922 Apr,14.7
CUUR0000SAF1,1922,M05,1922 May,14.8
CUUR0000SAF1,1922,M06,1922 Jun,15.0
CUUR0000SAF1,1922,M07,1922 Jul,15.1
CUUR0000SAF1,1922,M08,1922 Aug,14.7
CUUR0000SAF1,1922,M09,1922 Sep,14.7
CUUR0000SAF1,1922,M10,1922 Oct,14.9
CUUR0000SAF1,1922,M11,1922 Nov,15.1
CUUR0000SAF1,1922,M12,1922 Dec,15.2
CUUR0000SAF1,1923,M01,1923 Jan,15.0
CUUR0000SAF1,1923,M02,1923 Feb,14.8
CUUR0000SAF1,1923,M03,1923 Mar,14.9
CUUR0000SAF1,1923,M04,1923 Apr,15.1
CUUR0000SAF1,1923,M05,1923 May,15.2
CUUR0000SAF1,1923,M06,1923 Jun,15.4
CUUR0000SAF1,1923,M07,1923 Jul,15.8
CUUR0000SAF1,1923,M08,1923 Aug,15.6
CUUR0000SAF1,1923,M09,1923 Sep,15.7
CUUR0000SAF1,1923,M10,1923 Oct,15.7
CUUR0000SAF1,1923,M11,1923 Nov,15.8
CUUR0000SAF1,1923,M12,1923 Dec,15.6
CUUR0000SAF1,1924,M01,1924 Jan,15.5
CUUR0000SAF1,1924,M02,1924 Feb,15.4
CUUR0000SAF1,1924,M03,1924 Mar,15.0
CUUR0000SAF1,1924,M04,1924 Apr,14.9
CUUR0000SAF1,1924,M05,1924 May,15.0
CUUR0000SAF1,1924,M06,1924 Jun,15.1
CUUR0000SAF1,1924,M07,1924 Jul,15.1
CUUR0000SAF1,1924,M08,1924 Aug,15.0
CUUR0000SAF1,1924,M09,1924 Sep,15.3
CUUR0000SAF1,1924,M10,1924 Oct,15.4
CUUR0000SAF1,1924,M11,1924 Nov,15.5
CUUR0000SAF1,1924,M12,1924 Dec,15.6
CUUR0000SAF1,1925,M01,1925 Jan,15.9
CUUR0000SAF1,1925,M02,1925 Feb,15.7
CUUR0000SAF1,1925,M03,1925 Mar,15.7
CUUR0000SAF1,1925,M04,1925 Apr,15.7
CUUR0000SAF1,1925,M05,1925 May,15.8
CUUR0000SAF1,1925,M06,1925 Jun,16.4
CUUR0000SAF1,1925,M07,1925 Jul,17.0
CUUR0000SAF1,1925,M08,1925 Aug,17.0
CUUR0000SAF1,1925,M09,1925 Sep,16.7
CUUR0000SAF1,1925,M10,1925 Oct,17.0
CUUR0000SAF1,1925,M11,1925 Nov,17.7
CUUR0000SAF1,1925,M12,1925 Dec,17.4
CUUR0000SAF1,1926,M01,1926 Jan,17.5
CUUR0000SAF1,1926,M02,1926 Feb,17.3
CUUR0000SAF1,1926,M03,1926 Mar,17.1
CUUR0000SAF1,1926,M04,1926 Apr,17.6
CUUR0000SAF1,1926,M05,1926 May,17.4
CUUR0000SAF1,1926,M06,1926 Jun,17.1
CUUR0000SAF1,1926,M07,1926 Jul,16.6
CUUR0000SAF1,1926,M08,1926 Aug,16.4
CUUR0000SAF1,1926,M09,1926 Sep,16.7
CUUR0000SAF1,1926,M10,1926 Oct,16.9
CUUR0000SAF1,1926,M11,1926 Nov,17.0
CUUR0000SAF1,1926,M12,1926 Dec,17.0
CUUR0000SAF1,1927,M01,1927 Jan,16.7
CUUR0000SAF1,1927,M02,1927 Feb,16.4
CUUR0000SAF1,1927,M03,1927 Mar,16.2
CUUR0000SAF1,1927,M04,1927 Apr,16.2
CUUR0000SAF1,1927,M05,1927 May,16.6
CUUR0000SAF1,1927,M06,1927 Jun,17.1
CUUR0000SAF1,1927,M07,1927 Jul,16.2
CUUR0000SAF1,1927,M08,1927 Aug,16.0
CUUR0000SAF1,1927,M09,1927 Sep,16.3
CUUR0000SAF1,1927,M10,1927 Oct,16.5
CUUR0000SAF1,1927,M11,1927 Nov,16.5
CUUR0000SAF1,1927,M12,1927 Dec,16.5
CUUR0000SAF1,1928,M01,1928 Jan,16.3
CUUR0000SAF1,1928,M02,1928 Feb,16.0
CUUR0000SAF1,1928,M03,1928 Mar,16.0
CUUR0000SAF1,1928,M04,1928 Apr,16.2
CUUR0000SAF1,1928,M05,1928 May,16.4
CUUR0000SAF1,1928,M06,1928 Jun,16.1
CUUR0000SAF1,1928,M07,1928 Jul,16.0
CUUR0000SAF1,1928,M08,1928 Aug,16.2
CUUR0000SAF1,1928,M09,1928 Sep,16.6
CUUR0000SAF1,1928,M10,1928 Oct,16.5
CUUR0000SAF1,1928,M11,1928 Nov,16.4
CUUR0000SAF1,1928,M12,1928 Dec,16.2
CUUR0000SAF1,1929,M01,1929 Jan,16.2
CUUR0000SAF1,1929,M02,1929 Feb,16.1
CUUR0000SAF1,1929,M03,1929 Mar,15.9
CUUR0000SAF1,1929,M04,1929 Apr,15.8
CUUR0000SAF1,1929,M05,1929 May,16.1
CUUR0000SAF1,1929,M06,1929 Jun,16.3
CUUR0000SAF1,1929,M07,1929 Jul,16.7
CUUR0000SAF1,1929,M08,1929 Aug,17.0
CUUR0000SAF1,1929,M09,1929 Sep,17.0
CUUR0000SAF1,1929,M10,1929 Oct,16.9
CUUR0000SAF1,1929,M11,1929 Nov,16.8
CUUR0000SAF1,1929,M12,1929 Dec,16.6
CUUR0000SAF1,1930,M01,1930 Jan,16.4
CUUR0000SAF1,1930,M02,1930 Feb,16.3
CUUR0000SAF1,1930,M03,1930 Mar,16.0
CUUR0000SAF1,1930,M04,1930 Apr,16.3
CUUR0000SAF1,1930,M05,1930 May,16.1
CUUR0000SAF1,1930,M06,1930 Jun,15.9
CUUR0000SAF1,1930,M07,1930 Jul,15.3
CUUR0000SAF1,1930,M08,1930 Aug,15.2
CUUR0000SAF1,1930,M09,1930 Sep,15.4
CUUR0000SAF1,1930,M10,1930 Oct,15.4
CUUR0000SAF1,1930,M11,1930 Nov,15.0
CUUR0000SAF1,1930,M12,1930 Dec,14.5
CUUR0000SAF1,1931,M01,1931 Jan,14.0
CUUR0000SAF1,1931,M02,1931 Feb,13.5
CUUR0000SAF1,1931,M03,1931 Mar,13.4
CUUR0000SAF1,1931,M04,1931 Apr,13.2
CUUR0000SAF1,1931,M05,1931 May,13.0
CUUR0000SAF1,1931,M06,1931 Jun,12.7
CUUR0000SAF1,1931,M07,1931 Jul,12.7
CUUR0000SAF1,1931,M08,1931 Aug,12.7
CUUR0000SAF1,1931,M09,1931 Sep,12.7
CUUR0000SAF1,1931,M10,1931 Oct,12.6
CUUR0000SAF1,1931,M11,1931 Nov,12.3
CUUR0000SAF1,1931,M12,1931 Dec,12.0
CUUR0000SAF1,1932,M01,1932 Jan,11.4
CUUR0000SAF1,1932,M02,1932 Feb,11.1
CUUR0000SAF1,1932,M03,1932 Mar,11.1
CUUR0000SAF1,1932,M04,1932 Apr,11.1
CUUR0000SAF1,1932,M05,1932 May,10.8
CUUR0000SAF1,1932,M06,1932 Jun,10.6
CUUR0000SAF1,1932,M07,1932 Jul,10.7
CUUR0000SAF1,1932,M08,1932 Aug,10.5
CUUR0000SAF1,1932,M09,1932 Sep,10.5
CUUR0000SAF1,1932,M10,1932 Oct,10.4
CUUR0000SAF1,1932,M11,1932 Nov,10.3
CUUR0000SAF1,1932,M12,1932 Dec,10.2
CUUR0000SAF1,1933,M01,1933 Jan,9.8
CUUR0000SAF1,1933,M02,1933 Feb,9.4
CUUR0000SAF1,1933,M03,1933 Mar,9.4
CUUR0000SAF1,1933,M04,1933 Apr,9.4
CUUR0000SAF1,1933,M05,1933 May,9.8
CUUR0000SAF1,1933,M06,1933 Jun,10.2
CUUR0000SAF1,1933,M07,1933 Jul,11.1
CUUR0000SAF1,1933,M08,1933 Aug,11.3
CUUR0000SAF1,1933,M09,1933 Sep,11.3
CUUR0000SAF1,1933,M10,1933 Oct,11.3
CUUR0000SAF1,1933,M11,1933 Nov,11.1
CUUR0000SAF1,1933,M12,1933 Dec,10.9
CUUR0000SAF1,1934,M01,1934 Jan,11.1
CUUR0000SAF1,1934,M02,1934 Feb,11.4
CUUR0000SAF1,1934,M03,1934 Mar,11.5
CUUR0000SAF1,1934,M04,1934 Apr,11.3
CUUR0000SAF1,1934,M05,1934 May,11.5
CUUR0000SAF1,1934,M06,1934 Jun,11.6
CUUR0000SAF1,1934,M07,1934 Jul,11.6
CUUR0000SAF1,1934,M08,1934 Aug,11.7
CUUR0000SAF1,1934,M09,1934 Sep,12.1
CUUR0000SAF1,1934,M10,1934 Oct,11.9
CUUR0000SAF1,1934,M11,1934 Nov,11.8
CUUR0000SAF1,1934,M12,1934 Dec,11.8
CUUR0000SAF1,1935,M01,1935 Jan,12.2
CUUR0000SAF1,1935,M02,1935 Feb,12.4
CUUR0000SAF1,1935,M03,1935 Mar,12.4
CUUR0000SAF1,1935,M04,1935 Apr,12.6
CUUR0000SAF1,1935,M05,1935 May,12.6
CUUR0000SAF1,1935,M06,1935 Jun,12.5
CUUR0000SAF1,1935,M07,1935 Jul,12.3
CUUR0000SAF1,1935,M08,1935 Aug,12.3
CUUR0000SAF1,1935,M09,1935 Sep,12.5
CUUR0000SAF1,1935,M10,1935 Oct,12.4
CUUR0000SAF1,1935,M11,1935 Nov,12.6
CUUR0000SAF1,1935,M12,1935 Dec,12.7
CUUR0000SAF1,1936,M01,1936 Jan,12.6
CUUR0000SAF1,1936,M02,1936 Feb,12.4
CUUR0000SAF1,1936,M03,1936 Mar,12.2
CUUR0000SAF1,1936,M04,1936 Apr,12.2
CUUR0000SAF1,1936,M05,1936 May,12.2
CUUR0000SAF1,1936,M06,1936 Jun,12.6
CUUR0000SAF1,1936,M07,1936 Jul,12.7
CUUR0000SAF1,1936,M08,1936 Aug,12.9
CUUR0000SAF1,1936,M09,1936 Sep,13.0
CUUR0000SAF1,1936,M10,1936 Oct,12.8
CUUR0000SAF1,1936,M11,1936 Nov,12.6
CUUR0000SAF1,1936,M12,1936 Dec,12.6
CUUR0000SAF1,1937,M01,1937 Jan,12.8
CUUR0000SAF1,1937,M02,1937 Feb,12.9
CUUR0000SAF1,1937,M03,1937 Mar,13.1
CUUR0000SAF1,1937,M04,1937 Apr,13.1
CUUR0000SAF1,1937,M05,1937 May,13.2
CUUR0000SAF1,1937,M06,1937 Jun,13.2
CUUR0000SAF1,1937,M07,1937 Jul,13.2
CUUR0000SAF1,1937,M08,1937 Aug,13.3
CUUR0000SAF1,1937,M09,1937 Sep,13.4
CUUR0000SAF1,1937,M10,1937 Oct,13.2
CUUR0000SAF1,1937,M11,1937 Nov,12.9
CUUR0000SAF1,1937,M12,1937 Dec,12.7
CUUR0000SAF1,1938,M01,1938 Jan,12.4
CUUR0000SAF1,1938,M02,1938 Feb,12.1
CUUR0000SAF1,1938,M03,1938 Mar,12.1
CUUR0000SAF1,1938,M04,1938 Apr,12.2
CUUR0000SAF1,1938,M05,1938 May,12.1
CUUR0000SAF1,1938,M06,1938 Jun,12.2
CUUR0000SAF1,1938,M07,1938 Jul,12.2
CUUR0000SAF1,1938,M08,1938 Aug,12.1
CUUR0000SAF1,1938,M09,1938 Sep,12.2
CUUR0000SAF1,1938,M10,1938 Oct,12.1
CUUR0000SAF1,1938,M11,1938 Nov,11.9
CUUR0000SAF1,1938,M12,1938 Dec,12.1
CUUR0000SAF1,1939,M01,1939 Jan,11.9
CUUR0000SAF1,1939,M02,1939 Feb,11.8
CUUR0000SAF1,1939,M03,1939 Mar,11.8
CUUR0000SAF1,1939,M04,1939 Apr,11.7
CUUR0000SAF1,1939,M05,1939 May,11.7
CUUR0000SAF1,1939,M06,1939 Jun,11.6
CUUR0000SAF1,1939,M07,1939 Jul,11.7
CUUR0000SAF1,1939,M08,1939 Aug,11.6
CUUR0000SAF1,1939,M09,1939 Sep,12.2
CUUR0000SAF1,1939,M10,1939 Oct,12.1
CUUR0000SAF1,1939,M11,1939 Nov,12.0
CUUR0000SAF1,1939,M12,1939 Dec,11.8
CUUR0000SAF1,1940,M01,1940 Jan,11.8
CUUR0000SAF1,1940,M02,1940 Feb,12.0
CUUR0000SAF1,1940,M03,1940 Mar,11.9
CUUR0000SAF1,1940,M04,1940 Apr,11.9
CUUR0000SAF1,1940,M05,1940 May,12.0
CUUR0000SAF1,1940,M06,1940 Jun,12.2
