Year,NDAs Approved,New Molecular Entities,NDAs Received,Commercial INDs Received,Non-Commercial/Research INDs Received,Total INDs Received,Orphans
1941,807,17,1376,,,,
1942,,13,894,,,,
1943,1028,10,289,,,,
1944,137,13,240,,,,
1945,132,13,213,,,,
1946,114,19,235,,,,
1947,145,26,265,,,,
1948,194,29,,,,,
1949,360,38,,,,,
1950,233,32,349,,,,
1951,256,10,360,,,,
1952,194,14,271,,,,
1953,454,19,508,,,,
1954,226,25,432,,,,
1955,343,19,606,,,,
1956,346,19,520,,,,
1957,334,16,445,,,,
1958,280,20,344,,,,
1959,225,26,369,,,,
1960,222,21,368,,,,
1961,155,23,262,,,,
1962,109,16,282,,,,
1963,67,13,179,,,1066,
1964,83,15,165,,,875,
1965,53,18,203,,,761,
1966,40,10,147,,,715,
1967,189,16,271,,,671,
1968,59,14,134,,,859,
1969,38,5,71,,,956,
1970,51,15,75,,,1120,
1971,26,12,99,,,938,
1972,57,10,448,,,976,
1973,50,14,146,,,913,
1974,85,21,106,,,842,
1975,71,20,132,272,604,876,
1976,72,22,142,258,627,885,
1977,63,25,124,236,689,925,
1978,86,17,121,233,692,925,
1979,94,14,182,249,691,940,
1980,114,12,162,269,818,1087,
1981,96,27,129,247,937,1184,
1982,116,28,202,297,1170,1467,
1983,94,14,269,402,1396,1798,
1984,142,22,217,391,1721,2112,
1985,100,30,148,326,1578,1904,
1986,98,20,120,332,1286,1618,
1987,69,21,142,311,994,1305,
1988,67,21,126,371,929,1300,
1989,87,22,118,310,1004,1314,
1990,64,23,98,382,1123,1505,
1991,63,30,112,369,1661,2030,
1992,91,26,100,370,2111,2481,
1993,70,25,99,384,1848,2232,
1994,62,22,114,341,1660,2001,
1995,82,28,121,340,1394,1734,
1996,131,53,120,389,1194,1583,
1997,121,39,128,396,1186,1582,
1998,90,30,121,441,1626,2067,
1999,83,35,139,425,983,1408,
2000,98,27,115,410,974,1384,
2001,66,24,98,409,995,1404,
2002,78,17,105,417,1338,1775,
2003,72,21,109,391,972,1363,
2004,119,36,115,621,1216,1837,11
2005,80,20,116,637,1297,1934,7
2006,101,22,124,713,1150,1863,5
2007,78,18,123,779,1810,2589,6
2008,89,24,140,886,1156,2039,8
2009,90,26,146,711,842,1553,9
2010,93,21,103,589,741,1330,6
2011,99,30,105,633,779,1412,11
2012,100,39,119,623,669,1292,13
2013,102,29,113,726,711,1437,9
2014,115,41,116,789,726,1515,17
2015,127,45,129,805,765,1570,21
2016,102,22,151,786,892,1678,9
2017,149,46,145,842,836,1678,18
2018,151,59,152,860,742,1602,34
2019,125,48,146,939,750,1689,21
2020,130,53,160,1266,930,2196,31
2021,125,50,138,1267,809,2076,26
2022,118,37,130,1129,741,1870,
2023,,55,,,,,28
