Series ID,Year,Period,Label,Value
CUSR0000SEMD01,1997,M01,1997 Jan,100.5
CUSR0000SEMD01,1997,M02,1997 Feb,100.5
CUSR0000SEMD01,1997,M03,1997 Mar,100.8
CUSR0000SEMD01,1997,M04,1997 Apr,101.2
CUSR0000SEMD01,1997,M05,1997 May,101.5
CUSR0000SEMD01,1997,M06,1997 Jun,101.7
CUSR0000SEMD01,1997,M07,1997 Jul,101.6
CUSR0000SEMD01,1997,M08,1997 Aug,101.7
CUSR0000SEMD01,1997,M09,1997 Sep,102.0
CUSR0000SEMD01,1997,M10,1997 Oct,102.4
CUSR0000SEMD01,1997,M11,1997 Nov,102.8
CUSR0000SEMD01,1997,M12,1997 Dec,103.4
CUSR0000SEMD01,1998,M01,1998 Jan,103.3
CUSR0000SEMD01,1998,M02,1998 Feb,103.6
CUSR0000SEMD01,1998,M03,1998 Mar,103.8
CUSR0000SEMD01,1998,M04,1998 Apr,104.2
CUSR0000SEMD01,1998,M05,1998 May,104.4
CUSR0000SEMD01,1998,M06,1998 Jun,104.6
CUSR0000SEMD01,1998,M07,1998 Jul,105.3
CUSR0000SEMD01,1998,M08,1998 Aug,105.5
CUSR0000SEMD01,1998,M09,1998 Sep,105.5
CUSR0000SEMD01,1998,M10,1998 Oct,106.0
CUSR0000SEMD01,1998,M11,1998 Nov,106.4
CUSR0000SEMD01,1998,M12,1998 Dec,106.8
CUSR0000SEMD01,1999,M01,1999 Jan,107.3
CUSR0000SEMD01,1999,M02,1999 Feb,107.6
CUSR0000SEMD01,1999,M03,1999 Mar,108.0
CUSR0000SEMD01,1999,M04,1999 Apr,108.1
CUSR0000SEMD01,1999,M05,1999 May,108.6
CUSR0000SEMD01,1999,M06,1999 Jun,109.0
CUSR0000SEMD01,1999,M07,1999 Jul,109.5
CUSR0000SEMD01,1999,M08,1999 Aug,109.9
CUSR0000SEMD01,1999,M09,1999 Sep,110.4
CUSR0000SEMD01,1999,M10,1999 Oct,110.7
CUSR0000SEMD01,1999,M11,1999 Nov,111.0
CUSR0000SEMD01,1999,M12,1999 Dec,111.9
CUSR0000SEMD01,2000,M01,2000 Jan,112.3
CUSR0000SEMD01,2000,M02,2000 Feb,112.9
CUSR0000SEMD01,2000,M03,2000 Mar,113.5
CUSR0000SEMD01,2000,M04,2000 Apr,114.2
CUSR0000SEMD01,2000,M05,2000 May,114.7
CUSR0000SEMD01,2000,M06,2000 Jun,115.6
CUSR0000SEMD01,2000,M07,2000 Jul,116.4
CUSR0000SEMD01,2000,M08,2000 Aug,117.2
CUSR0000SEMD01,2000,M09,2000 Sep,117.9
CUSR0000SEMD01,2000,M10,2000 Oct,118.3
CUSR0000SEMD01,2000,M11,2000 Nov,118.7
CUSR0000SEMD01,2000,M12,2000 Dec,118.9
CUSR0000SEMD01,2001,M01,2001 Jan,119.7
CUSR0000SEMD01,2001,M02,2001 Feb,120.4
CUSR0000SEMD01,2001,M03,2001 Mar,121.2
CUSR0000SEMD01,2001,M04,2001 Apr,121.8
CUSR0000SEMD01,2001,M05,2001 May,122.7
CUSR0000SEMD01,2001,M06,2001 Jun,123.4
CUSR0000SEMD01,2001,M07,2001 Jul,123.8
CUSR0000SEMD01,2001,M08,2001 Aug,124.6
CUSR0000SEMD01,2001,M09,2001 Sep,125.4
CUSR0000SEMD01,2001,M10,2001 Oct,126.1
CUSR0000SEMD01,2001,M11,2001 Nov,126.9
CUSR0000SEMD01,2001,M12,2001 Dec,127.7
CUSR0000SEMD01,2002,M01,2002 Jan,129.0
CUSR0000SEMD01,2002,M02,2002 Feb,129.8
CUSR0000SEMD01,2002,M03,2002 Mar,131.0
CUSR0000SEMD01,2002,M04,2002 Apr,132.6
CUSR0000SEMD01,2002,M05,2002 May,133.6
CUSR0000SEMD01,2002,M06,2002 Jun,134.0
CUSR0000SEMD01,2002,M07,2002 Jul,134.9
CUSR0000SEMD01,2002,M08,2002 Aug,136.1
CUSR0000SEMD01,2002,M09,2002 Sep,137.0
CUSR0000SEMD01,2002,M10,2002 Oct,138.4
CUSR0000SEMD01,2002,M11,2002 Nov,139.5
CUSR0000SEMD01,2002,M12,2002 Dec,140.5
CUSR0000SEMD01,2003,M01,2003 Jan,141.1
CUSR0000SEMD01,2003,M02,2003 Feb,141.6
CUSR0000SEMD01,2003,M03,2003 Mar,141.9
CUSR0000SEMD01,2003,M04,2003 Apr,142.2
CUSR0000SEMD01,2003,M05,2003 May,142.5
CUSR0000SEMD01,2003,M06,2003 Jun,143.9
CUSR0000SEMD01,2003,M07,2003 Jul,145.0
CUSR0000SEMD01,2003,M08,2003 Aug,146.2
CUSR0000SEMD01,2003,M09,2003 Sep,147.1
CUSR0000SEMD01,2003,M10,2003 Oct,147.3
CUSR0000SEMD01,2003,M11,2003 Nov,148.6
CUSR0000SEMD01,2003,M12,2003 Dec,149.5
CUSR0000SEMD01,2004,M01,2004 Jan,149.9
CUSR0000SEMD01,2004,M02,2004 Feb,150.5
CUSR0000SEMD01,2004,M03,2004 Mar,151.0
CUSR0000SEMD01,2004,M04,2004 Apr,151.5
CUSR0000SEMD01,2004,M05,2004 May,152.2
CUSR0000SEMD01,2004,M06,2004 Jun,153.4
CUSR0000SEMD01,2004,M07,2004 Jul,154.1
CUSR0000SEMD01,2004,M08,2004 Aug,154.2
CUSR0000SEMD01,2004,M09,2004 Sep,154.9
CUSR0000SEMD01,2004,M10,2004 Oct,155.7
CUSR0000SEMD01,2004,M11,2004 Nov,155.8
CUSR0000SEMD01,2004,M12,2004 Dec,157.4
CUSR0000SEMD01,2005,M01,2005 Jan,157.9
CUSR0000SEMD01,2005,M02,2005 Feb,158.6
CUSR0000SEMD01,2005,M03,2005 Mar,159.7
CUSR0000SEMD01,2005,M04,2005 Apr,160.2
CUSR0000SEMD01,2005,M05,2005 May,160.6
CUSR0000SEMD01,2005,M06,2005 Jun,161.1
CUSR0000SEMD01,2005,M07,2005 Jul,162.3
CUSR0000SEMD01,2005,M08,2005 Aug,162.0
CUSR0000SEMD01,2005,M09,2005 Sep,162.3
CUSR0000SEMD01,2005,M10,2005 Oct,163.6
CUSR0000SEMD01,2005,M11,2005 Nov,165.0
CUSR0000SEMD01,2005,M12,2005 Dec,165.7
CUSR0000SEMD01,2006,M01,2006 Jan,166.3
CUSR0000SEMD01,2006,M02,2006 Feb,168.0
CUSR0000SEMD01,2006,M03,2006 Mar,169.2
CUSR0000SEMD01,2006,M04,2006 Apr,170.2
CUSR0000SEMD01,2006,M05,2006 May,171.2
CUSR0000SEMD01,2006,M06,2006 Jun,172.3
CUSR0000SEMD01,2006,M07,2006 Jul,172.9
CUSR0000SEMD01,2006,M08,2006 Aug,174.0
CUSR0000SEMD01,2006,M09,2006 Sep,174.6
CUSR0000SEMD01,2006,M10,2006 Oct,175.0
CUSR0000SEMD01,2006,M11,2006 Nov,175.9
CUSR0000SEMD01,2006,M12,2006 Dec,176.4
CUSR0000SEMD01,2007,M01,2007 Jan,176.975
CUSR0000SEMD01,2007,M02,2007 Feb,177.955
CUSR0000SEMD01,2007,M03,2007 Mar,178.911
CUSR0000SEMD01,2007,M04,2007 Apr,180.050
CUSR0000SEMD01,2007,M05,2007 May,181.374
CUSR0000SEMD01,2007,M06,2007 Jun,182.361
CUSR0000SEMD01,2007,M07,2007 Jul,184.043
CUSR0000SEMD01,2007,M08,2007 Aug,185.127
CUSR0000SEMD01,2007,M09,2007 Sep,186.530
CUSR0000SEMD01,2007,M10,2007 Oct,188.486
CUSR0000SEMD01,2007,M11,2007 Nov,189.949
CUSR0000SEMD01,2007,M12,2007 Dec,191.047
CUSR0000SEMD01,2008,M01,2008 Jan,192.717
CUSR0000SEMD01,2008,M02,2008 Feb,193.170
CUSR0000SEMD01,2008,M03,2008 Mar,193.800
CUSR0000SEMD01,2008,M04,2008 Apr,194.621
CUSR0000SEMD01,2008,M05,2008 May,195.611
CUSR0000SEMD01,2008,M06,2008 Jun,196.548
CUSR0000SEMD01,2008,M07,2008 Jul,197.399
CUSR0000SEMD01,2008,M08,2008 Aug,198.681
CUSR0000SEMD01,2008,M09,2008 Sep,199.764
CUSR0000SEMD01,2008,M10,2008 Oct,200.752
CUSR0000SEMD01,2008,M11,2008 Nov,201.082
CUSR0000SEMD01,2008,M12,2008 Dec,202.231
CUSR0000SEMD01,2009,M01,2009 Jan,203.771
CUSR0000SEMD01,2009,M02,2009 Feb,205.029
CUSR0000SEMD01,2009,M03,2009 Mar,206.521
CUSR0000SEMD01,2009,M04,2009 Apr,208.344
CUSR0000SEMD01,2009,M05,2009 May,208.714
CUSR0000SEMD01,2009,M06,2009 Jun,209.661
CUSR0000SEMD01,2009,M07,2009 Jul,211.420
CUSR0000SEMD01,2009,M08,2009 Aug,212.657
CUSR0000SEMD01,2009,M09,2009 Sep,213.866
CUSR0000SEMD01,2009,M10,2009 Oct,214.630
CUSR0000SEMD01,2009,M11,2009 Nov,216.565
CUSR0000SEMD01,2009,M12,2009 Dec,217.698
CUSR0000SEMD01,2010,M01,2010 Jan,219.173
CUSR0000SEMD01,2010,M02,2010 Feb,221.587
CUSR0000SEMD01,2010,M03,2010 Mar,224.202
CUSR0000SEMD01,2010,M04,2010 Apr,224.900
CUSR0000SEMD01,2010,M05,2010 May,225.761
CUSR0000SEMD01,2010,M06,2010 Jun,226.900
CUSR0000SEMD01,2010,M07,2010 Jul,226.019
CUSR0000SEMD01,2010,M08,2010 Aug,227.362
CUSR0000SEMD01,2010,M09,2010 Sep,231.277
CUSR0000SEMD01,2010,M10,2010 Oct,232.842
CUSR0000SEMD01,2010,M11,2010 Nov,232.588
CUSR0000SEMD01,2010,M12,2010 Dec,234.122
CUSR0000SEMD01,2011,M01,2011 Jan,234.816
CUSR0000SEMD01,2011,M02,2011 Feb,235.868
CUSR0000SEMD01,2011,M03,2011 Mar,236.462
CUSR0000SEMD01,2011,M04,2011 Apr,238.093
CUSR0000SEMD01,2011,M05,2011 May,239.787
CUSR0000SEMD01,2011,M06,2011 Jun,240.569
CUSR0000SEMD01,2011,M07,2011 Jul,241.633
CUSR0000SEMD01,2011,M08,2011 Aug,243.300
CUSR0000SEMD01,2011,M09,2011 Sep,243.773
CUSR0000SEMD01,2011,M10,2011 Oct,245.531
CUSR0000SEMD01,2011,M11,2011 Nov,247.174
CUSR0000SEMD01,2011,M12,2011 Dec,247.752
CUSR0000SEMD01,2012,M01,2012 Jan,248.526
CUSR0000SEMD01,2012,M02,2012 Feb,248.445
CUSR0000SEMD01,2012,M03,2012 Mar,248.913
CUSR0000SEMD01,2012,M04,2012 Apr,250.475
CUSR0000SEMD01,2012,M05,2012 May,251.918
CUSR0000SEMD01,2012,M06,2012 Jun,254.506
CUSR0000SEMD01,2012,M07,2012 Jul,255.662
CUSR0000SEMD01,2012,M08,2012 Aug,254.702
CUSR0000SEMD01,2012,M09,2012 Sep,255.727
CUSR0000SEMD01,2012,M10,2012 Oct,256.272
CUSR0000SEMD01,2012,M11,2012 Nov,258.070
CUSR0000SEMD01,2012,M12,2012 Dec,259.699
CUSR0000SEMD01,2013,M01,2013 Jan,260.159
CUSR0000SEMD01,2013,M02,2013 Feb,261.934
CUSR0000SEMD01,2013,M03,2013 Mar,263.088
CUSR0000SEMD01,2013,M04,2013 Apr,261.412
CUSR0000SEMD01,2013,M05,2013 May,261.680
CUSR0000SEMD01,2013,M06,2013 Jun,263.450
CUSR0000SEMD01,2013,M07,2013 Jul,264.491
CUSR0000SEMD01,2013,M08,2013 Aug,269.173
