Year,Life Expectancy (Years)
1850,39.41
1851,39.41
1852,39.41
1853,39.41
1854,39.41
1855,39.41
1856,39.41
1857,39.41
1858,39.41
1859,39.41
1860,39.41
1861,38
1862,34.5
1863,34
1864,31
1865,38
1866,39.41
1867,39.41
1868,39.41
1869,39.41
1870,39.41
1871,39.41
1872,39.41
1873,39.41
1874,39.41
1875,39.41
1876,39.41
1877,39.41
1878,39.41
1879,39.41
1880,39.41
1881,39.99
1882,40.57
1883,41.15
1884,41.73
1885,42.31
1886,42.89
1887,43.47
1888,44.05
1889,44.63
1890,45.21
1891,45.58
1892,45.95
1893,46.32
1894,46.69
1895,47.06
1900,47.3
1901,49.1
1902,51.5
1903,50.5
1904,47.6
1905,48.7
1906,48.7
1907,47.6
1908,51.1
1909,52.1
1910,50
1911,52.6
1912,53.5
1913,52.5
1914,54.2
1915,54.5
1916,51.7
1917,50.9
1918,39.1
1919,54.7
1920,54.1
1921,60.8
1922,59.6
1923,57.2
1924,59.7
1925,59
1926,56.7
1927,60.4
1928,56.8
1929,57.1
1930,59.7
1931,61.1
1932,62.1
1933,63.3
1934,61.1
1935,61.7
1936,58.5
1937,60
1938,63.5
1939,63.7
1940,62.9
1941,64.8
1942,66.2
1943,63.3
1944,65.2
1945,65.9
1946,66.7
1947,66.8
1948,67.2
1949,68
1950,68.2
1951,68.4
1952,68.6
1953,68.8
1954,69.6
1955,69.6
1956,69.7
1957,69.5
1958,69.6
1959,69.9
1960,69.7
1961,70.2
1962,70.1
1963,69.9
1964,70.2
1965,70.2
1966,70.2
1967,70.5
1968,70.2
1969,70.5
1970,70.8
1971,71.1
1972,71.2
1973,71.4
1974,72
1975,72.6
1976,72.9
1977,73.3
1978,73.5
1979,73.9
1980,73.7
1981,74.1
1982,74.5
1983,74.6
1984,74.7
1985,74.7
1986,74.7
1987,74.9
1988,74.9
1989,75.1
1990,75.4
1991,75.5
1992,75.8
1993,75.5
1994,75.7
1995,75.8
1996,76.1
1997,76.5
1998,76.7
1999,76.7
2000,76.8
2001,77
2002,77
2003,77.6
2004,77.5
2005,77.6
2006,77.8
2007,78.1
2008,78.2
2009,78.5
2010,78.7
2011,78.7
2012,78.8
2013,78.8
2014,78.9
2015,78.7
2016,78.7
2017,78.6
2018,78.7
2019,78.8
2020,77.0
2021,76.4
2022,77.5
