Series ID,Year,Period,Label,Value
CUUR0000SAM,1935,M03,1935 Mar,10.2
CUUR0000SAM,1935,M07,1935 Jul,10.2
CUUR0000SAM,1935,M10,1935 Oct,10.2
CUUR0000SAM,1936,M01,1936 Jan,10.2
CUUR0000SAM,1936,M04,1936 Apr,10.2
CUUR0000SAM,1936,M07,1936 Jul,10.2
CUUR0000SAM,1936,M09,1936 Sep,10.2
CUUR0000SAM,1936,M12,1936 Dec,10.2
CUUR0000SAM,1937,M03,1937 Mar,10.3
CUUR0000SAM,1937,M06,1937 Jun,10.3
CUUR0000SAM,1937,M09,1937 Sep,10.3
CUUR0000SAM,1937,M12,1937 Dec,10.3
CUUR0000SAM,1938,M03,1938 Mar,10.3
CUUR0000SAM,1938,M06,1938 Jun,10.3
CUUR0000SAM,1938,M09,1938 Sep,10.3
CUUR0000SAM,1938,M12,1938 Dec,10.3
CUUR0000SAM,1939,M03,1939 Mar,10.3
CUUR0000SAM,1939,M06,1939 Jun,10.4
CUUR0000SAM,1939,M09,1939 Sep,10.4
CUUR0000SAM,1939,M12,1939 Dec,10.4
CUUR0000SAM,1940,M03,1940 Mar,10.4
CUUR0000SAM,1940,M06,1940 Jun,10.3
CUUR0000SAM,1940,M09,1940 Sep,10.3
CUUR0000SAM,1940,M12,1940 Dec,10.4
CUUR0000SAM,1941,M03,1941 Mar,10.4
CUUR0000SAM,1941,M06,1941 Jun,10.4
CUUR0000SAM,1941,M09,1941 Sep,10.4
CUUR0000SAM,1941,M12,1941 Dec,10.5
CUUR0000SAM,1942,M03,1942 Mar,10.6
CUUR0000SAM,1942,M06,1942 Jun,10.7
CUUR0000SAM,1942,M09,1942 Sep,10.8
CUUR0000SAM,1942,M12,1942 Dec,10.9
CUUR0000SAM,1943,M03,1943 Mar,11.1
CUUR0000SAM,1943,M06,1943 Jun,11.2
CUUR0000SAM,1943,M09,1943 Sep,11.4
CUUR0000SAM,1943,M12,1943 Dec,11.4
CUUR0000SAM,1944,M03,1944 Mar,11.5
CUUR0000SAM,1944,M06,1944 Jun,11.5
CUUR0000SAM,1944,M09,1944 Sep,11.6
CUUR0000SAM,1944,M12,1944 Dec,11.7
CUUR0000SAM,1945,M03,1945 Mar,11.8
CUUR0000SAM,1945,M06,1945 Jun,11.9
CUUR0000SAM,1945,M09,1945 Sep,11.9
CUUR0000SAM,1945,M12,1945 Dec,12.0
CUUR0000SAM,1946,M03,1946 Mar,12.2
CUUR0000SAM,1946,M06,1946 Jun,12.4
CUUR0000SAM,1946,M09,1946 Sep,12.7
CUUR0000SAM,1946,M12,1946 Dec,13.0
CUUR0000SAM,1947,M01,1947 Jan,13.2
CUUR0000SAM,1947,M02,1947 Feb,13.3
CUUR0000SAM,1947,M03,1947 Mar,13.3
CUUR0000SAM,1947,M04,1947 Apr,13.4
CUUR0000SAM,1947,M05,1947 May,13.5
CUUR0000SAM,1947,M06,1947 Jun,13.5
CUUR0000SAM,1947,M07,1947 Jul,13.5
CUUR0000SAM,1947,M08,1947 Aug,13.6
CUUR0000SAM,1947,M09,1947 Sep,13.7
CUUR0000SAM,1947,M10,1947 Oct,13.8
CUUR0000SAM,1947,M11,1947 Nov,13.8
CUUR0000SAM,1947,M12,1947 Dec,13.9
CUUR0000SAM,1948,M01,1948 Jan,14.0
CUUR0000SAM,1948,M02,1948 Feb,14.0
CUUR0000SAM,1948,M03,1948 Mar,14.1
CUUR0000SAM,1948,M04,1948 Apr,14.3
CUUR0000SAM,1948,M05,1948 May,14.3
CUUR0000SAM,1948,M06,1948 Jun,14.3
CUUR0000SAM,1948,M07,1948 Jul,14.5
CUUR0000SAM,1948,M08,1948 Aug,14.5
