Series ID,Year,Period,Label,Value
CUSR0000SS45011,1953,M01,1953 Jan,46.3
CUSR0000SS45011,1953,M02,1953 Feb,46.7
CUSR0000SS45011,1953,M03,1953 Mar,46.9
CUSR0000SS45011,1953,M04,1953 Apr,47.3
CUSR0000SS45011,1953,M05,1953 May,47.5
CUSR0000SS45011,1953,M06,1953 Jun,47.5
CUSR0000SS45011,1953,M07,1953 Jul,48.4
CUSR0000SS45011,1953,M08,1953 Aug,48.7
CUSR0000SS45011,1953,M09,1953 Sep,49.4
CUSR0000SS45011,1953,M10,1953 Oct,48.1
CUSR0000SS45011,1953,M11,1953 Nov,45.1
CUSR0000SS45011,1953,M12,1953 Dec,45.0
CUSR0000SS45011,1954,M01,1954 Jan,47.5
CUSR0000SS45011,1954,M02,1954 Feb,47.2
CUSR0000SS45011,1954,M03,1954 Mar,47.1
CUSR0000SS45011,1954,M04,1954 Apr,48.0
CUSR0000SS45011,1954,M05,1954 May,48.3
CUSR0000SS45011,1954,M06,1954 Jun,48.1
CUSR0000SS45011,1954,M07,1954 Jul,45.5
CUSR0000SS45011,1954,M08,1954 Aug,45.8
CUSR0000SS45011,1954,M09,1954 Sep,45.8
CUSR0000SS45011,1954,M10,1954 Oct,43.1
CUSR0000SS45011,1954,M11,1954 Nov,45.4
CUSR0000SS45011,1954,M12,1954 Dec,45.5
CUSR0000SS45011,1955,M01,1955 Jan,45.6
CUSR0000SS45011,1955,M02,1955 Feb,45.6
CUSR0000SS45011,1955,M03,1955 Mar,45.4
CUSR0000SS45011,1955,M04,1955 Apr,44.3
CUSR0000SS45011,1955,M05,1955 May,44.5
CUSR0000SS45011,1955,M06,1955 Jun,45.0
CUSR0000SS45011,1955,M07,1955 Jul,44.8
CUSR0000SS45011,1955,M08,1955 Aug,44.4
CUSR0000SS45011,1955,M09,1955 Sep,44.0
CUSR0000SS45011,1955,M10,1955 Oct,44.9
CUSR0000SS45011,1955,M11,1955 Nov,45.0
CUSR0000SS45011,1955,M12,1955 Dec,44.5
CUSR0000SS45011,1956,M01,1956 Jan,44.4
CUSR0000SS45011,1956,M02,1956 Feb,44.6
CUSR0000SS45011,1956,M03,1956 Mar,45.2
CUSR0000SS45011,1956,M04,1956 Apr,45.0
CUSR0000SS45011,1956,M05,1956 May,45.3
CUSR0000SS45011,1956,M06,1956 Jun,45.3
CUSR0000SS45011,1956,M07,1956 Jul,45.7
CUSR0000SS45011,1956,M08,1956 Aug,46.1
CUSR0000SS45011,1956,M09,1956 Sep,46.2
CUSR0000SS45011,1956,M10,1956 Oct,49.2
CUSR0000SS45011,1956,M11,1956 Nov,47.4
CUSR0000SS45011,1956,M12,1956 Dec,48.1
CUSR0000SS45011,1957,M01,1957 Jan,48.4
CUSR0000SS45011,1957,M02,1957 Feb,48.5
CUSR0000SS45011,1957,M03,1957 Mar,48.4
CUSR0000SS45011,1957,M04,1957 Apr,48.7
CUSR0000SS45011,1957,M05,1957 May,48.5
CUSR0000SS45011,1957,M06,1957 Jun,48.4
CUSR0000SS45011,1957,M07,1957 Jul,48.5
CUSR0000SS45011,1957,M08,1957 Aug,48.7
CUSR0000SS45011,1957,M09,1957 Sep,48.8
CUSR0000SS45011,1957,M10,1957 Oct,46.2
CUSR0000SS45011,1957,M11,1957 Nov,49.6
CUSR0000SS45011,1957,M12,1957 Dec,49.0
CUSR0000SS45011,1958,M01,1958 Jan,48.9
CUSR0000SS45011,1958,M02,1958 Feb,49.2
CUSR0000SS45011,1958,M03,1958 Mar,49.1
CUSR0000SS45011,1958,M04,1958 Apr,49.3
CUSR0000SS45011,1958,M05,1958 May,49.3
CUSR0000SS45011,1958,M06,1958 Jun,49.5
CUSR0000SS45011,1958,M07,1958 Jul,49.8
CUSR0000SS45011,1958,M08,1958 Aug,50.1
CUSR0000SS45011,1958,M09,1958 Sep,50.7
CUSR0000SS45011,1958,M10,1958 Oct,50.4
CUSR0000SS45011,1958,M11,1958 Nov,51.7
CUSR0000SS45011,1958,M12,1958 Dec,52.2
CUSR0000SS45011,1959,M01,1959 Jan,51.9
CUSR0000SS45011,1959,M02,1959 Feb,51.9
CUSR0000SS45011,1959,M03,1959 Mar,52.1
CUSR0000SS45011,1959,M04,1959 Apr,52.0
CUSR0000SS45011,1959,M05,1959 May,52.2
CUSR0000SS45011,1959,M06,1959 Jun,52.3
CUSR0000SS45011,1959,M07,1959 Jul,52.3
CUSR0000SS45011,1959,M08,1959 Aug,52.2
CUSR0000SS45011,1959,M09,1959 Sep,52.4
CUSR0000SS45011,1959,M10,1959 Oct,52.3
CUSR0000SS45011,1959,M11,1959 Nov,52.2
CUSR0000SS45011,1959,M12,1959 Dec,52.3
CUSR0000SS45011,1960,M01,1960 Jan,52.0
CUSR0000SS45011,1960,M02,1960 Feb,52.0
CUSR0000SS45011,1960,M03,1960 Mar,51.5
CUSR0000SS45011,1960,M04,1960 Apr,51.8
CUSR0000SS45011,1960,M05,1960 May,51.8
CUSR0000SS45011,1960,M06,1960 Jun,51.6
CUSR0000SS45011,1960,M07,1960 Jul,51.7
CUSR0000SS45011,1960,M08,1960 Aug,51.7
CUSR0000SS45011,1960,M09,1960 Sep,51.2
CUSR0000SS45011,1960,M10,1960 Oct,51.2
CUSR0000SS45011,1960,M11,1960 Nov,50.6
CUSR0000SS45011,1960,M12,1960 Dec,50.9
CUSR0000SS45011,1961,M01,1961 Jan,51.3
CUSR0000SS45011,1961,M02,1961 Feb,51.2
CUSR0000SS45011,1961,M03,1961 Mar,51.5
CUSR0000SS45011,1961,M04,1961 Apr,51.5
CUSR0000SS45011,1961,M05,1961 May,51.5
CUSR0000SS45011,1961,M06,1961 Jun,51.6
CUSR0000SS45011,1961,M07,1961 Jul,51.7
CUSR0000SS45011,1961,M08,1961 Aug,51.8
CUSR0000SS45011,1961,M09,1961 Sep,52.1
CUSR0000SS45011,1961,M10,1961 Oct,51.8
CUSR0000SS45011,1961,M11,1961 Nov,51.0
CUSR0000SS45011,1961,M12,1961 Dec,51.2
CUSR0000SS45011,1962,M01,1962 Jan,51.3
CUSR0000SS45011,1962,M02,1962 Feb,51.2
CUSR0000SS45011,1962,M03,1962 Mar,51.3
CUSR0000SS45011,1962,M04,1962 Apr,51.4
CUSR0000SS45011,1962,M05,1962 May,51.3
CUSR0000SS45011,1962,M06,1962 Jun,51.4
CUSR0000SS45011,1962,M07,1962 Jul,51.5
CUSR0000SS45011,1962,M08,1962 Aug,51.6
CUSR0000SS45011,1962,M09,1962 Sep,51.8
CUSR0000SS45011,1962,M10,1962 Oct,51.1
CUSR0000SS45011,1962,M11,1962 Nov,51.1
CUSR0000SS45011,1962,M12,1962 Dec,50.8
CUSR0000SS45011,1963,M01,1963 Jan,50.8
CUSR0000SS45011,1963,M02,1963 Feb,50.9
CUSR0000SS45011,1963,M03,1963 Mar,50.9
CUSR0000SS45011,1963,M04,1963 Apr,50.8
CUSR0000SS45011,1963,M05,1963 May,51.0
CUSR0000SS45011,1963,M06,1963 Jun,51.2
CUSR0000SS45011,1963,M07,1963 Jul,51.0
CUSR0000SS45011,1963,M08,1963 Aug,51.0
CUSR0000SS45011,1963,M09,1963 Sep,51.4
CUSR0000SS45011,1963,M10,1963 Oct,51.4
CUSR0000SS45011,1963,M11,1963 Nov,50.9
CUSR0000SS45011,1963,M12,1963 Dec,50.7
CUSR0000SS45011,1964,M01,1964 Jan,51.0
CUSR0000SS45011,1964,M02,1964 Feb,51.2
CUSR0000SS45011,1964,M03,1964 Mar,51.0
CUSR0000SS45011,1964,M04,1964 Apr,51.0
CUSR0000SS45011,1964,M05,1964 May,51.0
CUSR0000SS45011,1964,M06,1964 Jun,51.0
CUSR0000SS45011,1964,M07,1964 Jul,51.0
CUSR0000SS45011,1964,M08,1964 Aug,50.8
CUSR0000SS45011,1964,M09,1964 Sep,50.8
CUSR0000SS45011,1964,M10,1964 Oct,50.5
