Year,San Francisco Median Existing House Price,San Francisco Median Condo Price,CA Median Existing House Price,US Median Existing House Price
1971,,,27000,25000
1972,,,31000,29000
1974,,,35000,32000
1976,,,49000,38000
1977,,,62000,43000
1978,,,84000,56000
1979,,,100000,62000
1980,,,99550,62200
1981,,,107710,66400
1982,,,111800,67800
1983,,,114370,70300
1984,,,114260,72400
1985,,,119860,75500
1986,,,133640,80300
1987,,,142060,85600
1988,,,168200,89300
1989,,,196120,94600
1990,285920,,193770,97300
1991,280720,,200660,102700
1992,272340,,197030,105500
1993,261600,243000,188240,109100
1994,259560,255000,185010,113500
1995,268635,250000,178160,117000
1996,276782,262000,177270,122600
1997,305851,284000,186490,129000
1998,356859,339000,200100,136000
1999,416244,401000,217510,141200
2000,536058,541000,241350,147300
2001,575353,501000,262350,156600
2002,619274,525000,316130,167600
2003,660036,535000,371520,180200
2004,758589,625000,450770,195200
2005,871042,726000,522670,219000
2006,883056,731000,556430,221900
2007,918544,770000,560270,217900
2008,847913,765000,348490,196600
2009,744804,670000,274960,172100
2010,748855,669000,305010,173100
2011,699397,637000,286040,166200
2012,774908,710000,319310,177200
2013,930777,820000,407150,197400
2014,1084058,947000,446890,208900
2015,1250000,1075000,476320,223900
2016,1340000,1095000,502930,235500
2017,1425000,1125000,537860,248800
2018,1600000,1180000,569480,261600
2019,1600000,1205000,592230,274600
2020,1650000,1191000,659380,300200
2021,1825000,1225000,784320,357100
2022,1800000,1200000,818900,392800
2023,1562500,1120000,813980,394100
