Series ID,Year,Period,Label,Value
CUUR0000SAH1,1952,M12,1952 Dec,21.6
CUUR0000SAH1,1953,M01,1953 Jan,21.7
CUUR0000SAH1,1953,M02,1953 Feb,21.7
CUUR0000SAH1,1953,M03,1953 Mar,21.8
CUUR0000SAH1,1953,M04,1953 Apr,21.8
CUUR0000SAH1,1953,M05,1953 May,21.9
CUUR0000SAH1,1953,M06,1953 Jun,21.9
CUUR0000SAH1,1953,M07,1953 Jul,22.0
CUUR0000SAH1,1953,M08,1953 Aug,22.1
CUUR0000SAH1,1953,M09,1953 Sep,22.2
CUUR0000SAH1,1953,M10,1953 Oct,22.3
CUUR0000SAH1,1953,M11,1953 Nov,22.3
CUUR0000SAH1,1953,M12,1953 Dec,22.3
CUUR0000SAH1,1954,M01,1954 Jan,22.3
CUUR0000SAH1,1954,M02,1954 Feb,22.3
CUUR0000SAH1,1954,M03,1954 Mar,22.3
CUUR0000SAH1,1954,M04,1954 Apr,22.3
CUUR0000SAH1,1954,M05,1954 May,22.5
CUUR0000SAH1,1954,M06,1954 Jun,22.5
CUUR0000SAH1,1954,M07,1954 Jul,22.5
CUUR0000SAH1,1954,M08,1954 Aug,22.6
CUUR0000SAH1,1954,M09,1954 Sep,22.6
CUUR0000SAH1,1954,M10,1954 Oct,22.6
CUUR0000SAH1,1954,M11,1954 Nov,22.6
CUUR0000SAH1,1954,M12,1954 Dec,22.7
CUUR0000SAH1,1955,M01,1955 Jan,22.7
CUUR0000SAH1,1955,M02,1955 Feb,22.6
CUUR0000SAH1,1955,M03,1955 Mar,22.7
CUUR0000SAH1,1955,M04,1955 Apr,22.6
CUUR0000SAH1,1955,M05,1955 May,22.6
CUUR0000SAH1,1955,M06,1955 Jun,22.7
CUUR0000SAH1,1955,M07,1955 Jul,22.7
CUUR0000SAH1,1955,M08,1955 Aug,22.8
CUUR0000SAH1,1955,M09,1955 Sep,22.9
CUUR0000SAH1,1955,M10,1955 Oct,22.9
CUUR0000SAH1,1955,M11,1955 Nov,22.9
CUUR0000SAH1,1955,M12,1955 Dec,22.9
CUUR0000SAH1,1956,M01,1956 Jan,22.9
CUUR0000SAH1,1956,M02,1956 Feb,22.9
CUUR0000SAH1,1956,M03,1956 Mar,22.9
CUUR0000SAH1,1956,M04,1956 Apr,22.9
CUUR0000SAH1,1956,M05,1956 May,22.9
CUUR0000SAH1,1956,M06,1956 Jun,23.1
CUUR0000SAH1,1956,M07,1956 Jul,23.2
CUUR0000SAH1,1956,M08,1956 Aug,23.3
CUUR0000SAH1,1956,M09,1956 Sep,23.3
CUUR0000SAH1,1956,M10,1956 Oct,23.3
CUUR0000SAH1,1956,M11,1956 Nov,23.3
CUUR0000SAH1,1956,M12,1956 Dec,23.5
CUUR0000SAH1,1957,M01,1957 Jan,23.5
CUUR0000SAH1,1957,M02,1957 Feb,23.7
CUUR0000SAH1,1957,M03,1957 Mar,23.7
CUUR0000SAH1,1957,M04,1957 Apr,23.9
CUUR0000SAH1,1957,M05,1957 May,23.9
CUUR0000SAH1,1957,M06,1957 Jun,23.9
CUUR0000SAH1,1957,M07,1957 Jul,24.0
CUUR0000SAH1,1957,M08,1957 Aug,24.0
CUUR0000SAH1,1957,M09,1957 Sep,24.2
CUUR0000SAH1,1957,M10,1957 Oct,24.2
CUUR0000SAH1,1957,M11,1957 Nov,24.2
CUUR0000SAH1,1957,M12,1957 Dec,24.3
CUUR0000SAH1,1958,M01,1958 Jan,24.3
CUUR0000SAH1,1958,M02,1958 Feb,24.3
CUUR0000SAH1,1958,M03,1958 Mar,24.4
CUUR0000SAH1,1958,M04,1958 Apr,24.5
CUUR0000SAH1,1958,M05,1958 May,24.6
CUUR0000SAH1,1958,M06,1958 Jun,24.5
CUUR0000SAH1,1958,M07,1958 Jul,24.5
CUUR0000SAH1,1958,M08,1958 Aug,24.5
CUUR0000SAH1,1958,M09,1958 Sep,24.5
CUUR0000SAH1,1958,M10,1958 Oct,24.5
CUUR0000SAH1,1958,M11,1958 Nov,24.5
CUUR0000SAH1,1958,M12,1958 Dec,24.5
CUUR0000SAH1,1959,M01,1959 Jan,24.5
CUUR0000SAH1,1959,M02,1959 Feb,24.5
CUUR0000SAH1,1959,M03,1959 Mar,24.6
CUUR0000SAH1,1959,M04,1959 Apr,24.6
CUUR0000SAH1,1959,M05,1959 May,24.7
CUUR0000SAH1,1959,M06,1959 Jun,24.7
CUUR0000SAH1,1959,M07,1959 Jul,24.7
CUUR0000SAH1,1959,M08,1959 Aug,24.8
CUUR0000SAH1,1959,M09,1959 Sep,24.8
CUUR0000SAH1,1959,M10,1959 Oct,24.9
CUUR0000SAH1,1959,M11,1959 Nov,25.0
CUUR0000SAH1,1959,M12,1959 Dec,25.0
CUUR0000SAH1,1960,M01,1960 Jan,25.0
CUUR0000SAH1,1960,M02,1960 Feb,25.1
CUUR0000SAH1,1960,M03,1960 Mar,25.1
CUUR0000SAH1,1960,M04,1960 Apr,25.2
CUUR0000SAH1,1960,M05,1960 May,25.2
CUUR0000SAH1,1960,M06,1960 Jun,25.2
CUUR0000SAH1,1960,M07,1960 Jul,25.2
CUUR0000SAH1,1960,M08,1960 Aug,25.3
CUUR0000SAH1,1960,M09,1960 Sep,25.3
CUUR0000SAH1,1960,M10,1960 Oct,25.4
CUUR0000SAH1,1960,M11,1960 Nov,25.4
CUUR0000SAH1,1960,M12,1960 Dec,25.4
CUUR0000SAH1,1961,M01,1961 Jan,25.4
CUUR0000SAH1,1961,M02,1961 Feb,25.4
CUUR0000SAH1,1961,M03,1961 Mar,25.4
CUUR0000SAH1,1961,M04,1961 Apr,25.4
CUUR0000SAH1,1961,M05,1961 May,25.4
CUUR0000SAH1,1961,M06,1961 Jun,25.4
CUUR0000SAH1,1961,M07,1961 Jul,25.4
CUUR0000SAH1,1961,M08,1961 Aug,25.4
CUUR0000SAH1,1961,M09,1961 Sep,25.5
CUUR0000SAH1,1961,M10,1961 Oct,25.5
CUUR0000SAH1,1961,M11,1961 Nov,25.6
CUUR0000SAH1,1961,M12,1961 Dec,25.6
CUUR0000SAH1,1962,M01,1962 Jan,25.6
CUUR0000SAH1,1962,M02,1962 Feb,25.6
CUUR0000SAH1,1962,M03,1962 Mar,25.6
CUUR0000SAH1,1962,M04,1962 Apr,25.6
CUUR0000SAH1,1962,M05,1962 May,25.7
CUUR0000SAH1,1962,M06,1962 Jun,25.8
CUUR0000SAH1,1962,M07,1962 Jul,25.8
CUUR0000SAH1,1962,M08,1962 Aug,25.8
CUUR0000SAH1,1962,M09,1962 Sep,25.8
CUUR0000SAH1,1962,M10,1962 Oct,25.8
CUUR0000SAH1,1962,M11,1962 Nov,25.8
CUUR0000SAH1,1962,M12,1962 Dec,25.8
CUUR0000SAH1,1963,M01,1963 Jan,25.9
CUUR0000SAH1,1963,M02,1963 Feb,25.9
CUUR0000SAH1,1963,M03,1963 Mar,26.0
CUUR0000SAH1,1963,M04,1963 Apr,26.0
CUUR0000SAH1,1963,M05,1963 May,26.0
CUUR0000SAH1,1963,M06,1963 Jun,26.0
CUUR0000SAH1,1963,M07,1963 Jul,26.1
CUUR0000SAH1,1963,M08,1963 Aug,26.1
CUUR0000SAH1,1963,M09,1963 Sep,26.1
CUUR0000SAH1,1963,M10,1963 Oct,26.2
CUUR0000SAH1,1963,M11,1963 Nov,26.2
CUUR0000SAH1,1963,M12,1963 Dec,26.3
CUUR0000SAH1,1964,M01,1964 Jan,26.4
CUUR0000SAH1,1964,M02,1964 Feb,26.4
CUUR0000SAH1,1964,M03,1964 Mar,26.4
CUUR0000SAH1,1964,M04,1964 Apr,26.4
CUUR0000SAH1,1964,M05,1964 May,26.4
CUUR0000SAH1,1964,M06,1964 Jun,26.4
CUUR0000SAH1,1964,M07,1964 Jul,26.5
CUUR0000SAH1,1964,M08,1964 Aug,26.5
CUUR0000SAH1,1964,M09,1964 Sep,26.6
CUUR0000SAH1,1964,M10,1964 Oct,26.6
CUUR0000SAH1,1964,M11,1964 Nov,26.7
CUUR0000SAH1,1964,M12,1964 Dec,26.7
CUUR0000SAH1,1965,M01,1965 Jan,26.8
CUUR0000SAH1,1965,M02,1965 Feb,26.9
CUUR0000SAH1,1965,M03,1965 Mar,26.9
CUUR0000SAH1,1965,M04,1965 Apr,26.9
CUUR0000SAH1,1965,M05,1965 May,26.9
CUUR0000SAH1,1965,M06,1965 Jun,26.9
CUUR0000SAH1,1965,M07,1965 Jul,27.0
CUUR0000SAH1,1965,M08,1965 Aug,27.0
CUUR0000SAH1,1965,M09,1965 Sep,27.0
CUUR0000SAH1,1965,M10,1965 Oct,27.1
CUUR0000SAH1,1965,M11,1965 Nov,27.2
CUUR0000SAH1,1965,M12,1965 Dec,27.3
CUUR0000SAH1,1966,M01,1966 Jan,27.3
CUUR0000SAH1,1966,M02,1966 Feb,27.3
CUUR0000SAH1,1966,M03,1966 Mar,27.4
CUUR0000SAH1,1966,M04,1966 Apr,27.5
CUUR0000SAH1,1966,M05,1966 May,27.7
CUUR0000SAH1,1966,M06,1966 Jun,27.8
CUUR0000SAH1,1966,M07,1966 Jul,27.9
CUUR0000SAH1,1966,M08,1966 Aug,27.9
CUUR0000SAH1,1966,M09,1966 Sep,28.0
CUUR0000SAH1,1966,M10,1966 Oct,28.2
CUUR0000SAH1,1966,M11,1966 Nov,28.2
CUUR0000SAH1,1966,M12,1966 Dec,28.4
CUUR0000SAH1,1967,M01,1967 Jan,28.4
CUUR0000SAH1,1967,M02,1967 Feb,28.5
CUUR0000SAH1,1967,M03,1967 Mar,28.4
CUUR0000SAH1,1967,M04,1967 Apr,28.5
CUUR0000SAH1,1967,M05,1967 May,28.7
CUUR0000SAH1,1967,M06,1967 Jun,28.7
CUUR0000SAH1,1967,M07,1967 Jul,28.8
CUUR0000SAH1,1967,M08,1967 Aug,28.9
CUUR0000SAH1,1967,M09,1967 Sep,29.0
CUUR0000SAH1,1967,M10,1967 Oct,29.0
CUUR0000SAH1,1967,M11,1967 Nov,29.1
CUUR0000SAH1,1967,M12,1967 Dec,29.2
CUUR0000SAH1,1968,M01,1968 Jan,29.3
CUUR0000SAH1,1968,M02,1968 Feb,29.5
CUUR0000SAH1,1968,M03,1968 Mar,29.5
CUUR0000SAH1,1968,M04,1968 Apr,29.6
CUUR0000SAH1,1968,M05,1968 May,29.6
CUUR0000SAH1,1968,M06,1968 Jun,30.0
CUUR0000SAH1,1968,M07,1968 Jul,30.3
CUUR0000SAH1,1968,M08,1968 Aug,30.5
CUUR0000SAH1,1968,M09,1968 Sep,30.6
CUUR0000SAH1,1968,M10,1968 Oct,30.7
CUUR0000SAH1,1968,M11,1968 Nov,30.9
CUUR0000SAH1,1968,M12,1968 Dec,31.1
CUUR0000SAH1,1969,M01,1969 Jan,31.3
CUUR0000SAH1,1969,M02,1969 Feb,31.4
CUUR0000SAH1,1969,M03,1969 Mar,31.8
CUUR0000SAH1,1969,M04,1969 Apr,32.1
CUUR0000SAH1,1969,M05,1969 May,32.3
CUUR0000SAH1,1969,M06,1969 Jun,32.4
CUUR0000SAH1,1969,M07,1969 Jul,32.7
CUUR0000SAH1,1969,M08,1969 Aug,32.9
CUUR0000SAH1,1969,M09,1969 Sep,33.2
CUUR0000SAH1,1969,M10,1969 Oct,33.4
CUUR0000SAH1,1969,M11,1969 Nov,33.6
CUUR0000SAH1,1969,M12,1969 Dec,33.8
CUUR0000SAH1,1970,M01,1970 Jan,34.0
CUUR0000SAH1,1970,M02,1970 Feb,34.4
CUUR0000SAH1,1970,M03,1970 Mar,34.8
CUUR0000SAH1,1970,M04,1970 Apr,35.0
CUUR0000SAH1,1970,M05,1970 May,35.3
