Series ID,Year,Period,Label,Value
CUUR0000SERA01,1950,M12,1950 Dec,160.0
CUUR0000SERA01,1951,M03,1951 Mar,167.1
CUUR0000SERA01,1951,M06,1951 Jun,160.9
CUUR0000SERA01,1951,M09,1951 Sep,147.3
CUUR0000SERA01,1951,M12,1951 Dec,147.1
CUUR0000SERA01,1952,M03,1952 Mar,141.2
CUUR0000SERA01,1952,M06,1952 Jun,136.6
CUUR0000SERA01,1952,M09,1952 Sep,134.7
CUUR0000SERA01,1952,M12,1952 Dec,135.6
CUUR0000SERA01,1953,M03,1953 Mar,135.2
CUUR0000SERA01,1953,M06,1953 Jun,133.0
CUUR0000SERA01,1953,M09,1953 Sep,131.5
CUUR0000SERA01,1953,M12,1953 Dec,129.6
CUUR0000SERA01,1954,M03,1954 Mar,127.7
CUUR0000SERA01,1954,M06,1954 Jun,126.7
CUUR0000SERA01,1954,M09,1954 Sep,119.7
CUUR0000SERA01,1954,M12,1954 Dec,118.2
CUUR0000SERA01,1955,M03,1955 Mar,118.2
CUUR0000SERA01,1955,M06,1955 Jun,116.7
CUUR0000SERA01,1955,M09,1955 Sep,116.5
CUUR0000SERA01,1955,M12,1955 Dec,115.9
CUUR0000SERA01,1956,M03,1956 Mar,116.6
CUUR0000SERA01,1956,M06,1956 Jun,116.0
CUUR0000SERA01,1956,M09,1956 Sep,118.5
CUUR0000SERA01,1956,M12,1956 Dec,120.7
CUUR0000SERA01,1957,M03,1957 Mar,121.1
CUUR0000SERA01,1957,M06,1957 Jun,122.2
CUUR0000SERA01,1957,M09,1957 Sep,122.5
CUUR0000SERA01,1957,M12,1957 Dec,126.6
CUUR0000SERA01,1958,M03,1958 Mar,125.1
CUUR0000SERA01,1958,M06,1958 Jun,122.2
CUUR0000SERA01,1958,M09,1958 Sep,125.7
CUUR0000SERA01,1958,M12,1958 Dec,126.3
CUUR0000SERA01,1959,M03,1959 Mar,126.1
CUUR0000SERA01,1959,M06,1959 Jun,124.7
CUUR0000SERA01,1959,M09,1959 Sep,127.7
CUUR0000SERA01,1959,M12,1959 Dec,127.8
CUUR0000SERA01,1960,M03,1960 Mar,127.8
CUUR0000SERA01,1960,M06,1960 Jun,126.3
CUUR0000SERA01,1960,M09,1960 Sep,127.8
CUUR0000SERA01,1960,M12,1960 Dec,127.2
CUUR0000SERA01,1961,M03,1961 Mar,125.4
CUUR0000SERA01,1961,M06,1961 Jun,123.6
CUUR0000SERA01,1961,M09,1961 Sep,123.1
CUUR0000SERA01,1961,M12,1961 Dec,121.3
CUUR0000SERA01,1962,M03,1962 Mar,119.6
CUUR0000SERA01,1962,M06,1962 Jun,117.6
CUUR0000SERA01,1962,M09,1962 Sep,116.4
CUUR0000SERA01,1962,M12,1962 Dec,116.0
CUUR0000SERA01,1963,M03,1963 Mar,115.5
CUUR0000SERA01,1963,M06,1963 Jun,114.8
CUUR0000SERA01,1963,M09,1963 Sep,114.6
CUUR0000SERA01,1963,M12,1963 Dec,114.3
CUUR0000SERA01,1964,M06,1964 Jun,112.1
CUUR0000SERA01,1964,M12,1964 Dec,111.5
CUUR0000SERA01,1965,M06,1965 Jun,109.7
CUUR0000SERA01,1965,M12,1965 Dec,102.9
CUUR0000SERA01,1966,M03,1966 Mar,102.6
CUUR0000SERA01,1966,M06,1966 Jun,102.4
CUUR0000SERA01,1966,M09,1966 Sep,101.9
CUUR0000SERA01,1966,M12,1966 Dec,102.2
CUUR0000SERA01,1967,M01,1967 Jan,103.6
CUUR0000SERA01,1967,M02,1967 Feb,101.4
CUUR0000SERA01,1967,M03,1967 Mar,101.2
CUUR0000SERA01,1967,M04,1967 Apr,100.8
CUUR0000SERA01,1967,M05,1967 May,100.2
CUUR0000SERA01,1967,M06,1967 Jun,99.8
CUUR0000SERA01,1967,M07,1967 Jul,99.4
CUUR0000SERA01,1967,M08,1967 Aug,99.3
CUUR0000SERA01,1967,M09,1967 Sep,99.1
CUUR0000SERA01,1967,M10,1967 Oct,99.3
CUUR0000SERA01,1967,M11,1967 Nov,99.6
CUUR0000SERA01,1967,M12,1967 Dec,99.7
CUUR0000SERA01,1968,M01,1968 Jan,99.9
CUUR0000SERA01,1968,M02,1968 Feb,99.6
CUUR0000SERA01,1968,M03,1968 Mar,99.6
CUUR0000SERA01,1968,M04,1968 Apr,99.7
CUUR0000SERA01,1968,M05,1968 May,99.8
CUUR0000SERA01,1968,M06,1968 Jun,100.0
CUUR0000SERA01,1968,M07,1968 Jul,100.0
CUUR0000SERA01,1968,M08,1968 Aug,99.9
CUUR0000SERA01,1968,M09,1968 Sep,100.2
CUUR0000SERA01,1968,M10,1968 Oct,100.1
CUUR0000SERA01,1968,M11,1968 Nov,100.1
CUUR0000SERA01,1968,M12,1968 Dec,100.3
CUUR0000SERA01,1969,M01,1969 Jan,100.1
CUUR0000SERA01,1969,M02,1969 Feb,99.8
CUUR0000SERA01,1969,M03,1969 Mar,99.5
CUUR0000SERA01,1969,M04,1969 Apr,99.8
CUUR0000SERA01,1969,M05,1969 May,99.8
CUUR0000SERA01,1969,M06,1969 Jun,99.7
CUUR0000SERA01,1969,M07,1969 Jul,99.5
CUUR0000SERA01,1969,M08,1969 Aug,99.3
CUUR0000SERA01,1969,M09,1969 Sep,99.7
CUUR0000SERA01,1969,M10,1969 Oct,100.0
CUUR0000SERA01,1969,M11,1969 Nov,100.1
CUUR0000SERA01,1969,M12,1969 Dec,100.0
CUUR0000SERA01,1970,M01,1970 Jan,99.7
CUUR0000SERA01,1970,M02,1970 Feb,99.6
CUUR0000SERA01,1970,M03,1970 Mar,99.6
CUUR0000SERA01,1970,M04,1970 Apr,99.7
CUUR0000SERA01,1970,M05,1970 May,99.8
CUUR0000SERA01,1970,M06,1970 Jun,99.8
CUUR0000SERA01,1970,M07,1970 Jul,99.6
CUUR0000SERA01,1970,M08,1970 Aug,99.7
CUUR0000SERA01,1970,M09,1970 Sep,99.8
CUUR0000SERA01,1970,M10,1970 Oct,100.2
CUUR0000SERA01,1970,M11,1970 Nov,100.6
CUUR0000SERA01,1970,M12,1970 Dec,100.6
CUUR0000SERA01,1971,M01,1971 Jan,100.5
CUUR0000SERA01,1971,M02,1971 Feb,100.3
CUUR0000SERA01,1971,M03,1971 Mar,100.1
CUUR0000SERA01,1971,M04,1971 Apr,100.3
CUUR0000SERA01,1971,M05,1971 May,100.2
CUUR0000SERA01,1971,M06,1971 Jun,100.3
CUUR0000SERA01,1971,M07,1971 Jul,100.1
CUUR0000SERA01,1971,M08,1971 Aug,100.1
CUUR0000SERA01,1971,M09,1971 Sep,100.2
CUUR0000SERA01,1971,M10,1971 Oct,100.4
CUUR0000SERA01,1971,M11,1971 Nov,100.5
CUUR0000SERA01,1971,M12,1971 Dec,100.5
CUUR0000SERA01,1972,M01,1972 Jan,100.1
CUUR0000SERA01,1972,M02,1972 Feb,99.9
CUUR0000SERA01,1972,M03,1972 Mar,100.2
CUUR0000SERA01,1972,M04,1972 Apr,100.0
CUUR0000SERA01,1972,M05,1972 May,99.8
CUUR0000SERA01,1972,M06,1972 Jun,99.7
CUUR0000SERA01,1972,M07,1972 Jul,99.6
CUUR0000SERA01,1972,M08,1972 Aug,99.6
CUUR0000SERA01,1972,M09,1972 Sep,99.2
CUUR0000SERA01,1972,M10,1972 Oct,99.6
CUUR0000SERA01,1972,M11,1972 Nov,99.5
CUUR0000SERA01,1972,M12,1972 Dec,99.2
CUUR0000SERA01,1973,M01,1973 Jan,99.0
CUUR0000SERA01,1973,M02,1973 Feb,98.7
CUUR0000SERA01,1973,M03,1973 Mar,98.7
CUUR0000SERA01,1973,M04,1973 Apr,98.4
CUUR0000SERA01,1973,M05,1973 May,98.3
CUUR0000SERA01,1973,M06,1973 Jun,98.0
CUUR0000SERA01,1973,M07,1973 Jul,97.8
CUUR0000SERA01,1973,M08,1973 Aug,97.6
CUUR0000SERA01,1973,M09,1973 Sep,98.0
CUUR0000SERA01,1973,M10,1973 Oct,98.1
CUUR0000SERA01,1973,M11,1973 Nov,98.1
CUUR0000SERA01,1973,M12,1973 Dec,98.0
CUUR0000SERA01,1974,M01,1974 Jan,98.0
CUUR0000SERA01,1974,M02,1974 Feb,98.1
CUUR0000SERA01,1974,M03,1974 Mar,98.2
CUUR0000SERA01,1974,M04,1974 Apr,98.3
CUUR0000SERA01,1974,M05,1974 May,98.5
CUUR0000SERA01,1974,M06,1974 Jun,98.7
CUUR0000SERA01,1974,M07,1974 Jul,98.8
CUUR0000SERA01,1974,M08,1974 Aug,99.3
