Year,Total Pages
1951,15932
1952,19232
1953,18464
1954,16502
1955,17989
1956,21651
1957,19589
1958,20643
1959,21760
1960,22877
1961,25242
1962,22863
1963,25828
1964,31584
1965,34783
1966,43118
1967,50375
1968,53513
1969,52863
1970,54834
1971,56720
1972,60632
1973,64872
1974,67860
1975,71224
1976,72740
1977,84729
1978,94151
1979,98032
1980,102195
1981,107109
1982,104938
1983,105654
1984,111830
1985,105935
1986,109509
1987,114337
1988,117480
1989,122090
1990,126893
1991,125331
1992,128344
1993,132228
1994,134196
1995,138186
1996,132112
1997,131060
1998,135127
1999,134932
2000,138049
2001,141281
2002,145099
2003,144187
2004,147639
2005,152271
2006,154100
2007,156001
2008,157972
2009,163327
2010,165491
2011,169252
2012,174557
2013,175494
2014,175273
2015,178352
2016,185131
2017,186468
2018,185434
2019,185984
2020,186069
2021,188321
