Series ID,Year,Period,Label,Value
CUUR0000SERE01,1977,M12,1977 Dec,73.1
CUUR0000SERE01,1978,M01,1978 Jan,72.5
CUUR0000SERE01,1978,M02,1978 Feb,74.3
CUUR0000SERE01,1978,M03,1978 Mar,74.9
CUUR0000SERE01,1978,M04,1978 Apr,75.7
CUUR0000SERE01,1978,M05,1978 May,76.2
CUUR0000SERE01,1978,M06,1978 Jun,75.7
CUUR0000SERE01,1978,M07,1978 Jul,75.9
CUUR0000SERE01,1978,M08,1978 Aug,75.5
CUUR0000SERE01,1978,M09,1978 Sep,75.7
CUUR0000SERE01,1978,M10,1978 Oct,76.5
CUUR0000SERE01,1978,M11,1978 Nov,76.6
CUUR0000SERE01,1978,M12,1978 Dec,76.8
CUUR0000SERE01,1979,M01,1979 Jan,77.6
CUUR0000SERE01,1979,M02,1979 Feb,78.4
CUUR0000SERE01,1979,M03,1979 Mar,79.0
CUUR0000SERE01,1979,M04,1979 Apr,79.4
CUUR0000SERE01,1979,M05,1979 May,79.6
CUUR0000SERE01,1979,M06,1979 Jun,79.8
CUUR0000SERE01,1979,M07,1979 Jul,79.9
CUUR0000SERE01,1979,M08,1979 Aug,80.4
CUUR0000SERE01,1979,M09,1979 Sep,80.7
CUUR0000SERE01,1979,M10,1979 Oct,80.9
CUUR0000SERE01,1979,M11,1979 Nov,80.8
CUUR0000SERE01,1979,M12,1979 Dec,81.3
CUUR0000SERE01,1980,M01,1980 Jan,81.9
CUUR0000SERE01,1980,M02,1980 Feb,83.4
CUUR0000SERE01,1980,M03,1980 Mar,84.6
CUUR0000SERE01,1980,M04,1980 Apr,85.7
CUUR0000SERE01,1980,M05,1980 May,86.6
CUUR0000SERE01,1980,M06,1980 Jun,87.4
CUUR0000SERE01,1980,M07,1980 Jul,87.0
CUUR0000SERE01,1980,M08,1980 Aug,88.0
CUUR0000SERE01,1980,M09,1980 Sep,88.7
CUUR0000SERE01,1980,M10,1980 Oct,88.4
CUUR0000SERE01,1980,M11,1980 Nov,88.2
CUUR0000SERE01,1980,M12,1980 Dec,88.7
CUUR0000SERE01,1981,M01,1981 Jan,89.5
CUUR0000SERE01,1981,M02,1981 Feb,91.2
CUUR0000SERE01,1981,M03,1981 Mar,91.8
CUUR0000SERE01,1981,M04,1981 Apr,92.3
CUUR0000SERE01,1981,M05,1981 May,93.3
CUUR0000SERE01,1981,M06,1981 Jun,93.5
CUUR0000SERE01,1981,M07,1981 Jul,93.5
CUUR0000SERE01,1981,M08,1981 Aug,94.5
CUUR0000SERE01,1981,M09,1981 Sep,94.6
CUUR0000SERE01,1981,M10,1981 Oct,94.7
CUUR0000SERE01,1981,M11,1981 Nov,94.8
CUUR0000SERE01,1981,M12,1981 Dec,95.1
CUUR0000SERE01,1982,M01,1982 Jan,95.6
CUUR0000SERE01,1982,M02,1982 Feb,96.3
CUUR0000SERE01,1982,M03,1982 Mar,97.5
CUUR0000SERE01,1982,M04,1982 Apr,98.0
CUUR0000SERE01,1982,M05,1982 May,98.5
CUUR0000SERE01,1982,M06,1982 Jun,99.3
