Series ID,Year,Period,Label,Value
CUSR0000SAS4,1956,M01,1956 Jan,22.8
CUSR0000SAS4,1956,M02,1956 Feb,22.7
CUSR0000SAS4,1956,M03,1956 Mar,22.8
CUSR0000SAS4,1956,M04,1956 Apr,22.8
CUSR0000SAS4,1956,M05,1956 May,23.0
CUSR0000SAS4,1956,M06,1956 Jun,23.0
CUSR0000SAS4,1956,M07,1956 Jul,23.0
CUSR0000SAS4,1956,M08,1956 Aug,23.0
CUSR0000SAS4,1956,M09,1956 Sep,23.1
CUSR0000SAS4,1956,M10,1956 Oct,23.2
CUSR0000SAS4,1956,M11,1956 Nov,23.2
CUSR0000SAS4,1956,M12,1956 Dec,23.3
CUSR0000SAS4,1957,M01,1957 Jan,23.5
CUSR0000SAS4,1957,M02,1957 Feb,23.7
CUSR0000SAS4,1957,M03,1957 Mar,23.7
CUSR0000SAS4,1957,M04,1957 Apr,23.8
CUSR0000SAS4,1957,M05,1957 May,23.9
CUSR0000SAS4,1957,M06,1957 Jun,24.0
CUSR0000SAS4,1957,M07,1957 Jul,24.2
CUSR0000SAS4,1957,M08,1957 Aug,24.4
CUSR0000SAS4,1957,M09,1957 Sep,24.4
CUSR0000SAS4,1957,M10,1957 Oct,24.5
CUSR0000SAS4,1957,M11,1957 Nov,24.7
CUSR0000SAS4,1957,M12,1957 Dec,24.7
CUSR0000SAS4,1958,M01,1958 Jan,24.9
CUSR0000SAS4,1958,M02,1958 Feb,25.4
CUSR0000SAS4,1958,M03,1958 Mar,25.4
CUSR0000SAS4,1958,M04,1958 Apr,25.5
CUSR0000SAS4,1958,M05,1958 May,25.5
CUSR0000SAS4,1958,M06,1958 Jun,25.7
CUSR0000SAS4,1958,M07,1958 Jul,25.7
CUSR0000SAS4,1958,M08,1958 Aug,25.8
CUSR0000SAS4,1958,M09,1958 Sep,25.8
CUSR0000SAS4,1958,M10,1958 Oct,25.9
CUSR0000SAS4,1958,M11,1958 Nov,26.0
