Year,Total degrees,Humanities,Psychology,Social sciences and history,Natural sciences and mathematics,Computer sciences,Engineering,Education,Business,Health professions and related programs,Other fields
1970,839730,143549,38187,155324,81916,2388,50182,176307,115396,25221,51260
1975,925746,150736,50278,126396,91596,5652,46676,154437,143171,53885,102919
1980,935140,134139,41068,100513,78092,15121,75355,108074,200521,63665,118592
1985,987823,132891,40628,93840,76228,42337,97122,87147,236700,64941,115989
1990,1094538,172485,58655,125107,70209,25159,79751,110807,249165,59636,143564
1995,1164792,193404,73416,126479,93443,24506,77997,105384,226623,85755,157785
2000,1244171,214107,73645,128036,89772,44142,72869,105458,263515,75537,177090
2005,1485104,261666,88132,161468,105883,47702,81406,107235,318043,91528,222041
2010,1716053,288446,100906,177169,131871,43066,93097,104008,365133,142890,269467
2016,1956114,270931,116859,159097,172115,71416,133790,85130,381109,236931,328736
2017,1980665,268551,116436,159962,175456,79597,140681,82599,386240,243876,327267
2018,2013086,269990,116550,160678,178543,88638,146312,83952,390490,250650,327283
2019,2038682,271140,119989,161219,184586,97054,148125,85052,387881,257327,326309
2020,2066445,263894,126944,160827,187829,104874,145041,89398,391375,268018,328245
