Year,Total degrees,Humanities,Psychology,Social sciences and history,Natural sciences and mathematics,Computer sciences,Engineering,Education,Business,Health professions and related programs,Other fields
1970,235564,34510,5717,16539,17152,1588,16947,87666,26490,5241,23714
1975,317477,37079,10167,15953,15742,2603,16800,126061,42592,12051,38429
1980,302637,35130,10223,11945,13579,4218,17216,96713,57888,16029,39696
1985,295850,34834,9845,10564,14055,8070,22146,74816,66676,18496,36348
1990,342863,35984,11349,12233,13664,9324,25450,87352,78255,21247,48005
1995,412180,40795,15152,15012,16154,10579,28843,104936,93554,33780,53375
2000,473502,40625,16539,13791,15360,16911,27187,127829,115602,43465,56193
2005,599862,49590,19775,17368,19575,17195,33386,174622,146396,51046,70909
2010,730922,57160,25062,21085,23576,19516,43179,185127,187178,75314,93725
2016,804542,57895,27539,20004,32500,46553,60229,145624,187412,118712,108074
2017,820242,59119,27918,19884,34819,46468,58969,146368,192191,125230,109276
2018,833792,57962,29136,20303,36595,45671,55933,146429,197074,131391,113298
2019,843531,57196,29750,19507,37798,51527,53496,146989,197443,135317,114508
2020,866894,57633,31776,19845,38794,54174,53632,153756,202334,142025,112925
