Year|Number of workers (TM)|Median earnings (TM)|MoE (TM)|Number of workers (TF)|Median earnings (TF)|MoE (TF)|Number of workers (FtM)|Median earnings (FtM)|MoE (FtM)|Number of workers (FtF)|Median earnings (FtF)|MoE (FtF)|Ratio
2022|90380|52770|1081|80490|41320|258|68570|62350|497|52790|52360|354|0.840
2021|88940|54970|239|79100|42270|811|66370|65970|317|50990|55240|318|0.837
2020|88650|55400|1048|79500|40420|343|60300|69160|319|46000|57500|312|0.831
2019|89020|55550|936|80780|40810|303|67120|65440|985|52040|53870|418|0.823
2018|88120|54030|470|79440|37740|798|67210|63910|549|50800|52130|562|0.816
2017|88020|53140|795|78290|37600|225|66500|61530|264|49230|50250|1028|0.817
2017|88100|52360|1447|78200|37270|202|66380|61490|266|49290|49500|244|0.805
2016|86890|50660|282|77740|37050|243|64950|61960|253|48330|49860|294|0.805
2015|86440|50370|279|76970|36610|213|63890|61990|271|47210|49320|291|0.796
2014|84490|49160|259|75570|34350|573|62460|60940|263|46230|47930|868|0.786
2013|83860|49350|611|74820|33600|569|61240|61360|1146|44630|47590|1405|0.776
2013|83560|48950|882|74550|34030|735|60770|61380|496|45070|48040|733|0.783
2012|83000|47080|846|74190|33380|280|59010|61340|954|44040|46920|737|0.765
2011|81370|47260|346|73090|33600|275|57990|61010|987|43680|46980|321|0.770
2010|80860|48000|341|72720|34590|281|56280|62570|1050|43180|48140|313|0.769
2009|81930|48060|257|72970|34430|202|56050|62340|320|43220|47990|228|0.770
2008|84040|48180|232|74540|33790|210|59860|61090|314|44160|47100|230|0.771
2007|84480|50040|238|74300|35350|204|62980|61620|337|45610|47940|229|0.778
2006|83930|50260|247|73680|34270|353|63060|59200|203|44660|45550|426|0.769
2005|82930|49520|666|72480|33260|339|61500|59660|213|43350|45920|192|0.770
2004|81450|48180|393|71930|33010|193|60090|60510|220|42380|46340|193|0.766
2003|80510|48730|198|71370|33460|203|58770|61830|225|41910|46710|208|0.755
2002|80500|49120|209|71410|33260|191|58760|61200|623|41880|46880|204|0.766
2001|80210|49290|204|71230|32770|204|58710|60150|667|41640|45910|427|0.763
2000|80490|49730|206|71660|32570|204|59600|59860|267|41720|44130|270|0.737
1999|79320|50000|396|71050|30650|443|58300|60490|372|40870|43740|309|0.723
1998|77300|48790|650|68850|30060|449|56950|59970|371|38790|43880|329|0.732
1997|76690|46170|345|67740|28750|306|54910|57910|908|37680|42950|439|0.742
1996|76120|45300|355|66660|28160|315|53790|56470|332|36430|41650|480|0.738
1995|74620|45110|469|65560|27630|303|52670|56790|341|35480|40560|406|0.714
1994|74260|43660|562|64710|26440|398|51580|56950|376|34160|40980|334|0.720
1993|73200|42330|406|63660|26210|422|49820|57350|363|33520|41020|298|0.715
1992|73120|42330|366|62410|26150|426|48550|58360|362|33240|41310|324|0.708
1991|72040|43320|359|61800|25530|408|47890|58310|720|32440|40730|319|0.699
1990|72350|44200|345|61730|25160|270|49170|56850|699|31680|40710|429|0.716
1989|72050|46040|368|61340|25280|276|49680|58860|397|31340|40420|446|0.687
1988|70470|46340|418|60660|24950|292|48290|59930|433|31240|39580|466|0.660
1987|69550|46200|556|59360|24760|268|47010|60490|414|29910|39430|303|0.652
1986|68730|45270|551|57690|24140|329|45910|60870|428|28420|39120|337|0.643
1985|67810|43560|544|56300|22850|379|44940|59280|568|27380|38280|330|0.646
1984|66450|43130|396|55230|21980|350|43810|58820|496|26470|37440|363|0.637
1983|65140|42420|382|53110|21720|260|41530|57750|434|25170|36730|369|0.636
1982|64730|42280|394|51820|21140|253|40110|57960|403|23700|35790|398|0.617
1981|65230|43920|413|51940|21060|249|41770|59090|341|23330|35000|240|0.592
1980|64730|44760|510|51450|21160|284|41880|59460|494|22860|35770|258|0.602
1979|64650|45940|508|50900|21200|298|42440|60360|391|22080|36010|303|0.597
1978|62900|47120|377|48400|20390|307|41040|61090|345|20910|36310|332|0.594
1977|61700|45800|389|46190|19390|280|39260|60690|471|19240|35760|266|0.589
1976|60450|45510|342|44570|18980|291|38180|59440|385|18070|35780|291|0.602
1975|59270|45170|399|42930|18460|323|37270|59570|384|17450|35040|292|0.588
1974|59870|46140|N|42850|18020|N|37920|60010|424|16950|35260|283|0.588
1973|59440|48240|N|41580|18160|N|39580|62150|N|17200|35200|N|0.566
1972|57770|47110|N|39470|18760|N|38180|60150|N|16680|34800|N|0.579
1971|56890|45020|N|38490|18190|N|36820|57270|N|16000|34080|N|0.595
1970|55820|45440|N|38270|17340|N|36130|56960|N|15480|33820|N|0.594
1969|55270|45970|N|37740|17080|N|37010|54810|N|15370|33160|N|0.605
1968|54030|44740|N|35700|17450|N|37070|53230|N|15010|30950|N|0.582
1967|53220|43470|N|34390|16980|N|36650|51860|N|14850|29960|N|0.578
1966|N|43980|N|N|17610|N|N|51080|N|N|29400|N|0.576
1965|N|41390|N|N|17760|N|N|48930|N|N|29320|N|0.599
1964|N|41140|N|N|16700|N|N|48410|N|N|28640|N|0.591
1963|N|43590|N|N|16020|N|N|47120|N|N|27780|N|0.589
1962|N|39290|N|N|15690|N|N|46000|N|N|27280|N|0.593
1961|N|38080|N|N|15110|N|N|45170|N|N|26770|N|0.592
1960|N|36690|N|N|14910|N|N|43770|N|N|26560|N|0.607
