Date,dY_prod,dY_inc,dY,dhours,dLP,dk,dLQ_BLS_interpolated,dLQ_Aaronson_Sullivan,dLQ,alpha,dtfp,dutil,dtfp_util,relativePrice,invShare,dtfp_I,dtfp_C,du_invest,du_consumption,dtfp_I_util,dtfp_C_util
1947-03-01,,,,,,,,,,0.33,,,,,0.19
1947-06-01,1.25,1.75,1.50,-0.51,2.01,4.92,0.59,,0.59,0.33,-0.16,1.15,-1.31,-4.48,0.19,-3.78,0.70,0.42,1.32,-4.20,-0.62
1947-09-01,-0.96,0.74,-0.11,3.09,-3.20,3.94,0.57,,0.57,0.33,-3.86,-5.42,1.56,5.96,0.19,0.98,-4.98,-9.28,-4.52,10.26,-0.46
1947-12-01,8.26,5.44,6.85,3.03,3.82,3.21,0.55,,0.55,0.33,3.39,5.17,-1.79,5.19,0.19,7.58,2.39,13.19,3.27,-5.61,-0.88
1948-03-01,7.21,12.84,10.02,-1.99,12.01,3.72,0.53,,0.53,0.33,9.79,-2.34,12.13,4.59,0.19,13.49,8.90,-6.29,-1.39,19.78,10.29
1948-06-01,8.22,11.23,9.73,0.19,9.54,4.02,0.39,,0.39,0.33,8.03,-0.60,8.62,-4.14,0.19,4.66,8.80,-7.82,1.07,12.48,7.73
1948-09-01,1.65,-0.62,0.52,3.63,-3.11,4.37,0.24,,0.24,0.33,-3.51,-4.86,1.35,-8.89,0.19,-10.71,-1.82,-0.38,-5.92,-10.33,4.10
1948-12-01,-0.27,1.43,0.58,-2.56,3.14,4.67,0.09,,0.09,0.32,0.73,-2.16,2.89,-4.88,0.19,-3.21,1.67,0.56,-2.81,-3.77,4.48
1949-03-01,-6.88,-9.65,-8.26,-5.65,-2.61,4.77,-0.05,,-0.05,0.32,-5.94,-4.10,-1.84,-2.35,0.19,-7.85,-5.50,-8.44,-3.09,0.60,-2.41
1949-06-01,-2.04,-1.88,-1.96,-3.62,1.66,3.35,0.24,,0.24,0.32,-0.75,-6.95,6.20,-2.84,0.20,-3.03,-0.19,-12.60,-5.55,9.58,5.36
1949-09-01,4.82,2.68,3.75,-6.62,10.37,2.39,0.52,,0.52,0.33,7.08,3.49,3.60,0.20,0.20,7.24,7.04,11.54,1.50,-4.30,5.54
1949-12-01,-4.22,-7.18,-5.70,-5.16,-0.54,2.17,0.81,,0.81,0.33,-3.50,-3.65,0.15,0.60,0.20,-3.02,-3.62,-13.49,-1.13,10.47,-2.49
1950-03-01,18.83,19.29,19.06,1.27,17.79,1.52,1.10,,1.10,0.34,16.98,8.77,8.21,-1.37,0.20,15.89,17.26,22.58,5.32,-6.69,11.94
1950-06-01,13.33,18.39,15.86,8.83,7.03,2.36,0.84,,0.84,0.34,8.67,9.17,-0.50,-2.76,0.20,6.47,9.23,21.41,6.04,-14.94,3.19
1950-09-01,16.45,16.35,16.40,10.17,6.23,3.16,0.59,,0.59,0.34,8.24,8.23,0.01,2.60,0.23,10.24,7.64,10.25,7.63,-0.00,0.01
1950-12-01,4.40,4.28,4.34,2.46,1.88,3.99,0.34,,0.34,0.34,1.14,0.37,0.77,-1.13,0.21,0.24,1.37,-3.53,1.39,3.78,-0.02
1951-03-01,3.87,0.01,1.94,4.13,-2.19,4.74,0.09,,0.09,0.34,-2.45,0.48,-2.94,-0.14,0.21,-2.57,-2.42,-2.51,1.26,-0.06,-3.68
1951-06-01,3.83,3.79,3.81,2.07,1.74,3.97,0.11,,0.11,0.34,1.02,2.93,-1.90,-0.22,0.19,0.85,1.06,1.39,3.28,-0.55,-2.21
1951-09-01,6.44,5.12,5.78,-4.68,10.46,4.31,0.14,,0.14,0.33,7.38,-3.72,11.09,0.46,0.18,7.75,7.29,-6.00,-3.20,13.76,10.50
1951-12-01,0.24,3.49,1.87,1.37,0.50,3.78,0.16,,0.16,0.33,-0.40,0.65,-1.05,0.85,0.18,0.30,-0.56,0.23,0.74,0.06,-1.30
1952-03-01,3.70,1.65,2.68,1.84,0.84,3.10,0.19,,0.19,0.32,0.30,5.28,-4.98,-3.16,0.18,-2.27,0.88,5.36,5.26,-7.64,-4.38
1952-06-01,-0.84,0.95,0.05,-4.13,4.18,3.19,0.35,,0.35,0.32,1.61,-6.12,7.73,3.86,0.19,4.75,0.89,-11.54,-4.87,16.29,5.76
1952-09-01,2.28,3.28,2.78,1.33,1.45,2.72,0.52,,0.52,0.31,0.65,3.86,-3.20,0.85,0.17,1.36,0.51,0.23,4.59,1.12,-4.08
1952-12-01,15.99,15.05,15.52,9.56,5.96,2.42,0.69,,0.69,0.31,7.71,7.55,0.17,7.49,0.18,13.83,6.34,20.90,4.54,-7.08,1.80
1953-03-01,8.41,7.96,8.18,2.00,6.18,3.11,0.85,,0.85,0.31,5.25,-3.85,9.10,-3.27,0.19,2.60,5.87,-3.89,-3.84,6.49,9.71
1953-06-01,2.75,2.28,2.51,-0.51,3.02,3.40,0.85,,0.85,0.31,1.23,-3.29,4.51,-0.61,0.19,0.73,1.34,-2.83,-3.39,3.57,4.73
1953-09-01,-3.67,-4.06,-3.86,-3.48,-0.38,3.35,0.86,,0.86,0.31,-3.07,-8.30,5.23,3.25,0.19,-0.45,-3.69,-9.86,-7.93,9.42,4.24
1953-12-01,-7.59,-10.15,-8.87,-6.61,-2.26,3.38,0.86,,0.86,0.31,-5.91,-8.08,2.16,0.83,0.19,-5.24,-6.07,-12.85,-6.97,7.61,0.90
1954-03-01,-2.51,0.99,-0.76,-2.55,1.80,2.84,0.86,,0.86,0.31,-0.45,-5.77,5.32,-3.30,0.18,-3.14,0.16,-7.21,-5.45,4.07,5.61
1954-06-01,-0.06,0.32,0.13,-5.48,5.61,2.44,0.66,,0.66,0.31,2.72,-0.41,3.13,4.29,0.19,6.21,1.92,-0.63,-0.36,6.84,2.27
1954-09-01,4.72,3.60,4.16,-1.53,5.68,2.11,0.45,,0.45,0.31,4.24,0.42,3.82,5.71,0.19,8.89,3.18,0.87,0.32,8.02,2.86
1954-12-01,8.55,9.28,8.92,2.80,6.11,2.32,0.24,,0.24,0.32,6.10,4.19,1.92,1.13,0.19,7.02,5.89,9.19,3.03,-2.17,2.86
1955-03-01,13.42,12.95,13.18,7.30,5.89,2.44,0.04,,0.04,0.33,7.46,9.04,-1.58,0.92,0.19,8.20,7.28,17.35,7.08,-9.15,0.20
1955-06-01,7.83,9.69,8.76,4.23,4.54,2.87,0.06,,0.06,0.33,4.95,3.65,1.30,-1.25,0.20,3.95,5.20,3.29,3.74,0.66,1.46
1955-09-01,5.47,5.40,5.44,6.02,-0.59,3.41,0.08,,0.08,0.33,0.23,-1.35,1.58,-2.36,0.21,-1.64,0.72,-2.36,-1.08,0.72,1.80
1955-12-01,1.84,2.67,2.25,4.44,-2.19,3.68,0.10,,0.10,0.33,-2.01,3.66,-5.67,-1.57,0.20,-3.25,-1.69,1.81,4.14,-5.07,-5.82
1956-03-01,-2.48,-0.10,-1.29,-0.98,-0.31,3.94,0.13,,0.13,0.32,-1.99,-4.06,2.07,0.05,0.20,-1.95,-2.00,-12.81,-1.90,10.86,-0.09
1956-06-01,3.44,4.43,3.93,1.08,2.85,3.59,0.21,,0.21,0.32,1.91,-4.62,6.52,0.39,0.20,2.22,1.83,-7.61,-3.88,9.83,5.71
1956-09-01,-1.71,-0.74,-1.23,-1.66,0.43,3.54,0.30,,0.30,0.32,-1.42,0.72,-2.14,-3.00,0.20,-3.83,-0.83,5.17,-0.38,-9.00,-0.45
1956-12-01,7.19,7.67,7.43,-1.01,8.44,3.51,0.39,,0.39,0.31,6.75,3.92,2.83,-3.91,0.20,3.62,7.53,9.45,2.53,-5.83,5.00
1957-03-01,2.45,0.49,1.47,-0.17,1.64,3.44,0.48,,0.48,0.32,0.17,-3.67,3.84,-0.42,0.20,-0.17,0.26,-6.48,-2.96,6.31,3.22
1957-06-01,-2.11,-1.48,-1.79,-2.17,0.38,3.36,0.48,,0.48,0.32,-1.70,-7.60,5.90,-0.91,0.20,-2.42,-1.51,-15.17,-5.70,12.75,4.18
1957-09-01,3.76,1.02,2.39,-0.35,2.74,3.29,0.48,,0.48,0.31,1.27,-3.13,4.39,2.19,0.20,3.02,0.83,-3.36,-3.07,6.38,3.89
1957-12-01,-5.27,-5.82,-5.54,-9.38,3.83,3.49,0.48,,0.48,0.31,-0.52,-9.33,8.82,-1.00,0.20,-1.32,-0.32,-11.27,-8.85,9.95,8.53
1958-03-01,-13.63,-11.71,-12.67,-10.72,-1.95,2.93,0.48,,0.48,0.31,-6.50,-7.84,1.33,-1.97,0.19,-8.10,-6.13,-16.39,-5.81,8.30,-0.32
1958-06-01,1.87,0.03,0.95,-3.78,4.72,2.19,0.34,,0.34,0.31,2.65,1.75,0.90,1.16,0.19,3.59,2.43,5.60,0.87,-2.02,1.56
1958-09-01,10.21,10.25,10.23,2.99,7.24,1.86,0.20,,0.20,0.31,7.46,7.54,-0.08,0.92,0.18,8.21,7.29,9.12,7.18,-0.91,0.10
1958-12-01,10.86,10.79,10.82,6.13,4.69,2.01,0.06,,0.06,0.32,5.95,5.00,0.96,0.79,0.18,6.60,5.81,8.56,4.20,-1.96,1.61
1959-03-01,9.37,10.29,9.83,6.13,3.69,2.35,-0.08,,-0.08,0.32,4.97,9.03,-4.06,-4.35,0.19,1.45,5.80,15.83,7.42,-14.38,-1.63
1959-06-01,10.33,12.74,11.53,9.26,2.27,2.55,0.11,,0.11,0.33,4.38,4.30,0.08,-1.27,0.19,3.36,4.63,5.02,4.13,-1.67,0.50
1959-09-01,-0.75,-5.17,-2.96,-3.69,0.73,2.91,0.30,,0.30,0.33,-1.63,-5.27,3.64,0.98,0.20,-0.84,-1.82,-7.70,-4.67,6.86,2.85
1959-12-01,0.16,2.09,1.13,-0.31,1.43,2.82,0.49,,0.49,0.32,0.09,-3.51,3.59,1.18,0.19,1.04,-0.14,-9.08,-2.19,10.12,2.05
1960-03-01,9.85,9.76,9.81,-0.98,10.79,2.88,0.68,,0.68,0.32,9.10,2.84,6.26,0.91,0.19,9.83,8.93,16.12,-0.32,-6.29,9.24
1960-06-01,-4.59,-1.97,-3.28,3.87,-7.15,3.25,0.60,,0.60,0.31,-7.37,-6.73,-0.63,1.17,0.20,-6.43,-7.60,-16.36,-4.37,9.94,-3.23
1960-09-01,1.61,-0.74,0.44,-0.59,1.02,2.87,0.52,,0.52,0.31,-0.41,-2.58,2.17,1.72,0.19,0.98,-0.74,-3.83,-2.27,4.82,1.53
1960-12-01,-7.75,-4.06,-5.90,-4.50,-1.40,2.58,0.43,,0.43,0.31,-3.90,-7.10,3.20,2.52,0.19,-1.87,-4.38,-11.79,-5.99,9.92,1.61
1961-03-01,2.30,-0.07,1.11,-2.23,3.34,1.99,0.35,,0.35,0.31,1.78,2.34,-0.55,0.63,0.18,2.29,1.67,-3.63,3.67,5.92,-2.00
1961-06-01,8.07,7.95,8.01,-4.54,12.55,1.99,0.59,,0.59,0.31,10.10,7.65,2.44,-0.47,0.18,9.72,10.18,14.51,6.11,-4.79,4.08
1961-09-01,8.37,6.90,7.64,2.86,4.78,2.39,0.82,,0.82,0.32,4.36,1.83,2.53,-0.08,0.18,4.29,4.38,-2.24,2.75,6.53,1.63
1961-12-01,7.72,9.76,8.74,3.87,4.87,2.66,1.06,,1.06,0.32,4.53,7.79,-3.26,1.53,0.19,5.77,4.24,23.41,4.16,-17.64,0.08
1962-03-01,7.85,4.97,6.41,4.05,2.35,2.90,1.29,,1.29,0.32,1.84,-1.95,3.79,2.13,0.19,3.57,1.44,-2.60,-1.80,6.17,3.24
1962-06-01,3.45,4.49,3.97,2.16,1.81,3.18,0.96,,0.96,0.32,0.83,2.43,-1.60,0.82,0.19,1.50,0.67,4.10,2.03,-2.61,-1.36
1962-09-01,5.11,4.02,4.56,-2.07,6.63,3.21,0.64,,0.64,0.32,4.50,-0.37,4.87,-0.11,0.19,4.41,4.52,0.31,-0.53,4.10,5.05
1962-12-01,0.77,4.96,2.87,-2.74,5.60,3.28,0.32,,0.32,0.32,3.44,-1.20,4.63,1.69,0.19,4.80,3.11,-1.93,-1.02,6.73,4.13
1963-03-01,4.68,3.73,4.21,2.98,1.23,3.10,0.00,,0.00,0.33,1.19,1.79,-0.60,2.12,0.20,2.89,0.77,0.44,2.12,2.45,-1.35
